OPR_CODE	TYPE	DESCRIPTION	
01	RFR	RUSSIAN FEDERAL ARMY	
02	RFAF	RUSSIAN FEDERAL AIR FORCE	
03	ROAF	ROMANIAN AIR FORCE	
10	NULL	GENERIC: MILITARY SERVICES THAT ARE NOT LISTED.	
AA	A	U.S.ARMY	
AB	ADOA	AUSTRALIAN DEPT OF AVIATION	
AE	AFRC	U.S.AIR FORCE RESERVE COMMAND	
AF	AF	U.S.AIR FORCE	
AI	AAI	AIRPORT AUTHORITY OF INDIA	
AM	AMSA	AERO MEXICO INC.	
AN	ANG	U.S.NATIONAL GUARD	
AR	AR	U.S.ARMY RESERVE	
AS	ASTA	AEROSPACE TECHNOLOGIES OF AUSTRALIA	
AT	ARA	AUSTRALIAN REGULAR ARMY	
BA	BAF	BURMA AIR FORCE	
BB	BAF	BELGIAN AIR FORCE	
BD	BDCA	BURMA DEPT OF CIVIL AVIATION	
BG	BGAF	BANGLADESH AIR FORCE	
BL	BLM	BUREAU OF LAND MANAGEMENT	
BO	AASANA	AIRPORT AND AIR NAVIGATION SERVICES ADMINISTRATION,BOLIVIA	
BR	BAR	BELGIAN ARMY	
BS	BRSAF	BELARUS AIR FORCE	
CA	CAA	AUSTRALIAN CIVIL AVIATION AUTHORITY	
CB	CAAB	CIVIL AVIATION AUTHORITY, BANGLADESH	
CC	CAAC	CIVIL ADMIN OF CHINA	
CD	PLAAF	PEOPLES LIBERATION ARMY, AIR FORCE (CHINA)	
CE	CAAM	CIVIL AVIATION AUTHORITY OF MACAU	
CF	CF	CANADIAN ARMED FORCES	
CG	CG	U.S.COAST GUARD	
CH	CAAM	CIVIL AVIATION AUTHORITY OF MACAU	
CI	CIV	FOREIGN CIVIL GOVERNMENT,(LANDING FEES AND DIPLOMATIC CLEARANCE MAY BE REQUIRED)	
CL	CIAC	CLARK INTERNATIONAL AIRPORT CORPORATION	
CM	CMA	MEXICAN AVIATION CO.	
CN	CAN	NAVAL AVIATION COMMAND (ARGENTINA)	
CO	NULL	SPECIAL CIVIL AERONAUTICAL ADMIN UNIT, COLOMBIA	
CS	CAAS	CIVIL AVIATION AUTHORITY OF SINGAPORE	
CT	CATA	CIVIL AVIATION AND TOURISM AUTHORITY (AFGHANISTAN)	
CU	CCAA	CHINESE CIVIL AERONAUTICS ADMIN (TAIWAN)	
CV	CMC	CHINESE MARINE CORP (TAIWAN)	
CX	CAF	CHINESE AIR FORCE (TAIWAN)	
CZ	CA	CHINESE ARMY (TAIWAN)	
DA	DCA	TECHNICAL AIRCRAFT PRODUCTION ADMIN	
DB	DCAB	DEPT OF CIVIL AVIATION BRUNEI	
DC	DCAC	DEPT OF CIVIL AVIATION CAMBODIA	
DD	DND	DEPT OF NATIONAL DEFENSE CANADA	
DE	DEPV	BRAZIL DIRECTOR OF ELECTRONICS AND FLIGHT SAFETY	
DF	DTRA	DEFENSE THREAT REDUCTION AGENCY	
DG	DGAC	DIRECTOR GENERAL OF CIVIL AERONAUTICS	
DH	DGAC	DIRECTOR GENERAL OF AIR COMMUNICATIONS	
DN	DNA	DEFENSE NUCLEAR AGENCY	
DO	DOE	DEPT OF ENERGY	
