ARF_IDENT	DIRECTION	ICAO	TYPE	CTRY	LOC_HDATUM	WGS_DATUM	PRI_FREQ	BKP_FREQ	APN_CODE	APX_CODE	RECEIVER	TANKER	ALT1_DESC	REFUEL1_ALT1	REFUEL1_ALT2	ALT2_DESC	REFUEL2_ALT1	REFUEL2_ALT2	ALT3_DESC	REFUEL3_ALT1	REFUEL3_ALT2	SCH_UNIT	ATC	CYCLE_DATE
AARA10	E	EGEG	B	UK	WGE	WGE	340.750				57	120	BT	FL80	FL260							Swanwick Military.		200604
ALPHA		LIRR	T	IT	WGE	WGE	316.350	299.600					BT	FL210	FL230	BT	FL260	FL280				EUCARF WITH 14 DAYS ADVANCE NOTICE 314-480-7065	ROMA ACC/FIC	200410
ANGIE	N	EDFF	A	GM	WGE	WGE							BT	FL200	FL230							National Air Policing Center Germany - Flight Operations - von-Seydlitz-Kaserne,	Langen Radar ARAP-	200607
AR1	E	KZLC	T	US	WGE	WGE	343.500	319.500	111	21	30	093	BT	FL280	FL310							60 OSS/AO Travis  AFB, CA 837-5582/1038 707-424-5582/1038	Salt Lake City ARCP-397.9E EXIT-263.1E	200410
AR10	NW	KZLC	T	US	WGE	WGE	366.300	292.600	120	61	51	114	BT	FL190	FL210	BT	FL250	FL270				62 OSS/OSO McChord AFB, WA 382-9925. Outside duty hr, call McChord Command Post	Salt Lake City ARCP-338.3W Seattle EXIT-251.1W	200410
AR10	SE	KZSE	T	US	WGE	WGE	366.300	292.600	120	61	51	114	BT	FL190	FL210	BT	FL250	FL270				62 OSS/OSO McChord AFB, WA 382-9925. Outside duty hr, call McChord Command Post	Seattle ARCP-251.1E Salt Lake City EXIT-263.1E	200410
AR101	N	KZME	T	US	WGE	WGE	324.600	260.200	112	31	31	094	BT	FL260	FL290							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 318-456-3828/5326	Memphis ARCP-269.5E/133.65E EXIT-306.9E/120.85E	200411
AR101	S	KZME	T	US	WGE	WGE	324.600	260.200	112	31	31	094	BT	FL260	FL290							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 318-456-3828/5326	Memphis ARCP-335.5W/123.75W EXIT-269.5W/133.65W	200411
AR102A	E	KZFW	T	US	WGE	WGE	276.500	260.200	111	21	30	093	BT	FL240	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Fort Worth ARCP-323E EXIT-327.8E	200411
AR102B		KZFW	T	US	WGE	WGE	276.500	260.200	111	21	30	093	BT	FL240	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Fort Worth ARCP-327.1E/133.35E EXIT-327.8E	200411
AR103		KZHU	T	US	WGE	WGE	327.600	260.200	112	41	32	095	BT	FL240	FL260							55WG Offutt AFB, NE 271-3430 402-294-3430	Houston ARCP-	200602
AR104	E	KZFW	T	US	WGE	WGE	344.700	260.200	112	31	31	094	BT	FL260	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Fort Worth ARCP-269E EXIT-269E	200411
AR104	W	KZFW	T	US	WGE	WGE	344.700	260.200	112	31	31	094	BT	FL260	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Fort Worth ARCP-351.9W EXIT-351.9W	200411
AR104M		KZFW	T	US	WGE	WGE	344.700	260.200	112	31	31	094	BT	FL260	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Fort Worth ARCP-322.45W	200411
AR105	E	KZMP	T	US	WGE	WGE	238.900	320.900	120	31	51	114	BT	FL190	FL330							55 WG Offutt AFB, NE 271-3430 402-294-3430	Minneapolis ARCP-269E EXIT-269E	200602
AR105	W	KZMP	T	US	WGE	WGE	238.900	320.900	120	31	51	114	BT	FL190	FL330							55 WG Offutt AFB, NE 271-3430 402-294-3430	Minneapolis ARCP-269W EXIT-269W	200602
AR106H	E	KZMP	T	US	WGE	WGE	295.800	320.900	130	41	50	113	BT	FL260	FL310							5 BMW Minot AFB, ND 453-2002/3527 701-723-2002/3527	Minneapolis ARCP-269.4E EXIT-306.2E	200411
AR106H	W	KZMP	T	US	WGE	WGE	295.800	320.900	130	41	50	113	BT	FL260	FL310							5 BMW Minot AFB, ND 453-2002/3527 701-723-2002/3527	Minneapolis ARCP-306.2W EXIT-269.4W	200411
AR106L	E	KZMP	T	US	WGE	WGE	305.500	320.900	131	51	52	115	BT	17000	FL230							55 WG Offutt AFB, NE 271-3430/5480 402-294-3430	Minneapolis ARCP-269.4E EXIT-306.2E	200411
AR106L	W	KZMP	T	US	WGE	WGE	305.500	320.900	131	51	52	115	BT	17000	FL230							55 WG Offutt AFB, NE 271-3430/5480 402-294-3430	Minneapolis ARCP-306.2W EXIT-269.4W	200411
AR107		KZMP	T	US	WGE	WGE	324.600	282.700	112	31	31	094	BT	14000	FL230							110 FG/DO MIANG Battle Creek, MI 580-3288	Minneapolis ARCP-353.6E EXIT-353.6E	200411
AR108	E	KZHU	T	US	WGE	WGE	348.900	260.200	113	31	33	096	BT	FL180	FL200	BT	FL210	FL230				433 OSS/OSC Lackland AFB,TX 945-4333 (C210-925-4333)	Houston ARCP-132.65E ARCP-306.3E ARCP-133.4E EXIT-133.85E EXIT-269.5E	200607
