ARF_IDENT	DIRECTION	PT_SEQ_NBR	ICAO	USAGE	PT_NAV_FLAG	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	BEARING	DISTANCE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	CYCLE_DATE
AARA10	E	10	EGEG	IP								N50380000	50.633333	W004250000	-4.416667	200604
AARA10	E	20	EGEG	AN								N49570000	49.950000	W006400000	-6.666667	200604
AARA10	E	30	EGEG	EX								N49570000	49.950000	W006400000	-6.666667	200604
ALPHA		10	LIRR	IP								N38520000	38.866667	E009000000	9.000000	200211
ALPHA		20	LIRR	EX								N38184800	38.313333	E010474200	10.795000	200211
ANGIE	N	1	EDFF	IP		CLR	3	FR	1	074	029	N48032040	48.055667	E008062040	8.105667	200607
ANGIE	N	10	EDFF	AN		CLR	3	FR	1	046	053	N48312940	48.524833	E008214740	8.363167	200607
ANGIE	N	15	EDFF	AP		CLR	3	FR	1	046	053	N48312940	48.524833	E008214740	8.363167	200607
ANGIE	N	20	EDFF	AP		CLR	3	FR	1	031	048	N48361800	48.605000	E008020000	8.033333	200607
ANGIE	N	25	EDFF	AP		CLR	3	FR	1	050	020	N48080600	48.135000	E007464200	7.778333	200607
ANGIE	N	30	EDFF	AP		CLR	3	FR	1	074	029	N48032040	48.055667	E008062040	8.105667	200607
ANGIE	N	35	EDFF	EX		CLR	3	FR	1	046	053	N48312940	48.524833	E008214740	8.363167	200607
AR1	E	10	KZLC	IP		BAM	2	US	1	055	030	N40430000	40.716667	W116170000	-116.283333	200010
AR1	E	20	KZLC	CP		MLD	4	US	1	226	094	N41270000	41.450001	W114180000	-114.300000	199708
AR1	E	30	KZLC	NC		MLD	4	US	1	090	010	N42090000	42.150000	W112140000	-112.233333	199708
AR1	E	40	KZLC	NC		BOY	4	US	1	230	092	N42451600	42.754444	W110092200	-110.156111	199708
AR1	E	50	KZLC	EX		OCS	2	US	1	008	118	N43250000	43.416667	W108040000	-108.066667	200509
AR10	NW	10	KZLC	IP		BIL	2	US	1	204	062	N45000000	45.000000	W109300000	-109.500000	199511
AR10	NW	20	KZLC	CP		HLN	2	US	1	155	070	N45280000	45.466667	W111463000	-111.775000	199511
AR10	NW	30	KZLC	NC		MLP	4	US	1	146	084	N46060000	46.100000	W115100000	-115.166667	200007
AR10	NW	40	KZLC	EX		GEG	2	US	1	156	065	N46283000	46.475000	W117300000	-117.500000	200007
AR10	SE	10	KZSE	IP		GEG	2	US	1	156	065	N46283000	46.475000	W117300000	-117.500000	199709
AR10	SE	20	KZSE	CP		MLP	4	US	1	146	084	N46060000	46.100000	W115100000	-115.166667	200007
AR10	SE	30	KZSE	NC		HLN	2	US	1	155	070	N45280000	45.466667	W111463000	-111.775000	199511
AR10	SE	40	KZSE	EX		BIL	2	US	1	204	062	N45000000	45.000000	W109300000	-109.500000	199511
