ARF_IDENT	DIRECTION	RMK_SEQ	ICAO	REMARKS	CYCLE_DATE
ALPHA		1	LIRR	ALL REQUESTS SHALL BE FORWARDED TO EUCARF 14 DAYS IN ADVANCE. CONTACT EUCARF AT DSN 314-480-7065. VERTICAL LIMITS OF BELOW LISTED COORIDORS WILL BE AS DEPICTED.LATERAL LIMITS ARE 20 NM EXCEPT ALPHA CORRIDOR AND PORTION OF BRAVO CORRIDOR BE	200211
ALPHA		2	LIRR	TWEEN 3851N 0956E AND BULAR WHICH ARE 10 NM WIDE. OPERATED ON A TACTICAL BASIS WITHOUT NOTAM PUBLICATION. THE BLOCK LEVELS DEPICTED CANNOT BE USED SIMULTANEOUSLY.	200211
ANGIE	N	1	EDFF	For large scale NATO exercise use only. Note: Host defined Rendezvous Point, CLR058/39, N48 16.08' E08 13.29'. Anchor area protected up to 4NM outside of defined anchor pattern. Left hand racetrack, mag course 019/199, leg length 30NM, leg	200607
ANGIE	N	2	EDFF	separation 14NM, refueling base altitude FL210.	200607
AR1	E	1	KZLC	REMARKS: Simultaneous Opposite Direction Air Refueling Test (SODART) operations are authorized with AR2 under the DoD/FAA Operational Test Agreement.	200009
AR10	NW	1	KZLC	SCHEDULING UNIT - (During non-duty hours, contact McChord Command Post DSN 382-2635, C253-982-2635) REMARKS: None	200204
AR10	SE	1	KZSE	SCHEDULING UNIT - (During non-duty hours, contact McChord Command Post DSN 382-2635, C253-982-2635) REMARKS: None	200204
AR101	N	1	KZME	REMARKS:	200205
AR101	S	1	KZME	REMARKS:	200205
AR102A	E	1	KZFW	REMARKS: Open for night-time use only: 0240-1200Z++.	200009
AR102B		1	KZFW	REMARKS: Open for night-time use only: 0240-1200Z++. Restricted to a refueling block altitude of FL 270/FL 290 between 0240-0500Z++. Restricted for use to B-52 FTU aircraft and support tankers only. No simultaneous refueling with AR102A.	200008
AR103		1	KZHU	REMARKS: To be used by Offutt based aircraft and support tankers only. Tanker Orbit Pattern: N29-48-00 W90-11-00 to N29-56-00 W89-43-00 to N30-54-00 W90-08-00 to N30-45-00 W90-35-00.	200010
AR104	E	1	KZFW	REMARKS: SODAR Operations authorized with AR113 and AR114. (West) Track closed from 1700-1800Z++. Coordinate with NAS Fort Worth Operations/Brownwood MOA scheduling for use, DSN 739-7689.	200008
AR104	W	1	KZFW	REMARKS: SODAR Operations authorized with AR113 and AR114. (West) Track closed from 1700-1800Z++. Coordinate with NAS Fort Worth Operations/Brownwood MOA scheduling for use, DSN 739-7689.	200008
AR104M		1	KZFW	REMARKS: Air refueling authorized during the following hours only: 1600-1900Z++ (1000-1300 Central Time). Restricted for use to B-52 FTU aircraft and support tankers only. SODAR operations authorized with AR113 and AR114. No simultaneous re	200008
AR104M		2	KZFW	fueling with AR104.	200008
AR105	E	1	KZMP	REMARKS: When reversing track, right teardrop turns must be used. SODAR authorized. AR105 will be scheduled solely by the 55 SRW. 55 SRW aircraft will have priority for use of AR105.	200008
AR105	W	1	KZMP	REMARKS: When reversing track, right teardrop turns must be used. SODAR authorized. AR105 will be scheduled solely by the 55 SRW. 55 SRW aircraft will have priority for use of AR105.	200008
AR106H	E	1	KZMP	REMARKS: Simultaneous opposite direction aerial refueling (SODAR) operations areauthorized with AR106L.	200210
AR106H	W	1	KZMP	REMARKS: Simultaneous opposite direction aerial refueling (SODAR) operations areauthorized with AR106L.	200210
AR106L	E	1	KZMP	REMARKS: Simultaneous opposite direction aerial refueling (SODAR) operations areauthorized with AR106H.	200210
AR106L	W	1	KZMP	REMARKS: Simultaneous opposite direction aerial refueling (SODAR) operations areauthorized with AR106H.	200210
AR107		1	KZMP	REMARKS: Refueling aircraft at the TVC VORTAC 038/56, shall execute a left turn and continue refueling southbound to the exit point.	200008
AR108	E	1	KZHU	REMARKS: Aerial refueling permitted from 1130-1330L and 1730-2300L daily. Simultaneous oposite direction aerial refueling (SODAR) operations are authorized withAR 108 in specific blocks. Refueling aircraft will execute a southbound turn an	200607
AR108	E	2	KZHU	d remain within 30 miles of track course and retun to centerline within 20 milesof exit point/turn point. 433 OSS/OSC scheduling agency will resolve conflicts with W92, W54 and AW101. Southbound turns to avoid flying north into W147, W59 a	200607
AR108	E	3	KZHU	nd northern sections of W92, W54, and AW101. Track is designed specifically for single tanker/receiver operations and is prohibited to fighter type aircraft.	200607
AR108	W	1	KZHU	EMA REMARKS: Aerial refueling permitted from 1130-1330L and 1730-2300L daily. Simultaneous oposite direction aerial refueling (SODAR) operations are authorized with	200008
AR108	W	2	KZHU	AR 108 in specific blocks. Refueling aircraft will execute a southbound turn and remain within 30 miles of track course and retun to centerline within 20 milesof exit point/turn point. 433 OSS/OSC scheduling agency will resolve conflicts	200008
AR108	W	3	KZHU	with W92, W54 and AW101. Southbound turns to avoid flying north into W147, W59 and northern sections of W92, W54, and AW101. Track is designed specifically for single tanker/receiver operations and is prohibited to fighter type aircraft.	200008
AR109H	E	1	KZMP	REMARKS: SODAR authorized with AR109L.	200411
AR109H	W	1	KZMP	REMARKS: SODAR authorized with AR109L.	200411
AR109L	E	1	KZMP	REMARKS: SODAR authorized with AR109H.	200411
AR109L	W	1	KZMP	REMARKS: SODAR authorized with AR109H.	200411
AR11	E	1	KZDV	SCHEDULING UNIT - (After hours: relay through Raymond 33 DSN 675-3800) REMARKS: For AR11 (East) SODAR operations are authorized with AR14B (West). For AR11 (West) SODAR operations are authorized with AR14B (East).	200210
AR11	W	1	KZDV	SCHEDULING UNIT - (After hours: relay through Raymond 33 DSN 675-3800) REMARKS: For AR11 (East) SODAR operations are authorized with AR14B (West). For AR11 (West) SODAR operations are authorized with AR14B (East).	200210
AR110	E	1	KZKC	REMARKS: AR110W rendezvous/rejoin maneuvers prohibited between 1515-1630Z++.	200008
AR110	W	1	KZKC	REMARKS: AR110W rendezvous/rejoin maneuvers prohibited between 1515-1630Z++.	200008
AR111	E	1	KZME	REMARKS: Restricted for use by the 552 ACW aircraft and support tankers only. Tanker Orbit Pattern (NONRADAR): Holding point ARCP; Left Turns; 14 Mile Legs. Tankers shall remain clear of the Lindbergh 'D' ATCAA when active and is defined as	200301
AR111	E	2	KZME	follows: Beginning at 37 00 00N - 91 22 00W to 37 00 00N - 90 54 00W to 36 38 00N - 90 58 00W to 36 38 00N - 91 31 00W to beginning. FL180 to FL500.	200301
AR111	W	1	KZME	REMARKS: Restricted for use by the 552 ACW aircraft and support tankers only. Tanker Orbit Pattern (NONRADAR): Holding point ARCP; Left Turns; 14 Mile Legs. Tankers shall remain clear of the Lindbergh 'D' ATCAA when active and is defined as	200301
AR111	W	2	KZME	follows: Beginning at 37 00 00N - 91 22 00W to 37 00 00N - 90 54 00W to 36 38 00N - 90 58 00W to 36 38 00N - 91 31 00W to beginning. FL180 to FL500.	200301
AR112H	E	1	KZFW	REMARKS: All air refueling prohibited during the following hours: 1500-1630Z and1900-2100Z++ Mon-Fri. While maneuvering/orbiting on AR112, aircrews are reminded to avoid R5601A and R5601C.	200411
AR112H	W	1	KZFW	REMARKS: All air refueling prohibited during the following hours: 1500-1630Z and1900-2100Z++ Mon-Fri. While maneuvering/orbiting on AR112, aircrews are reminded to avoid R5601A and R5601C.	200411
AR112L	E	1	KZFW	REMARKS: Restricted for use by the 917WG aircraft and supporting tankers only. All air refueling prohibited during the following hours: 1500-1630Z and 1900-2100Z++ Mon-Fri. While maneuvering/orbiting on AR112, aircrews are reminded to avoid	200602
AR112L	E	2	KZFW	R5601A and R5601C.	200602
