ARF_IDENT	DIRECTION	SEG_NBR	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
AARA10	E	00010	EGEG	H		N50515800	50.866111	W003532400	-3.890000	N50275800	50.466111	W003584400	-3.978889													200604
AARA10	E	00020	EGEG	H		N50275800	50.466111	W003584400	-3.978889	N49364500	49.612500	W006434300	-6.728611													200604
AARA10	E	00030	EGEG	H		N49364500	49.612500	W006434300	-6.728611	N49555200	49.931111	W006572300	-6.956389													200604
AARA10	E	00040	EGEG	H		N49555200	49.931111	W006572300	-6.956389	N50515800	50.866111	W003532400	-3.890000													200604
ALPHA		00010	LIRR	H		N38564286	38.945239	E009020902	9.035839	N38471705	38.788069	E008575144	8.964289													200009
ALPHA		00020	LIRR	H		N38471705	38.788069	E008575144	8.964289	N38141766	38.238239	E010455017	10.763936													200009
ALPHA		00030	LIRR	H		N38141766	38.238239	E010455017	10.763936	N38234225	38.395069	E010501028	10.836189													200009
ALPHA		00040	LIRR	H		N38234225	38.395069	E010501028	10.836189	N38564286	38.945239	E009020902	9.035839													200009
AR115		00010	KZAB	H		N34500800	34.835556	W106530800	-106.885556	N34450000	34.750000	W106510000	-106.850000													200205
AR115		00020	KZAB	H		N34450000	34.750000	W106510000	-106.850000	N34210000	34.350000	W106442400	-106.740000													200101
AR115		00030	KZAB	H		N34210000	34.350000	W106442400	-106.740000	N34001200	34.003333	W106431200	-106.720000													200205
AR115		00040	KZAB	R	B	N34001200	34.003333	W106431200	-106.720000	N33594800	33.996667	W106524800	-106.880000	N34000000	34.000000	W106480000	-106.800000	4.00		87.1	267.2					200205
AR115		00050	KZAB	H		N33594800	33.996667	W106524800	-106.880000	N34194800	34.330000	W106540000	-106.900000													200205
