ARPT_IDENT	COMM_TYPE	COMM_NAME	SYM	FREQ_1	FREQ_2	FREQ_3	FREQ_4	FREQ_5	SEC	S_OPR_H	CYCLE_DATE
AA30079	ATIS	ATIS		132.1   M							200508
AA30079	GND	GND		121.9   M							200508
AA30079	MISC	SEARCH AND RESCUE		123.1   M							200605
AA30079	RMP	BEATRIX APRON		121.6   M							200508
AA30079	TWR	BEATRIX TWR	V	120.9   M	128.85  M						200605
AC44813	APP	APP	V	119.1   M							200504
AC44813	ATIS	ATIS		114.5   M						1000-0200Z on VOR/DME	200402
AC44813	GND	GND		121.9   M							200504
AC44813	RDO	ANTIQUA RDO		264.8   M	10780   K	20390   K				(USAF).	200504
AC44813	TWR	TWR		118.2   M							200504
AE01079	OPS	OPS		120.15  M						Opr HX	200610
AE05094	APP	APP		122.5   M	252.8   M						200306
AE05094	GND	GND		121.925 M	290.5   M						200306
AE05094	TWR	TWR		118.55  M	248.1   M						200306
AE05715	APP	DUBAI ARR	RE	124.9   M							200610
AE05715	ATIS	ATIS		122.4   M							200211
AE05715	DEP	DUBAI DEP	RE	124.45  M							200202
AE05715	DIR	DUBAI DIR	RE	127.9   M						Opr O/R	200610
AE05715	TWR	TWR		118.6   M							200311
AE19613	APP	RDR	RE	124.4   M	128.1   M	290.8   M					200408
AE19613	ATIS	ATIS		125.1   M							200301
AE19613	TWR	TWR	E	119.2   M	121.75  M	270.0   M					199912
AE31044	A/D	AL DHAFRA ARR/DEP		124.5   M	254.8   M						200604
AE31044	ACP	DRACO OPS		123.45  M	308.35  M						200304
AE31044	APP	ABU DHABI APP		124.4   M	270.0   M						200604
AE31044	GND	GND		240.9   M							200404
AE31044	OPS	BASS OPS		264.5   M							200505
AE31044	PMSV	PMSV/CP		308.35  M							200504
AE31044	TWR	TWR		118.3   M	292.4   M						200304
AE37377	RDO	RDO	V	129.75  M						Opr-SR-SS	200108
AE52272	ARR	ARR	RE	124.9   M							200411
AE52272	ATIS	ATIS		131.7   M							199912
AE52272	DEP	DEP	RE	124.45  M							200403
AE52272	DIR	DIR		127.9   M						Opr O/R	200610
AE52272	GND	GND		118.35  M	118.85  M						200403
AE52272	TWR	TWR	V	118.75  M							199912
AE56787	APP	RADAR	RV	129.4   M							200112
AE56787	GND	GND		119.45  M							200002
AE56787	TWR	TWR	V	124.6   M							199912
AE68809	GND	GND		121.6   M							200604
AE68809	TWR	TWR		118.25  M							200006
AE73364	OPS	OPS		120.2   M						Opr HX	200610
AE76816	A/D	ABU DHABI APP	RE	124.4   M	290.8   M	128.1   M				H24	200003
AE76816	GND	GND		121.9   M							200003
AE76816	TWR	TWR	E	119.9   M							200003
AE80711	APP	APP	V	119.85  M							200002
AE80711	GND	GND	V	129.15  M							200002
AE80711	TWR	TWR	V	119.85  M							199912
AE97915	A/G	OPS	V	118.1   M							200311
AF28606	TWR	TWR	E	118.1   M	240.3   M					Opr SR-SS. 24 HR PPR rqr for ISAF, NATO, and ISAF/NATO related.	200605
AF39176	TWR	TWR		135.35  M							200504
AF50693	APP	APP		133.35  M	379.3   M						200411
AF50693	ATIS	ATIS		134.25  M	250.0   M						200513
AF50693	GND	GND		125.9   M	380.8   M						200508
AF50693	MISC	KINGFISH QUEBEC		278.875 M							200309
AF50693	PMSV	PMSV METRO		134.1   M							200208
AF50693	TWR	TWR		118.5   M	325.75  M						200504
AF60849	A/G	METRO		253.2   M							200411
AF60849	APP	APP		120.8   M	122.6   M	123.7   M	280.825 M	385.725 M			200507
AF60849	CLD	CLNC DEL		119.75  M	244.6   M						200610
AF60849	GCA	GCA		122.6   M	280.825 M						200509
AF60849	GND	GND		133.0   M	300.2   M						200504
AF60849	TWR	TWR		125.5   M	360.2   M						200407
AF87064	TWR	TWR		118.5   M							200311
AF92944	INFO	INFO		130.35  M	344.5   M					SR-30-SS	200511
AF94313	APP	APP/DEP		131.6   M	360.6   M						200604
AF94313	GND	GND		120.3   M							200504
AF94313	TWR	TWR		129.4   M	134.5   M	284.275 M					200510
AF94325	RDO	RDO		118.1   M	6547    K						199905
AF94326	RDO	RDO		118.1   M							199905
AG00060	TWR	TWR		118.1   M	119.7   M					Opr 0600-1800Z.	200608
AG03193	TWR	BEJAIA TWR		118.9   M	119.7   M					Opr 0600-1800Z.	200307
AG10462	APP	APP	R	119.0   M							200311
AG10462	TWR	TWR		118.7   M	119.7   M						200311
AG12605	TWR	TLEMCEN TWR		119.7   M						0600-1800Z++	200202
AG14643	RDO	DJANET RDO		8894    K							200004
AG14643	TWR	DJANET TWR		118.1   M	119.7   M						200002
AG27206	RDO	RDO		119.7   M	5652    K	8894    K	13273   K	17961   K			200004
AG27206	TWR	TWR		118.1   M	119.7   M						200002
AG28442	TWR	TWR		118.7   M	119.7   M						200603
AG42199	TWR	TWR		119.0   M							200004
AG42693	TWR	TIARET TWR		118.1   M	119.7   M					Opr 0600-1800Z.	200607
AG42788	RDO	ADRAR RDO		8894    K							200002
AG42788	TWR	ADRAR TWR		119.7   M	118.3   M						200202
AG53963	RDO	RDO		8894    K							200202
AG53963	TWR	TWR		119.7   M							200202
AG63302	RDO	RDO		8894    K							199908
AG63302	TWR	TWR		119.7   M	118.7   M						200311
