ARPT_IDENT	COMM_TYPE	RMK_SEQ	REMARK	CYCLE_DATE
AA30079	TWR	1	APP/TWR combined H24.	200605
AE31044	PMSV	1	US Mil wx stn provides full obsn, fcst, and PMSV svc 24 hrs on Al Dhafra Metro or relay via DRACO OPS. ATIS not avbl at Al Dhafra.	200513
AE31044	TWR	1	(Twr freq 119.6 UFN.)	200605
AE68809	GND	1	(Vehicles only)	200610
AF50693	APP	1	Ctc APP at least 10 min prior to Bagram CTA entry.	200310
AF50693	MISC	1	(TALCE)	200309
AG27206	RDO	1	(3419 out of svc UFN).	200210
AJ00001	ATIS	1	(Russian - English)	200005
AJ00013	ATIS	1	ATIS RUS/ENG	200412
AJ41498	ATIS	1	(126.8 English)(126.4 Russian)	200206
AO48521	A/G	1	(CIV)	200001
AQ90020	A/D	1	Opr Sun, Tue, Thu, Sat 1700-0830Z. Mon, Fri 1700-1030Z. Jun-Aug, Wed 1700-0830Z.Sep-May, 1700-0630Z. OT fone (685) 42050.	200511
AS00001	CTAF	1	(required)	200604
AS00001	FSS	1	(circuit area)	200009
AS00002	APP	1	(on gnd)	200105
AS00002	FSS	1	(circuit area)	200101
AS00003	FSS	1	(9500')	200202
AS00004	FSS	1	(circuit area)	200407
AS00006	FSS	1	(FL330)	200608
AS00007	FSS	1	(circuit area)	200105
AS00008	FSS	1	(3000')	200202
AS00010	CTAF	1	(required)	200607
AS00010	FSS	1	(circuit area)	200607
AS00011	CTAF	1	(required)	200604
AS00011	FSS	1	(circuit area)	200105
AS00012	FSS	1	(3500 ft)	200106
AS00013	FSS	1	(5500')	200202
AS00014	FSS	1	(circuit area)	200602
AS00015	FSS	1	(3500')	200503
AS00016	FSS	1	4000'.	200202
AS00017	FSS	1	(3,500').	200204
AS00022	FSS	1	(circuit area)	200205
AS00024	FSS	1	(8000')	200205
AS00027	FSS	1	(Circuit area)	200205
AS00034	FSS	1	(on gnd)	200206
AS00039	FSS	1	(3500')	200406
AS00041	CTAF	1	(required)	200604
AS00041	FSS	1	(6500')	200406
AS00042	FSS	1	(on gnd)	200406
AS00043	FSS	1	(circuit area)	200406
AS00045	FSS	1	(on gnd)	200506
AS00046	FSS	1	(circuit area)	200603
AS00052	FSS	1	(circuit area)	200605
AS00058	FSS	1	(circuit area)	200101
AS00740	A/D	1	(125.2, 305.5 E of Rwy 18-36)(134.1, 363.8 W of Rwy 18-36)	200211
AS00740	MISC	1	.8974 11235 13206 Opr 2100-0900Z. 3032 5687 8974 Opr 0900-2100Z.	200001
AS01794	FSS	1	(on gnd)	200009
AS01863	FSS	1	(121.2 to the East and on gnd)(124.1 to the West)	200112
