ARPT_IDENT	RWY_IDENT	LOCATION	TYPE	CYCLE_DATE
AE05094	27	-00117	DOEO	200501
AE05094	09	+00117	DOEO	200501
AE05094	27	+00140	DOEO	200501
AE05094	09	-00140	DOEO	200501
AE05094	27	11570	DOEI	200501
AE05094	09	01400	DOEI	200501
AE05094	27	+00085	DOEI	200501
AE05094	09	-00085	DOEI	200501
AE05094	27	-00041	DOEI	200501
AE05094	09	+00041	DOEI	200501
AE31044	31L	-00050	BFEI	200606
AE31044	13R	+00050	BFEI	200606
AE31044	31R	-00050	DOEI	200606
AE31044	13L	+00050	DOEI	200606
AE31044	31R	-00115	DOEB	200513
AE31044	13L	+00115	DOEB	200513
AE31044	31L	-00115	DOEH	200606
AE31044	13R	+00115	DOEH	200606
AE31044	31L	01400	DOEG	200606
AE31044	13R	10612	DOEG	200606
AE31044	31L	10612	DOEG	200606
AE31044	13R	01400	DOEG	200606
AE31044	31R	+00115	DOEB	200513
AE31044	13L	-00115	DOEB	200513
AE31044	31L	+00115	DOEH	200606
AE31044	13R	-00115	DOEH	200606
AE31044	31R	10562	CIEI	200606
AE31044	13L	01450	CIEI	200606
AE31044	31R	01850	CIEI	200606
AE31044	13L	10162	CIEI	200606
AE31044	31L	+00050	BFEI	200606
AE31044	13R	-00050	BFEI	200606
AE31044	31R	+00050	DOEI	200606
AE31044	13L	-00050	DOEI	200606
AE76816	31	-02659	DOEO	200003
AE76816	13	+00100	DOEO	200003
AE76816	31	+00100	DOEO	199805
AE76816	13	-01774	DOEO	199805
AF50693	21	07932	CIEP	200513
AF50693	03	01920	CIEP	200513
AF50693	21	01942	CIEP	200513
AF50693	03	07910	CIEP	200513
AJ00011	26	-00650	DOEO	200607
AJ00011	08	+00650	DOEO	200607
AJ00011	26	01620	DOEP	200607
AJ00011	08	06580	DOEP	200607
AR15586	36	+00230	DOEM	200603
AR15586	18	-00230	DOEM	200603
AR15586	36	-00409	DOEM	200603
AR15586	18	+00409	DOEM	200603
AR17474	24	-00206	DOEP	199710
AR17474	06	+00206	DOEP	199710
AR17474	24	+00075	DOEP	199710
AR17474	06	-00075	DOEP	199710
AR27439	34R	08579	DOEI	200313
AR27439	16L	-00492	DOEI	200313
AR27439	34R	-00050	DOEI	199710
AR27439	16L	+00050	DOEI	199710
AR31110	19	+00200	DOEM	199710
AR31110	01	-00200	DOEM	199710
AR31110	19	-00200	DOEM	199710
AR31110	01	+00200	DOEM	199710
AR33085	23	+00972	DOEI	200513
AR33085	05	-00972	DOEI	200513
AR33085	23	-00405	DOEI	200513
AR33085	05	+00405	DOEI	200513
AR60988	34	-01515	DOEM	199710
AR60988	16	+00039	DOEM	199710
AR60988	34	+00131	DOEM	199710
AR60988	16	-00131	DOEM	199710
AS00740	29	01525	BFEG	200113
AS00740	11	09479	BFEG	200113
AS00740	29	09665	BFEG	200113
AS00740	11	01339	BFEG	200113
AS29962	28	01227	BFEG	199811
AS29962	10	05774	BFEG	199811
AS29962	28	05775	BFEG	199811
AS29962	10	01226	BFEG	199811
AS42456	33	01600	BFEG	200113
AS42456	15	07022	BFEG	200113
AS43020	30	-00201	BOEO	199511
AS43020	12	+00201	BOEO	199511
AS43020	30	+00200	BOEO	199511
AS43020	12	-00200	BOEO	199511
AS43020	30	01509	BFEG	199811
AS43020	12	06490	BFEG	199811
AS43020	30	06489	BFEG	199811
AS43020	12	01510	BFEG	199811
AS49651	19	01460	BFEG	200113
AS49651	01	06539	BFEG	200113
AS49651	19	06539	BFEG	200113
AS49651	01	01460	BFEG	200113
AS49837	36	-00083	BOEO	200001
AS49837	18	+00083	BOEO	200001
AS49837	36	+00092	BOEO	200001
AS49837	18	-00092	BOEO	200001
AS49837	36	06889	BFEG	200113
AS49837	18	01510	BFEG	200113
AS49837	36	01509	BFEG	200113
AS49837	18	06890	BFEG	200113
AS65049	33	01521	BFEG	200309
AS65049	15	08476	BFEG	200309
AS65049	33	08476	BFEG	200113
AS65049	15	01521	BFEG	200113
AS83442	26	01258	BFEP	199811
AS83442	08	05314	BFEP	199811
AS83442	21	01398	BFEG	199804
AS83442	03	05315	BFEG	199804
AS83442	21	05463	BFEG	199804
AS83442	03	01250	BFEG	199804
AS83442	26	05322	BFEP	199811
AS83442	08	01250	BFEP	199811
AS86864	36R	06690	BFEG	200113
AS86864	18L	01312	BFEG	200113
AS86864	36R	01509	BFEG	200113
AS86864	18L	06493	BFEG	200113
AS89407	32	01515	BFEG	200203
AS89407	14	07488	BFEG	200203
AS89407	32	07737	BFEG	200113
AS89407	14	01266	BFEG	200113
AS92640	26	+00100	BHEO	200001
AS92640	08	-00100	BHEO	200001
AS92640	26	-00103	BHEO	200001
AS92640	08	+00103	BHEO	200001
BA36166	33	01311	BFEG	200213
BA36166	15	11156	BFEG	200213
BA36166	33	11210	BFEG	200213
BA36166	15	01257	BFEG	200213
BE44819	22R	07339	AUEE	200307
BE44819	04L	-01455	AUEE	200307
BE44819	22R	07041	BEEG	200307
BE44819	04L	-01157	BEEG	200307
BE44819	22R	-01155	BEEG	200307
BE44819	04L	07039	BEEG	200307
BE44819	22R	03173	AVEG	200307
BE44819	04L	02711	AVEG	200307
BE44819	22R	-01453	AUEE	200307
BE44819	04L	07337	AUEE	200307
BE62806	23R	08059	DOEG	200307
BE62806	05L	-00114	DOEG	200307
BE62806	23R	-00177	DOEG	200307
BE62806	05L	08122	DOEG	200307
BE68546	25	06890	DOEP	200108
BE68546	07	-00001	DOEP	200108
BE68546	25	01476	DOEP	200108
BE68546	07	05413	DOEP	200108
BE98354	26L	00445	BEEI	200505
BE98354	08R	05956	BEEI	200505
BE98354	26R	09555	DOEO	200505
BE98354	08L	-00400	DOEO	200505
BE98354	26R	08759	BEEI	200505
BE98354	08L	00396	BEEI	200505
BE98354	26R	00518	BEEI	200505
BE98354	08L	08637	BEEI	200505
BE98354	26L	05973	BEEI	200505
BE98354	08R	00428	BEEI	200505
BE98354	26R	-00304	DOEO	200505
BE98354	08L	09459	DOEO	200505
BG20530	34	03094	DOEO	200205
BG20530	16	04906	DOEO	200205
BG20530	34	07614	DOEO	200205
BG20530	16	00386	DOEO	200205
BG62126	35	-00030	DOEI	200509
BG62126	17	+00030	DOEI	200509
BG62126	35	+00042	DOEI	200509
BG62126	17	-00042	DOEI	200509
BR00792	25	01770	DOEP	200204
BR00792	07	06105	DOEP	200204
BR00792	25	06105	DOEP	200204
BR00792	07	01770	DOEP	200204
BR24538	24R	-00200	DOEM	200004
BR24538	06L	+00200	DOEM	200004
BR24538	24R	+00200	DOEM	200004
BR24538	06L	-00200	DOEM	200004
BR27159	30	+00120	DOEP	200504
BR27159	12	-00120	DOEP	200504
BR27159	30	-00120	DOEP	200504
BR27159	12	+00120	DOEP	200504
BR34450	29	-00148	DOEM	200505
BR34450	11	+00148	DOEM	200505
BR34450	29	+00148	DOEM	200505
BR34450	11	-00148	DOEM	200505
BR76318	23	+00130	DOEN	199712
BR76318	05	-00130	DOEN	199712
