ARPT_IDENT	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	NAME	AT_FLD	BEARING	DISTANCE	CYCLE_DATE
AA30079	ABA	4	AA	1	ARUBA	N	272.4	4.4	199906
AA30079	BEA	4	AA	1	REINA BEATRIX	Y			200501
AC44813	ANU	4	AC	1	V C BIRD	Y			200504
AC44813	ANU	5	AC	1	V C BIRD	N	57.1	1.1	200503
AC44813	ZDX	5	AC	1	V C BIRD	N	194.9	1.3	200007
AE01079	RNZ	5	AE	1	ARZANAH	N	176.3	1.3	199808
AE05715	SHJ	4	AE	1	SHARJAH	Y			200610
AE19613	AUH	4	AE	1	ABU DHABI	Y			200608
AE31044	MA	2	AE	1	AL DHAFRA	Y			200406
AE37377	ZKU	5	AE	1	ZIRKU	Y			200304
AE52272	DUB	4	AE	1	DUBAI	Y			200608
AE56787	FJR	4	AE	1	FUJAIRAH	N	292.5	1.6	200610
AE56787	FUJ	5	AE	1	FUJAIRAH	N	291.2	1.6	199808
AE68809	RAV	4	AE	1	RAS AL KHAIMAH	N	343.8	1.6	200610
AE73364	ID	5	AE	1	DAS ISLAND	N	229.7	1.9	200110
AE76816	AD	5	AE	1	BATEEN	Y			199805
AE76816	VAD	4	AE	1	BATEEN	Y			199806
AE80711	AIN	5	AE	1	AL AIN	Y			200112
AE80711	ALN	4	AE	1	AL AIN	Y			200608
AE97915	JD	5	AE	1	JEBEL DHANA	Y			200610
AF50693	BGM	3	AF	1	BAGRAM	Y			200603
AF60849	KAF	3	AF	1	KANDAHAR	Y			200510
AF60849	OKN	5	AF	2	KANDAHAR	Y			200512
AF94313	KBL	4	AF	1	KABUL	N	284.9	4.1	200507
AF94313	KIA	3	AF	1	KABUL	N	271.4	8.8	200509
AF94313	OKB	3	AF	1	KABUL	Y			200609
AG00060	BTN	4	AG	1	BATNA	N	235.5	2.1	200608
AG00060	BTN	5	AG	1	BATNA	Y			200608
AG00062	ILZ	1	AG	1	ILLIZI	N	225.4	12.8	200304
AG03193	BJA	5	AG	1	BEJAIA	N	81.7	2.2	200304
AG10462	ANB	4	AG	1	ANNABA	Y			200606
AG10462	ANB	5	AG	1	ANNABA	Y			200606
AG12605	TLM	4	AG	1	TLEMCEN	N	255.1	3.4	200007
AG12605	TLM	5	AG	1	TLEMCEN	N	252.6	4.3	200403
AG14643	DJA	4	AG	1	DJANET	Y			200304
AG14643	DJA	5	AG	1	DJANET	Y			199908
AG16901	BC	5	AG	1	BECHAR	N	69.7	2.0	200507
AG16901	BCR	4	AG	1	BECHAR	N	198.1	2.4	200507
AG27206	TAM	5	AG	1	TAMANRASSET	Y			200513
AG27206	TMS	4	AG	1	TAMANRASSET	N	205.0	2.0	200606
AG28442	ILZ	1	AG	1	ILLIZI	N	270.1	1.7	200304
AG42693	TRB	4	AG	1	TIARET	N	261.1	2.6	200603
AG42693	TRB	5	AG	1	TIARET	N	261.3	1.9	200607
AG42788	ADR	4	AG	1	ADRAR	N	41.4	2.4	200305
AG42788	ADR	5	AG	1	ADRAR	N	36.7	3.9	200606
