ARPT_IDENT	RWY_IDENT	COMP_TYPE	COLCTN	NAME	FREQ	CHAN	GS_ANGLE	LCZR_GSLCTN	LOC_MKRLCTN	ELEV	LOC_HDATUM	WGS_DATUM	ILS_CAT	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	MAG_VAR	SLAVE_VAR	ILS_BRG	LOC_WIDTH	THD_CROSSING_HGT	DME_BIAS	CYCLE_DATE
AA30079	11	D			U	024X				00058	WGE	WGE		N12295321	12.498114	W070000543	-70.001508	IBE				W009346 0106					1.6	200406
AA30079	11	G			330500M		2.98	01080		00010	WGE	WGE		N12300927	12.502575	W070012931	-70.024808					W009156 1299				51		200406
AA30079	11	Z			108700M			+00532		00058	WGE	WGE	1	N12295321	12.498114	W070000543	-70.001508	IBE				W009346 0106	W010 0506	110.0	4.50			200406
AE05715	30	G			333200M		3.00	01067		00111	WGE	WGE		N25192232	25.322867	E055314674	55.529650					E001245 0102				52		200202
AE05715	30	M	LM	SHARJAH	282000K					00111	WGE	WGE		N25185614	25.315594	E055322292	55.539700	SJ				E001290 0106		303.T				200202
AE05715	30	O			75000M				04600	00111	WGE	WGE		N25163979	25.277719	E055361925	55.605347					E001236 0102		302.T				200202
AE05715	30	Z			109700M			+00532		00111	WGE	WGE	2	N25202084	25.339122	E055295599	55.498886	ISJ				E001295 0106	E002 0506	301.0	4.50			200202
AE19613	13	D			U	026X				00098	WGE	WGE		N24263710	24.443639	E054382000	54.638889	IAE				E001263 0106					0.2	200205
AE19613	13	G			329300M		3.00	01144		00120	WGE	WGE		N24263710	24.443639	E054382000	54.638889					E001214 0200				52		200205
AE19613	13	M			75000M				00500		WGE	WGE		N24270070	24.450194	E054373730	54.627028					E001215 0200		128.T				200205
AE19613	13	Z			108900M			+01460		00110	WGE	WGE	1	N24250940	24.419278	E054401410	54.670583	IAE				E001258 0106	E001 0506	126.6	4.50			200205
AE19613	31	D			U	030X				00096	WGE	WGE		N24252660	24.424056	E054395350	54.664861	IAW				E001259 0106					0.2	200205
AE19613	31	G			332000M		3.00	01109		00122	WGE	WGE		N24252660	24.424056	E054395350	54.664861					E001210 0200				56		200205
AE19613	31	M			75000M				00500		WGE	WGE		N24245850	24.416250	E054402950	54.674861					E001209 0200		308.T				200205
AE19613	31	Z			109300M			+01277		00088	WGE	WGE	1	N24264740	24.446500	E054375600	54.632222	IAW				E001264 0106	E001 0506	306.6	4.50			200205
AE52272	12L	D			U	038X				U	WGE	WGE		N25155060	25.264056	E055211330	55.353694	IDBL				E001297 0106					0.2	200212
AE52272	12L	G			334400M		3.00	01033		U	WGE	WGE		N25155060	25.264056	E055211330	55.353694					E001256 1002				50		200301
AE52272	12L	M			75000M				00244		WGE	WGE		N25160700	25.268611	E055203550	55.343194					E001257 1002		121.T				200212
AE52272	12L	Z			110100M			+01391		U	WGE	WGE	1	N25144460	25.245722	E055230430	55.384528	IDBL				E001293 0106	E002 0706	120.0	4.50			200301
AE52272	12R	G			330800M		3.00	00952		00034	WGE	WGE		N25154020	25.261167	E055210610	55.351694					E001244 0800				50		200113
AE52272	12R	I			75000M				00093		WGE	WGE		N25154660	25.262944	E055204600	55.346111					E001256 1002		121.T				200212
AE52272	12R	M		DUBAI	75000M				00412	00034	WGE	WGE		N25155660	25.265722	E055202800	55.341111					E001257 1002		121.T				200212
AE52272	12R	Z			110900M			+00710		00034	WGE	WGE	2	N25143220	25.242278	E055230000	55.383333	IDBE				E001293 0106	E002 0706	120.0	4.50			200212
AE52272	30L	D			U	050X				00041	WGE	WGE		N25144680	25.246333	E055224230	55.378417	IDBW				E001294 0106					0.3	200506
AE52272	30L	G			332300M		3.00	01508		00034	WGE	WGE		N25144680	25.246333	E055224230	55.378417					E001241 0800				50		200405
