ATS_IDENT	SEQ_NBR	DIRECTION	TYPE	ICAO	RMK_SEQ	REMARK	CYCLE_DATE
6E24	20	W	E	UUWV	1	WARNING - MFA FL148 0300-1900Z++, KS NDB MCA/MFA FL266 1900-0300Z++.	200603
6E26	10	E	E	UUUU	1	WARNING - MFA FL148 0300-1900Z++, MCA/MFA FL266 1900-0300Z++.	200603
6E26	9990	W	E	UUUU	1	WARNING - MFA FL148 0300-1900Z++, MCA/MFA FL266 1900-0300Z++.	200603
A1	140	E	W	LSAG	1	SPR - LISMO; Only available for traffic departing LSGG TCA, LSAG CTA, LSZB/ZG, Milano Area below FL195. LISMO - DINOX; Not available for traffic destination LFHS/HV/LL/LM/LN/LO/LS/LY/MH Between FL125-195 or Type Non-RNAV. This traffic shall	200413
A1	140	E	W	LSAG	2	use B37.	200413
A1	150	E	W	LFAG	1	SPR - LISMO; Only available for traffic departing LSGG TCA, LSAG CTA, LSZB/ZG, Milano Area below FL195. LISMO - DINOX; Not available for traffic destination LFHS/HV/LL/LM/LN/LO/LS/LY/MH Between FL125-195 or Type Non-RNAV. This traffic shall	200509
A1	150	E	W	LFAG	2	use B37.	200509
A1	160	E	W	LSAG	1	SPR - LISMO; Only available for traffic departing LSGG TCA, LSAG CTA, LSZB/ZG, Milano Area below FL195.	200413
A1	210	E	W	LIMM	1	Minimum enroute IFR FL will be determined by Geneva ACC based on information available from Geneva MET office.  Geneva ACC shall inform Milano ACC of any changeof the minimum safe FL available over the Alps.	200607
A1	220	E	W	LIMM	1	Minimum enroute IFR FL will be determined by Geneva ACC based on information available from Geneva MET office.  Geneva ACC shall inform Milano ACC of any changeof the minimum safe FL available over the Alps. FL180 usable only under radar c	200605
A1	220	E	W	LIMM	2	ontrol.	200605
A1	230	E	W	LIMM	1	Minimum enroute IFR FL will be determined by Geneva ACC based on information available from Geneva MET office.  Geneva ACC shall inform Milano ACC of any changeof the minimum safe FL available over the Alps.	200605
A1	9450	W	W	LGGG	1	Avail only to mil traffic blw FL250.	200607
A1	9460	W	W	LGGG	1	Avail only to mil traffic blw FL245.	200607
A1	9470	W	W	LGGG	1	Avail only to mil traffic blw FL250.	200607
A1	9480	W	W	LGGG	1	Avail only to mil traffic blw FL250.	200607
A1	9770	W	W	LIMM	1	Minimum enroute IFR FL will be determined by Geneva ACC based on information available from Geneva MET office.  Geneva ACC shall inform Milano ACC of any changeof the minimum safe FL available over the Alps.	200605
A1	9780	W	W	LIMM	1	Minimum enroute IFR FL will be determined by Geneva ACC based on information available from Geneva MET office.  Geneva ACC shall inform Milano ACC of any changeof the minimum safe FL available over the Alps. FL180 usable only under radar c	200605
A1	9780	W	W	LIMM	2	ontrol.	200605
A1	9790	W	W	LIMM	1	Minimum enroute IFR FL will be determined by Geneva ACC based on information available from Geneva MET office.  Geneva ACC shall inform Milano ACC of any changeof the minimum safe FL available over the Alps.	200607
A1	9840	W	W	LSAG	1	SPR - LISMO; Only available for traffic departing LSGG TCA, LSAG CTA, LSZB/ZG, Milano Area below FL195.	200413
A1	9850	W	W	LFAG	1	SPR - LISMO; Only available for traffic departing LSGG TCA, LSAG CTA, LSZB/ZG, Milano Area below FL195. LISMO - DINOX; Not available for traffic destination LFHS/HV/LL/LM/LN/LO/LS/LY/MH Between FL125-195 or Type Non-RNAV. This traffic shall	200509
A1	9850	W	W	LFAG	2	use B37.	200509
A1	9860	W	W	LSAG	1	SPR - LISMO; Only available for traffic departing LSGG TCA, LSAG CTA, LSZB/ZG, Milano Area below FL195. LISMO - DINOX; Not available for traffic destination LFHS/HV/LL/LM/LN/LO/LS/LY/MH Between FL125-195 or Type Non-RNAV. This traffic shall	200413
A1	9860	W	W	LSAG	2	use B37.	200413
A104	10	E	W	UUWV	1	VERT LIMITS FL390/FL79.  FL282/FL79 AND FL397/FL348 AVAILABLE ON REQUEST WITH ATC.	200512
A107	9930	E	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
A107	9940	E	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
A107	9950	E	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
A107	9960	E	W	UTSD	1	DO NOT OVERFLY UT(R) 123, 124 BELOW FL157.	200602
A107	9970	E	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
