BDRY_IDENT	TYPE	NAME	ICAO	CON_AUTH	LOC_HDATUM	WGS_DATUM	COMM_NAME	COMM_FREQ1	COMM_FREQ2	CLASS	CLASS_EXC	CLASS_EX_RMK	LEVEL	UPPER_ALT	LOWER_ALT	RNP	CYCLE_DATE
AG00002	09	HONIARA OCA	AGGG	BRISBANE CENTER	WGE	WGE	BRISBANE CNTR	128.6   M	3467    K	A			H	FL600	FL245	040	200412
AG00004	08	HONIARA FIR (2)	AGGG	BRISBANE CENTER	WGE	WGE	BRISBANE CNTR	128.6   M	3467    K	G			B	FL245	FL150	100	200502
AG00006	08	HONIARA FIR (1)	AGGG	HONIARA FIC	WGE	WGE	FIC	118.1   M	11339   K	G			B	FL150	SURFACE	100	200502
AN00001	08	NAURU FIR	ANAU	HONIARA FIC	WGC	WGE	HONIARA RDO	118.1   M	3425    M	G			B	FL245	SURFACE	100	200410
AN00002	08	NAURU FIR BRISBANE NAURU	ANAU	BRISBANE ACC	WGC	WGE	ARINC	8867    K		A	Y	CLASS E ABOVE FL600.	H	UNLTD	FL245	040	200412
AY00001	08	PORT MORESBY FIR	AYPY	MORESBY RADIO	WGE	WGE	MORESBY RDO	120.9   M	3419    K				B	FL460	SURFACE	100	200410
AY00002	06	PORT MORESBY UTA	AYPY	MORESBY ACC	WGE	WGE	MORESBY CNTR	123.4   M	319.1   M				B	FL460	FL245		200410
AY00003	07	PORT MORESBY CTLZ	AYPY	JACKSONS APP CON	WGE	WGE	JACKSON APP	118.1   M	119.3   M				L	005000AMSL	GND		200410
AY00036	06	PORT MORESBY CTA SCTR A	AYPY	MORESBY ACC	WGE	WGE	MORESBY CNTR	119.3   M	319.1   M				B	FL245	09000AMSL		200410
AY00037	06	PORT MORESBY CTA SCTR B	AYPY	MORESBY ACC	WGE	WGE	MORESBY CNTR	119.3   M	319.1   M				B	FL245	11000AMSL		200410
