HELI_IDENT	COMM_TYPE	COMM_NAME	SYM	FREQ_1	FREQ_2	FREQ_3	FREQ_4	FREQ_5	SEC	S_OPR_H	CYCLE_DATE
BE98362	OPS	OPS		45.35   M							200510
BE98362	TWR	CHIEVERS TWR		136.5   M	122.1   M				5 min prior to ldg and immed upon departure.		200003
BF00001	OPS	OPS	E	126.3   M	277.8   M	355.0   M				USN Rng/Longfellow Base	200312
BF00001	UNIC	UNICOM		122.8   M							199908
CA00373	A/G	WATCHDOG		173.34  M						LTD HRS OT 24 HRS NOTICE FOR PPR.	199906
GM00005	AFIS	LANGEN INFO		127.975 M							200306
GM00005	APP	LANGEN RADAR	RE	118.975 M	344.55  M						200302
GM00005	GND	GND		141.3   M	396.8   M						200302
GM00005	INFO	MUNCHEN INFO		120.65  M							200610
GM00005	OPS	AFLD OPS		67.5    M							199902
GM00005	PMSV	PMSV METRO		60.0    M	140.3   M						200405
GM00005	RDR	MUNCHEN RADAR		118.975 M	298.825 M						200610
GM00005	TWR	TWR	E	40.8    M	122.1   M	139.05  M	262.95  M				200605
GM00007	AAS	CIVIL GLIDER CLUB		123.15  M	242.45  M						200111
GM00019	DIR	LANGEN RADAR		135.725 M	297.9   M						200601
GM00019	GCA	GCA		138.65  M	266.65  M						200507
GM00019	GND	GND		138.725 M	356.875 M						200002
GM00019	INFO	LANGEN INFO		127.975 M	277.325 M						200601
GM00019	OPS	AFLD OPS		49.0    M					(Advsy svc outside twr hr)		200104
GM00019	PMSV	PMSV METRO		140.3   M							200104
GM00019	TWR	TWR	E	33.2    M	31.8    M	142.9   M	122.1   M	283.95  M		Opr 0700-2300Z++Mon-Thu,  0900-1700Z++ Fri.  Clsd US and GM hol.	200602
GM00098	RDO	GRAF RDO	E	30.4    M	139.4   M	336.4   M					200311
GM00098	TWR	GRAF TWR		31.8    M	141.925 M	122.1   M	386.65  M				200311
GM00260	TWR	GRAF TWR	E	31.8    M	141.925 M	122.1   M	242.4   M				200204
GM00316	AAS	ADVSY SVC		30.6    M	30.75   M	138.6   M	290.45  M				199903
GM00317	AAS	ADVSY SVC		30.6    M	30.75   M	138.6   M	290.45  M				199903
GM00325	PTD	BASE OPS PTD		31.8    M	141.65  M	343.55  M					200003
GM00332	TWR	COLEMAN TWR		40.5    M	122.1   M	142.65  M	277.85  M			Opr 0600-1900Z++.	200408
GM00333	TWR	COLEMAN TWR		40.5    M	122.1   M	142.65  M	277.85  M			Opr 0600-1900Z++.	200408
GM00338	HEL	COLEMAN TWR	E	40.5    M	122.1   M	142.65  M	277.85  M			Opr 0600-1900Z++	200408
GM00342	TWR	COLEMAN TWR		40.5    M	142.65  M					Advs Coleman Twr ARR/DEP	200405
GM00349	RDO	GRAF RDO		30.4    M	139.4   M	336.4   M					200501
GM00349	TWR	GRAF TWR		31.8    M	141.925 M	122.1   M	386.65  M				200311
GM00351	PTD	BASE OPS PTD		31.8    M	141.65  M	343.55  M					200003
GM00357	OPS	GRAF OPS		44.55   M							199908
GM00357	PMSV	PMSV METRO		140.3   M							199908
GM00357	TWR	GRAF TWR	E	31.8    M	141.925 M	122.1   M	242.4   M				200204
GM66879	AAS	ADVSY		122.1   M	142.2   M						200506
GM66879	PMSV	PMSV METRO		45.05   M	140.3   M						200604
GM99986	PTD	PTD		33.7    M	122.5   M						200413
GM99986	TWR	GIEBELSTADT TWR		31.8    M	30.1    M	142.05  M	138.75  M	129.85  M			200413
IR00025	TWR	TWR		118.5   M							200607
IZ00008	RDO	BAGHDAD RDO		127.35  M	352.375 M					Opr H24.	200508
IZ00008	TWR	TWR		125.1   M	330.75  M					Opr 0400-1500Z++	200511
IZ00009	TWR	OLD SCHOOL TWR		139.55  M	255.8   M						200602
IZ00011	TWR	KAY VEE TWR		141.3   M	339.35  M						200512
JA00007	OPS	KASTNER OPS		36.8    K							200003
JA00007	TWR	KASTNER TWR		122.5   M	288.8   M						200003
JA00008	OPS	KASTNER OPS		36.8    K							200003
JA00008	TWR	KASTNER TWR		122.5   M	288.8   M						200003
JA99921	APP	OKINAWA APP	RE	119.1   M	258.3   M	126.5   M	335.8   M				200003
JA99921	TWR	KADENA TWR		126.2   M	315.8   M	236.6   M					199905
JA99922	APP	OKINAWA APP	E	119.1   M	258.3   M	126.5   M	363.8   M				200003
JA99922	OPS	PORT OPS		156.3   M	271.6   M						199905
JA99924	AWOS	AWOS 3		141.1   M							200002
JA99924	TWR	KASTNER TWR		122.5   M	288.8   M						200002
KS00003	APP	SEOUL APP		119.1   M	363.8   M						200208
KS00012	MISC	TANGO TWR		75.45   M	118.6   M	226.3   M					200205
KS00012	OPS	DRAGON OPS		62.45   M							200205
KS00012	TWR	SEOUL TWR		126.2   M	236.6   M						200205
KS00058	GND	MAE SAN RI GND		38.6    M							200411
KS00145	AAS	VFR ADVSY SVC		37.6    M	122.5   M	255.8   M					200411
KS00145	RDO	NORTH		35.0    M	122.7   M	242.4   M					200411
KS00181	GND	GND		42.0    M						Ctc 15 min prior to ldg	200506
KS00185	TWR	PO CHEON TWR		36.1    M							200413
KS00241	HEL	I DONG TWR		38.0    M							200413
KS00288	GND	GND		42.0    M						Ctc 15 min prior to ldg	200506
KS00290	GND	GND		42.0    M						Ctc 15 min prior to ldg	200506
KS00298	A/D	DEOK SAN CON		33.5    M	36.6    M					ctc 10 min prior to ldg.	200506
KS00300	GND	GND		42.0    M						Ctc 15 min prior to ldg.	200506
KS00301	GND	GND		42.0    M						ctc 15 min prior to ldg.	200506
KS00305	GND	GND		42.0    M						ctc 15 min prior to ldg.	200506
KS00306	GND	GND		42.0    M						ctc 15 min prior to ldg	200506
KS00310	GND	GND		42.0    M						ctc 15 min prior to ldg	200506
KS00314	GND	GND		42.0    M						Ctc 15 MIN prior to ldg. TACAN (CH 124)	200506
KS00326	GND	GND		42.0    M						ctc 15 MIN prior to ldg	200506
KS00332	GND	GND		42.0    M						ctc 15 min prior to ldg	200506
KS00342	GND	BONG HWONG		38.25   M							200506
KS00353	TWR	BU CHEON TWR		38.0    M	131.1   M	233.8   M					200601
KS60058	APP	KIMHAE APP	RE	119.2   M	135.7   M	225.1   M					200004
KS60058	ATIS	ATIS		126.6   M	235.1   M						200303
KS60058	POST	BRICKWALL		128.0   M	349.4   M						200004
KS60058	TWR	TWR	E	126.2   M	236.6   M						200004
KS71169	TWR	SUSAEK TWR		38.0    M	129.3   M	225.25  M					200409
KS99731	FCC	FCC EVENREACH	RE	36.9    M	120.45  M	245.9   M					200201
KS99731	OPS	SABER OPS		36.45   M							200006
KS99756	FCC	FCC LEE		32.3    M	130.0   M	230.0   M					200113
KS99769	TWR	HA NAM TWR		123.0   M	300.6   M	40.85   M				Opr 2300-0800Z Mon-Fri; 2300-0300Z Sat	200409
KS99774	CTAF	WILD CARD OPS		31.75   M							200006
KS99774	FCC	FCC NORTH		35.0    M	122.7   M	242.4   M					200201
KS99774	PMSV	METRO		37.2    M						OPR 2000-1300Z. OT 2 HR PPR.	200201
