HELI_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	CYCLE_DATE
AL00009	TIRANE HELIPORT		LAFK	N	WGE	WGE	N41185610	41.315582	E019530800	19.885555	00069	K	E003033 0506	0322		200312
BE98362	SHAPE PAD		EBCH	N	WGE	WGE	N50295600	50.498890	E003583600	3.976667	00289	H	W000397 0506	0230		200511
BF00001	AUTEC HELIPORT		MYCZ	NCZ	WGE	WGE	N24423418	24.709494	W077462151	-77.772642	00010	H	W006561 0506	0526	Y	200513
BK00005	CAMP MCGOVERN AHP		LQMG	N	WGE	WGE	N44510834	44.852317	E018451563	18.754342	00312	H	E003077 0506	0252		200402
CA00373	DWYER HELIPORT		CYDH	N	WGE	WGE	N45075000	45.130556	W075565400	-75.948333	00325	K	W013339 0106	0263		200212
GM00005	ANSBACH AHP		ETEB	N	WGE	WGE	N49182959	49.308219	E010381938	10.638717	01532	H	E001230 0106	0231	Y	200610
GM00007	BABENHAUSEN AHP		ETEF	N	WGE	WGE	N49571700	49.954723	E008581800	8.971666	00430	H	E000537 0106	0231		200506
GM00019	ILLESHEIM AHP		ETIK	N	WGE	WGE	N49282574	49.473817	E010231619	10.387831	01078	H	E001187 0106	0231	Y	200610
GM00094	GERMERSHEIM RESERVE STOR ACTIVITY AHP		ET	ET25	WGE	WGE	N49131200	49.220001	E008204800	8.346666	00345	K	E000444 0106	0231		200405
GM00098	GRAFENWOHR MEDEVAC PAD		ET	ET26	WGE	WGE	N49422952	49.708200	E011545766	11.916017	01360	H	E001439 0106	0231		200405
GM00260	VILSECK MEDEVAC PAD		ET	ET30	WGE	WGE	N49382154	49.639317	E011474044	11.794567	01355	H	E001419 0106	0231		200606
GM00316	LANDSTUHL AHP		ETIP	N	WGE	WGE	N49241101	49.403058	E007321000	7.536111	01167	H	E000296 0106	0231		200304
GM00317	LANDSTUHL HOSPITAL AHP		ETIY	N	WGE	WGE	N49240890	49.402473	E007333050	7.558472	01170	K	E000300 0106	0231		200603
GM00321	BONN HARDTHOHE HELIPORT		ETHH	N	WGE	WGE	N50414680	50.696333	E007023960	7.044333	00522	K	E000163 0106	0231	Y	200510
GM00322	SHERIDAN BARRACKS LANDING AREA		ET	ET31	WGE	WGE	N47285737	47.482603	E011040120	11.067000	02359	K	E001307 0106	0252		200413
GM00325	PATCH BKS AHP		ET	ET32	WGE	WGE	N48433617	48.726715	E009044169	9.078247	01558	K	E000579 0106	0231		200412
GM00332	TAYLOR BKS AHP		ET	ET33	WGE	WGE	N49305140	49.514278	E008331521	8.554225	00360	H	E000473 0106	0231		200408
GM00333	TOMPKINS BKS HELIPAD		ET	ET34	WGE	WGE	N49242178	49.406050	E008340288	8.567467	00338	K	E000478 0106	0231		200408
GM00338	HAMMOND BKS AHP		ET	ET35	WGE	WGE	N49281443	49.470675	E008330427	8.551186	00313	K	E000474 0106	0231		200408
GM00340	KAISERSLAUTERN DEPOT AHP		ETED	N	WGE	WGE	N49265240	49.447889	E007502239	7.839553	00886	K	E000349 0106	0231		200306
GM00342	LUDWIGSHAFEN UNFALLKLINIK HELIPORT		EDGL	N	WGE	WGE	N49291054	49.486261	E008232128	8.389244	00302	L	E000445 0106	0231	Y	200405
GM00344	ALBERTSHOF AHP		ET	ET36	WGE	WGE	N49135127	49.230908	E011494987	11.830519	01470	H	E001425 0106	0231		200405
GM00348	BERCHTESGADEN AHP		ET	ET37	WGE	WGE	N47372570	47.623806	E012575271	12.964642	02004	K	E001590 0106	0252		200405
GM00349	GRAFENWOHR AHP		ET	ET38	WGE	WGE	N49423730	49.710361	E011535272	11.897978	01360	K	E001436 0106	0231		200501
GM00350	HOHENFELS HOSPITAL AHP		ET	ET39	WGE	WGE	N49132686	49.224128	E011500474	11.834650	01440	H	E001425 0106	0231		200405
GM00351	KELLEY BKS AHP		ED	ED40	WGE	WGE	N48432999	48.724998	E009104800	9.180000	01392	H	E000596 0106	0231		200608
GM00357	VILSECK MAIN AHP		ET	ET42	WGE	WGE	N49385790	49.649417	E011482064	11.805733	01370	H	E001421 0106	0231		200503
GM66879	HEIDELBERG AHP		ETIE	N	WGE	WGE	N49233600	49.393333	E008390700	8.651944	00358	H	E000493 0106	0231		200604
GM99984	SCHWEINFURT AHP		ETOA	N	WGE	WGE	N50025000	50.047222	E010101500	10.170834	00787	H	E001144 0106	0231	Y	200507
GM99986	LEIGHTON BKS AHP		ETOY	N	WGE	WGE	N49472040	49.789000	E009583693	9.976925	00873	H	E001114 0106	0231		200506
GM99999	BUDINGEN AHP		ETEP	N	WGE	WGE	N50170720	50.285333	E009052400	9.090000	00427	K	E000593 0806	0231		200610
IN99643	BAREILLY HELICOPTER BASE		VI	VI68	WGE	WGE	N28201612	28.337811	E079273855	79.460708	00565	K	E000306 0106	0439		200609
IR00025	FATH AIR BASE		OIIF	N	WGE	WGE	N35424777	35.713269	E050560681	50.935225	03920	H	E004041 0106	0428	Y	200607
IR00192	KHARK ISLAND HELIPORT SEAPLANE BASE		OI	OI18	WGE	WGE	N29153468	29.259633	E050200770	50.335472	00010	H	E002439 0106	0444		200512
IT93135	CENTOCELLE HELIPORT		LIRC	N	WGE	WGE	N41521954	41.872094	E012334424	12.562289	00158	H	E001469 0106	0321		200513
IZ00008	WASHINGTON AHP		ORWH	N	WGE	WGE	N33181650	33.304583	E044241266	44.403517	00127	H	E003508 0106	0427		200511
IZ00009	AL QAIM FOB		ORAQ	N	WGE	WGE	N34155857	34.266269	E041094405	41.162236	00797	K	E004042 0106	0427		200505
IZ00011	KOREAN VILLAGE FOB		ORRW	N	WGE	WGE	N33010502	33.018061	E039561562	39.937672	02500	K	E003534 0106	0427		200610
JA00007	SAGAMI DEPOT HELIPORT		RJ	RJ03	WGE	WGE	N35350817	35.585603	E139224198	139.378328	00395	K	W006565 0106	0389		200513
JA00008	NORTH PIER YOKOHAMA HELIPORT		RJ	RJ02	WGE	WGE	N35271945	35.455403	E139384183	139.644953	00008	K	W006516 0106	0389		200513
JA99921	LESTER HELO PAD NO 2		RO	RO02	WGE	WGE	N26190419	26.317831	E127455259	127.764608	00012	K	W004281 0106	0500		200513
JA99922	WHITE BEACH HELIPAD CFAO		RO	RO04	WGE	WGE	N26174800	26.296667	E127544201	127.911669	00012	H	W004280 0106	0500		200513
JA99924	AKASAKA PRESS CENTER HELIPORT		RJ	RJ01	TOY	WGE	N35401500	35.670834	E139442404	139.740010	00112	K	W006553 0106	0389		200513
KS00003	H 103 HELIPORT		RK	RK10	WGE	WGE	N37293716	37.493656	E126423828	126.710633	00150	K	W007452 0106	0380		200604
KS00009	H 250 HELIPORT		RK	RK11	WGE	WGE	N37312964	37.524900	E126472638	126.790661	00040	K	W007464 0106	0380		200511
KS00012	C 281 HELIPORT		RK	RK12	WGE	WGE	N37253594	37.426650	E127034246	127.061794	00520	K	W007463 0106	0380		200512
KS00014	H 105 HELIPORT		RK	RK6Y	WGE	WGE	N37553216	37.925600	E126491203	126.820008	00180	K	W007539 0106	0380		200512
KS00015	C 176 HELIPORT		RK	RK6Z	WGE	WGE	N37542572	37.907144	E126475253	126.797925	00054	K	W007534 0106	0380		200512
KS00020	C 102 HELIPORT		RK	RK6R	WGE	WGE	N37524905	37.880292	E126475287	126.798019	00135	K	W007529 0106	0380		200601
KS00037	C 286 HELIPORT		RK	RK7C	WGE	WGE	N37272923	37.458119	E127111748	127.188189	01420	K	W007476 0106	0380		200604
KS00042	C 201 HELIPORT		RK	RK6W	WGE	WGE	N37233297	37.392492	E127090390	127.151083	00560	K	W007462 0106	0380		200604
KS00055	C 145 HELIPORT		RK	RK6V	WGE	WGE	N37245304	37.414733	E126493429	126.826192	00177	K	W007446 0106	0380		200604
KS00058	C 272 HELIPORT		RK	RK6T	WGE	WGE	N37212663	37.357397	E127151983	127.255508	00210	H	W007462 0106	0380		200604
KS00059	C 240 HELIPORT		RK	RK7A	WGE	WGE	N37181851	37.305142	E127035144	127.064289	00538	K	W007440 0106	0380		200604
KS00081	N 202		RK	RKD2	WGE	WGE	N37273000	37.458333	E126360000	126.600000	00050	K	W007438 0106	0380		200604
KS00083	C 288 HELIPORT		RK	RK7D	WGE	WGE	N37270658	37.451828	E127143467	127.242964	00620	K	W007478 0106	0380		200604
KS00085	C 285 HELIPORT		RK	RKC7	WGE	WGE	N37281780	37.471611	E126462694	126.774150	00453	K	W007452 0106	0380		200604
KS00099	C 153 HELIPORT		RK	RKC1	WGE	WGE	N37421861	37.705169	E126573679	126.960219	00951	K	W007507 0106	0380		200604
KS00124	C 243 HELIPORT		RK	RK7B	WGE	WGE	N37370546	37.618183	E127115219	127.197831	00131	K	W007507 0106	0380		200604
KS00127	C 289 HELIPORT		RK	RKC8	WGE	WGE	N37434400	37.728889	E127041500	127.070833	00230	K	W007519 0106	0380		200604
KS00137	PALGONG SAN HELIPORT		RK	RK7F	WGE	WGE	N36012869	36.024636	E128413817	128.693936	03369	K	W007283 0106	0380		200604
KS00145	H 163 HELIPORT		RK	RK6S	WGE	WGE	N37500278	37.834106	E126485399	126.814997	00067	K	W007522 0106	0380		200512
KS00155	C 249 HELIPORT		RK	RK7R	WGE	WGE	N37451432	37.753978	E127032673	127.057425	00210	K	W007523 0106	0380		200604
KS00163	C 120 HELIPORT		RK	RK7K	WGE	WGE	N37520925	37.869236	E126464398	126.778883	00082	K	W007526 0106	0380		200604
