MTR_IDENT	PT_IDENT	NX_POINT	ICAO_REGION	CRSALT_DESC	CRS_ALT1	CRS_ALT2	ENRALT_DESC	ENR_ALT1	ENR_ALT2	PT_NAV_FLAG	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	BEARING	DISTANCE	MTR_WIDTH_L	MTR_WIDTH_R	USAGE_CD	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	TURN_RAD	TURN_DIR	ADD_INFO	CYCLE_DATE
IR002	A	B	KZ	AT	06000MSL		BT	00500AGL	06000MSL		VXV	2	US	1	288.0	38.0	5.0	5.0	S	N36040000	36.066666	W084390000	-84.650000				200011
IR002	B	C	KZ	BT	00500AGL	06000MSL	BT	00100AGL	06000MSL		VXV	2	US	1	332.0	42.0	5.0	5.0	T	N36300000	36.500000	W084200000	-84.333333				200010
IR002	C	D	KZ	BT	00100AGL	06000MSL	BT	00100AGL	06000MSL		VXV	2	US	1	15.0	34.0	5.0	5.0	T	N36280000	36.466667	W083450000	-83.750000				200102
IR002	D	E	KZ	BT	00100AGL	06000MSL	BT	00300AGL	06000MSL		VXV	2	US	1	65.0	34.0	5.0	5.0	T	N36100000	36.166668	W083170000	-83.283333				199511
IR002	E	F	KZ	BT	00300AGL	06000MSL	BT	00300AGL	09000MSL		VXV	2	US	1	82.0	31.0	5.0	5.0	T	N36000000	36.000000	W083160000	-83.266667				199708
IR002	F	G	KZ	BT	00300AGL	09000MSL	BT	00300AGL	09000MSL		VXV	2	US	1	102.0	33.0	5.0	5.0	T	N35490000	35.816666	W083140000	-83.233333				199708
IR002	G	H	KZ	BT	00300AGL	09000MSL	BT	00300AGL	09000MSL		VXV	2	US	1	115.0	37.0	5.0	5.0	T	N35400000	35.666668	W083113000	-83.191666				199601
IR002	H		KZ	BT	00300AGL	09000MSL					VXV	2	US	1	124.0	41.0			X	N35330000	35.549999	W083100000	-83.166667			Exit at 90 MSL	200010
IR012	A	B	KZ	AS			BT	00500AGL	03000MSL		ILM	2	US	1	277.0	20.0	5.0	5.0	S	N34210000	34.350000	W078170000	-78.283333				199808
IR012	B	C	KZ	BT	00500AGL	03000MSL	BT	00500AGL	03000MSL		ILM	2	US	1	335.0	32.0	4.0	4.0	A	N34480000	34.799999	W078130000	-78.216667				199511
IR012	C	D	KZ	BT	00500AGL	03000MSL	BT	00500AGL	03000MSL		ILM	2	US	1	13.0	37.0	4.0	4.0	T	N34580000	34.966667	W077480000	-77.800000				200010
IR012	D	E	KZ	BT	00500AGL	03000MSL	BT	00500AGL	03000MSL		NKT	3	US	1	316.0	30.0	4.0	4.0	T	N35120000	35.200001	W077220000	-77.366667				200010
