MTR_IDENT	ORIG_ACT	SCH_ACT	ICAO_REGION	CTRY	LOC_HDATUM	WGS_DATUM	EFF_TIMES	CYCLE_DATE
IR002	20 OSS/OSOA, Shaw AFB, SC 29152-5000 DSN 965-1121/1122, C 803-895-1121/1122, Fax	20 OSS/OSOS, Shaw AFB, SC 29152 Duty hrs DSN 965-1118/1119, C803-895-1118/1119.	KZ	US	WGE	WGE	Continuous	200604
IR012	4 OSS/OSR, Seymour Johnson AFB, NC 27531-5004 DSN 722-2672, C919-722-2672.	4 OSS/OSOSF, Seymour Johnson AFB, NC 27531-5004 DSN 722-2129/2124, C919-722-2129	KZ	US	WGE	WGE	Continuous	199910
IR015	347 OSS/OSKA, Moody AFB, GA 31699-1899 DSN 460-4131, C229-257-4131.	347 OSS/OSOS, Moody AFB, GA 31699-1899 Mon-Fri 0730-1630L exc holidays DSN 460-4	KZ	US	WGE	WGE	Continuous	200602
IR016	347 OSS/OSKA, Moody AFB, GA 31699-1899 DSN 460-4131, C229-257-4131.	347 OSS/OSOS, Moody AFB, GA 31699-1899 Mon-Fri 0730-1630L exc holidays DSN 460-4	KZ	US	WGE	WGE	Continuous	200602
IR017	187 FW, 5187 Selma Highway, Montgomery, AL 36108-4824 DSN 358-9255, C334-394-725	Same as Originating Activity	KZ	US	WGE	WGE	Continuous	200406
IR018	FACSFAC JAX, NAS Jacksonville, FL 32212 DSN 942-2004/2005, C904-542-2004/2005, A	Same as Originating Activity	KZ	US	WGE	WGE	0700-2400 local daily	199912
IR019	FACSFAC JAX, NAS Jacksonville, FL 32212 DSN 942-2004/2005, C904-542-2004/2005, A	Same as Originating Activity	KZ	US	WGE	WGE	0700-2400 local daily	199912
IR020	FACSFAC JAX, NAS Jacksonville, FL 32212 DSN 942-2004/2005, C904-542-2004/2005, A	Same as Originating Activity	KZ	US	WGE	WGE	0700-2400 local daily	199912
IR021	FACSFACNPA, Pensacola, FL 32508-5217 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri, occasionally on weekends	200009
IR022	FACSFACNPA, Pensacola, FL 32508-5217 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ weekdays, occasional weekends	200009
IR023	CG MCAS CHERRY POINT, ATTN RAC-DIROPS, Cherry Point, NC 28533 DSN 582-3466, C252	Central Scheduling Division, MCAS Cherry Point, NC 28533 DSN 582-4040/4041, C252	KZ	US	WGE	WGE	Continuous	200309
IR026	FACSFACJAX, PO Box 40, NAS Jacksonville, FL 32212-0040 DSN 942-2004/2005 C904-54	Same as Originating Activity	KZ	US	WGE	WGE	By NOTAM	200606
IR027	FACSFACJAX, PO Box 40, NAS Jacksonville, FL 32212-0040 DSN 942-2004/2005 C904-54	Same as Originating Activity	KZ	US	WGE	WGE	By NOTAM	200606
IR030	Commander Naval Air Warfare Center, Weapons Division, Code 52911GE, NAWS, Point	Same as Originating Activity	KZ	US	WGE	WGE	Daylight hours only, daily	200009
IR031	Commander Naval Air Warfare Center, Weapons Division, Code 52911GE, NAWS, Point	Same as Originating Activity	KZ	US	WGE	WGE	Daylight hours only, daily	200009
IR032	Commander Naval Air Warfare Center, Weapons Division, Code 52911GE, NAWS, Point	Commander Fleet Area Control and Surveillance Facility Jacksonville, Naval Air S	KZ	US	WGE	WGE	Daylight hours	200103
IR033	Commander Naval Air Warfare Center, Weapons Division, Code 52911GE, NAWS, Point	Commander Fleet Area Control and Surveillance Facility Jacksonville, Naval Air S	KZ	US	WGE	WGE	Daylight hours	200009
IR034	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0600-2400 local	200313
IR035	437 AW/C-17 OSS/OSOT Charleston AFB, SC 29404 DSN 673-5613, C803-566-5613.	20 OSS/OSOS, Shaw AFB, SC 29152-5000 Duty hours DSN 965-1118/1119 C803-895-1118,	KZ	US	WGE	WGE	0600-2200 local, daily	200011
IR036	437 AW/C-17 OSS/OSOT Charleston AFB, SC 29404 DSN 673-5613, C803-566-5613.	20 OSS/OSOS, Shaw AFB, SC 29152-5000 Duty hours DSN 965-1118/1119 C803-895-1118,	KZ	US	WGE	WGE	0600-2200 local, daily	200011
IR037	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	Mon-Fri 1200-0400Z++, occasional weekends	200009
IR038	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C904-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	Sunrise-Sunset, Mon-Fri, occasional weekends	200009
IR040	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	Mon-Fri 1200-0400Z++, occasional weekends	200009
IR044	COMTRAWING ONE, NAS Meridian, MS 39309-0136 DSN 637-2487, C601-637-2487.	Same as Originating Activity	KZ	US	WGE	WGE	Sunrise-Sunset	199905
IR046	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0700-2400 local, daily	200313
IR047	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0700-2400 local, daily	200313
IR048	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0700-2400 local, daily	200313
IR049	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0700-2400 local, daily	200109
IR050	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0700-2400 local, daily	200109
IR051	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0700-2400 local, daily	200109
IR053	347 Rescue Wing, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33	347 Rescue Wing, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 3	KZ	US	WGE	WGE	0600-2400 local, daily	200313
