MTR_IDENT	RMK_SEQ	REMARKS	CYCLE_DATE
IR002	1	TERRAIN FOLLOWING OPERATIONS: Authorized from A to H. ROUTE WIDTH - 5 NM either side of centerline for the entire route. Special Operating Procedures:	200011
IR002	2	(1) Monitor Atlanta ARTCC on 254.3 at B. (2) Contact Atlanta ARTCC on 269.5 passing F. If no contact, try Asheville APP CON on 351.8 124.65 for further IFR clearance.	200011
IR002	3	(3) CAUTION: Heavy civil IFR traffic crossing on V-16, V-185, V-136 immediately above route altitude block D to H. NOTE: Knoxville Approach Control has very good radar coverage in this area (frequency 360.8/353.6).	200011
IR002	4	(4) CAUTION: Hang Glider Activity: N36-26.7 W84-02.7, N36-15.0 W83-38.0, N36-22.0 W83-22.0, N35-54.5 W83-17.8. (5) CAUTION:	200011
IR002	5	(a) Tower cluster 250' AGL (3779' MSL) N35-54.0 W83-18.2. (b) Tower 300' AGL (1500' MSL) N36-08.8 W83-13.3. (6) CAUTION: IR-743/VR-1743 same direction E to H (Deconflict with 20 OSS/OSOS).	200011
IR002	6	(7) Include route entry/exit times in the remarks section of flight plan. (8) Make entry times plus or minus 5 minutes or reschedule. Unpublished towers found by route surveys 200' AGL and above are listed in this SOP.	200011
IR002	7	(9) CAUTION: Tower cluster 200' AGL (2300' MSL) N36-33.8 W84-07.4. (10) Caution:  10 towers at: (a) 200'AGL N36-16.93 W84-28.28;	200011
IR002	8	(b) 250'AGL N36-24.11 W83-38.40; (c) 250'AGL N36-12.08 W83-22.12; (d) 250'AGL N36-26.95 W83-35.98;	200011
IR002	9	(e) 250'AGL N36-32.06 W83-42.79; (f) 250'AGL N35-50.20 W83-09.30; (g) 250'AGL N35-46.10 W83-16.70;	200011
IR002	10	(h) 250'AGL N35-46.90 W83-14.80; (i) 250'AGL N35-48.01 W83-14.70; (j) 250'AGL N35-59.85 W83-13.17.	200011
IR002	11	FSS's Within 100 NM Radius: AND, BNA, HUA, LOU	200011
IR012	1	TERRAIN FOLLOWING OPERATIONS: Authorized from A to E, and from A to FA. ROUTE WIDTH - 5 NM either side of centerline from A to B; 4 NM either side of centerline from B to E; 3 NM left and 1 NM right of centerline from E to F; 3 NM l	200011
IR012	2	eft of centerline  from F to abeam the NKT 035/34 (N35-25.0 W76-35.3), then 3 NMeither side of centerline to H. Special Operating Procedures:	200011
IR012	3	(1) CAUTION: Numerous large towers along route. (2) Monitor Wilmington Approach 284.65 346.35 passing A. (3) Contact Seymour Johnson APP CON (273.6) at B.	200011
IR012	4	(4) Contact Cherry Point Approach (374.9) passing D. (5) Alternate Exit E will be filed and utilized unless prior clearance has been coordinated to enter R-5314 or R-5306A.	200011
IR012	5	(6) IFR clearance must be received before departing R-5314 (Washington 272.75) or R-5306A (Cherry Point 268.7). (7) Alternate Entry: B.	200011
IR012	6	(8) Alternate Exit: E1 and FA. (9) Minimum exit altitude for the alternate exit route is 1500' AGL. (10) Avoid: Overflight of towns east of D by 1 NM.	200011
IR012	7	(11) CAUTION: VR-1043 (Deconflict DSN 582-4040/4041) and VR-1069 (Deconflict DSN583-8231) crosses right to left A and B. (12) CAUTION: IR-062 crosses left to right A to B and crosses right to left B to	200011
IR012	8	C. (Deconflict DSN 433-1228). (13) CAUTION: VR-1074 same direction C to F. (Deconflict DSN 488-6565). (14) CAUTION: VR-1046 crosses right to left C to D and crosses left to right D t	200011
IR012	9	o E. (Deconflict DSN 582-4040/4041). (15) Avoid: Lake Mahamuskeet, Pungo Lake, Swan Quarter National Wildlife Refugesby 2000' AGL.	200011
IR012	10	(16) Caution 5 towers; (a) 310' AGL (390' MSL) at N34-48.9 W78-03.0; (b) 800' AGL (900' MSL) at N34-55.5 W78-04.4;	200011
IR012	11	(c) 500' AGL (560' MSL) at N35-08.5 W77-30.5; (d) 649' AGL (655' MSL) at N35-17.4 W76-45.6; (e) 350' AGL (500' MSL) at N34-55.5 W78-05.7;	200011
IR012	12	(f) 350' AGL (400' MSL) at N35-16.3 W77-10.2. (17) Avoid uncharted 3000' private grass strip at N35-12.3 W77-09.0. (18) Avoid: Noise Sensitive Areas:	200011
IR012	13	(a) N35-12.8 W77-11.3; by 1000' AGL/2 NM. (b) N35-01.5 W77-38.0; by 1000' AGL/1 NM. (19) Unpublished towers found by surveys 200' AGL and above are in this SOP.	200011
IR012	14	FSS's Within 100 NM Radius: RDU	200011
IR015	1	TERRAIN FOLLOWING OPERATIONS: Authorized from A to C and D to H within publishedaltitudes. Aircraft equipped with terrain following equipment may descend in IMC conditions.	200103
IR015	2	ROUTE WIDTH - 5 NM either side of centerline from A to B; 5 NM left and 2 NM right from B to C; 5 NM either side of centerline from C to D; 3 NM either side of centerline from D to E; 3 NM left and 4 NM right from E to G; 5 NM either side o	200103
IR015	3	f centerline from G to H. Special Operating Procedures: (1) Tie-in FSS: Macon (MCN).	200103
IR015	4	(2) Alternate Entry: B and C. (3) Alternate Exit E filed and utilized unless scheduled for R-2914A. Alternate Exit F authorized only with scheduled use of Tyndall C MOA.	200103
IR015	5	(4) Altitudes up to 7000' MSL for maneuvers between C and D are available when approved by Tallahassee APP CON 250' AGL (3779' MSL). Contact Tallahassee APP CONat A and request maneuver area.	200103
