NAV_IDENT	TYPE	CTRY	NAV_KEY_CD	STATE_PROV	NAME	ICAO	WAC	FREQ	USAGE_CD	CHAN	RCC	FREQ_PROT	POWER	NAV_RANGE	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	SLAVED_VAR	MAG_VAR	ELEV	DME_WGS_LAT	DME_WGS_DLAT	DME_WGS_LONG	DME_WGS_DLONG	DME_ELEV	ARPT_ICAO	OS	CYCLE_DATE
1A	5	CA	1		WILLIAMS HARBOUR	CZ	0178	373000K	L		H		U	U	WGE	WGE	N52333200	52.558889	W055465600	-55.782222		W023072 0106	00070					U	CCA6	I	200205
1B	5	CA	1		SABLE ISLAND	CZ	0312	277000K	L		H		U	U	WGE	WGE	N43555005	43.930569	W060012228	-60.022856		W019100 0106	U					U		I	200004
1CD	9	CA	1		NANAIMO	CY	0215		L	051Y	T		U	U	WGE	WGE	N49032600	49.057222	W123521800	-123.871667		E018282 0106	00083					U	CYCD	I	200412
1D	5	CA	1		CHARLOTTETOWN	CY	0178	346000K	L		MH		U	U	WGE	WGE	N52463017	52.775047	W056072652	-56.124033		W023163 0106	00209					U	CCH4	I	200204
1E	5	CA	1		BLACK TICKLE	CY	0178	349000K	L		MH		U	U	WGE	WGE	N53280020	53.466722	W055471452	-55.787367		W023398 0106	U					U	CCE4	I	200204
1F	5	CA	1		MANTA	CZ	0262	363000K	L		H		U	U	WGE	WGE	N47375000	47.630556	W065444100	-65.744722		W019367 0106	00193					U	CZBF	I	200204
1K	5	CA	1		ZAMA LAKE	CZ	0140	227000K	L		H		U	U	WGE	WGE	N59012400	59.023333	W118503500	-118.843056		E021275 0106	U					U	CFT9	O	200509
1S	5	CA	1		NORT OF SIXTY	CZ	0114	350000K	L		MH		U	U	WGE	WGE	N60190800	60.318889	W103074600	-103.129444		E009589 0106	U					U	CKV4	O	200513
1T	9	CA	1		LLOYDMINSTER	CY	0184		B	044X	T		25	99	WGE	WGE	N53184800	53.313333	W110044800	-110.080000		E014486 0106	02210					U	CYLL	I	200212
1U	5	CA	1		MASSET	CZ	0186	278000K	L		H		U	U	WGE	WGE	N54015400	54.031667	W132073800	-132.127222		E021073 0106	00025					U	CZMT	I	200205
1W	5	CA	1		SANDY BAY	CY	0183	412000K	L		H		U	U	WGE	WGE	N55323600	55.543333	W102163200	-102.275556		E008555 0106	01000					U	CJY4	I	200205
2A	5	CA	1		SOUTH INDIAN LAKE	CZ	0141	300000K	L		MH		U	U	WGE	WGE	N56473802	56.793894	W098541560	-98.904333		E005097 0306	00974					U	CZSN	I	200604
2B	5	CA	1		SPRINGDALE	CY	0223	364000K	L		H		U	U	WGE	WGE	N49292400	49.490000	W056110500	-56.184722		W021312 0106	00250					U	CCD2	I	200205
2F	9	CA	1		BATHURST	CZ	0262		B	091X	T		25	U	WGE	WGE	N47375300	47.631389	W065444000	-65.744444		W019367 0106	00191					U	CZBF	I	200212
2H	5	CA	1		LEBEL SUR QUEVILLON	CZ	0221	261000K	B		MH		U	U	WGE	WGE	N49021400	49.037222	W077011500	-77.020833		W014363 0106	U					U	CSH4	I	200301
2J	7	CA	1		GRAND FORKS	CZ	0216	250000K	L	034X	MH		U	U	WGE	WGE	N49010300	49.017500	W118252500	-118.423611		E017114 0106	01720					U	CZGF	O	200505
2K	5	CA	1		CAMROSE	CY	0184	405000K	L		H		U	U	WGE	WGE	N53015600	53.032222	W112484800	-112.813333		E016163 0106	02426					U	CEQ3	I	200205
2K	9	CA	1		CAMROSE	CY	0184		L	019X	T		U	U	WGE	WGE	N53015800	53.032778	W112485200	-112.814444		E016163 0106	02449					U	CEQ3	I	200308
2M	5	CA	1		OPAPIMISKAN LAKE	CZ	0182	393000K	L		H		U	U	WGE	WGE	N52361100	52.603056	W090222800	-90.374444		W003318 0106	00934					U	CKM8	I	200204
2Q	5	CA	1		MONT LAURIER	CZ	0263	373000K	L		MH		25	25	WGE	WGE	N46360900	46.602500	W075281400	-75.470556		W014310 0106	U					U	CSD4	I	200511
2S	7	CA	1		HIGH PRAIRIE	CZ	0184	406000K	B	039X	MH		U	U	WGE	WGE	N55234400	55.395556	W116290400	-116.484444		E018511 0106	02005	N55234500	55.395833	W116285400	-116.481667	02005	CZHP	I	200205
2T	5	CA	1		POKEMOUCHE	CY	0262	329000K	L		H		U	U	WGE	WGE	N47425400	47.715000	W064530900	-64.885833		W019527 0106	00068					U	CDA4	I	200204
