ORTCA_IDENT	ALT	NW_LAT	NW_DLAT	NW_LONG	NW_DLONG	NE_LAT	NE_DLAT	NE_LONG	NE_DLONG	SW_LAT	SW_DLAT	SW_LONG	SW_DLONG	SE_LAT	SE_DLAT	SE_LONG	SE_DLONG	CYCLE_DATE	ORTCA_ID
000727	06400	N84000000	84.000000	W080000000	-80.000000	N84000000	84.000000	W079000000	-79.000000	N83000000	83.000000	W080000000	-80.000000	N83000000	83.000000	W079000000	-79.000000	199907	0007027
000728	06400	N84000000	84.000000	W079000000	-79.000000	N84000000	84.000000	W078000000	-78.000000	N83000000	83.000000	W079000000	-79.000000	N83000000	83.000000	W078000000	-78.000000	199907	0007028
000729	06400	N84000000	84.000000	W078000000	-78.000000	N84000000	84.000000	W077000000	-77.000000	N83000000	83.000000	W078000000	-78.000000	N83000000	83.000000	W077000000	-77.000000	199907	0007029
000730	06400	N84000000	84.000000	W077000000	-77.000000	N84000000	84.000000	W076000000	-76.000000	N83000000	83.000000	W077000000	-77.000000	N83000000	83.000000	W076000000	-76.000000	199907	0007030
000731	07400	N84000000	84.000000	W076000000	-76.000000	N84000000	84.000000	W075000000	-75.000000	N83000000	83.000000	W076000000	-76.000000	N83000000	83.000000	W075000000	-75.000000	199907	0007031
000732	07400	N84000000	84.000000	W075000000	-75.000000	N84000000	84.000000	W074000000	-74.000000	N83000000	83.000000	W075000000	-75.000000	N83000000	83.000000	W074000000	-74.000000	199907	0007032
000733	07400	N84000000	84.000000	W074000000	-74.000000	N84000000	84.000000	W073000000	-73.000000	N83000000	83.000000	W074000000	-74.000000	N83000000	83.000000	W073000000	-73.000000	199907	0007033
000734	07400	N84000000	84.000000	W073000000	-73.000000	N84000000	84.000000	W072000000	-72.000000	N83000000	83.000000	W073000000	-73.000000	N83000000	83.000000	W072000000	-72.000000	199907	0007034
000735	06100	N84000000	84.000000	W072000000	-72.000000	N84000000	84.000000	W071000000	-71.000000	N83000000	83.000000	W072000000	-72.000000	N83000000	83.000000	W071000000	-71.000000	199907	0007035
000750	04600	N83000000	83.000000	W092000000	-92.000000	N83000000	83.000000	W091000000	-91.000000	N82000000	82.000000	W092000000	-92.000000	N82000000	82.000000	W091000000	-91.000000	199907	0007050
000751	04600	N83000000	83.000000	W091000000	-91.000000	N83000000	83.000000	W090000000	-90.000000	N82000000	82.000000	W091000000	-91.000000	N82000000	82.000000	W090000000	-90.000000	199907	0007051
000752	04600	N83000000	83.000000	W090000000	-90.000000	N83000000	83.000000	W089000000	-89.000000	N82000000	82.000000	W090000000	-90.000000	N82000000	82.000000	W089000000	-89.000000	199907	0007052
000753	04600	N83000000	83.000000	W089000000	-89.000000	N83000000	83.000000	W088000000	-88.000000	N82000000	82.000000	W089000000	-89.000000	N82000000	82.000000	W088000000	-88.000000	199907	0007053
000754	09100	N83000000	83.000000	W088000000	-88.000000	N83000000	83.000000	W087000000	-87.000000	N82000000	82.000000	W088000000	-88.000000	N82000000	82.000000	W087000000	-87.000000	199907	0007054
000755	09100	N83000000	83.000000	W087000000	-87.000000	N83000000	83.000000	W086000000	-86.000000	N82000000	82.000000	W087000000	-87.000000	N82000000	82.000000	W086000000	-86.000000	199907	0007055
000756	09100	N83000000	83.000000	W086000000	-86.000000	N83000000	83.000000	W085000000	-85.000000	N82000000	82.000000	W086000000	-86.000000	N82000000	82.000000	W085000000	-85.000000	199907	0007056
000757	09100	N83000000	83.000000	W085000000	-85.000000	N83000000	83.000000	W084000000	-84.000000	N82000000	82.000000	W085000000	-85.000000	N82000000	82.000000	W084000000	-84.000000	199907	0007057
000758	10100	N83000000	83.000000	W084000000	-84.000000	N83000000	83.000000	W083000000	-83.000000	N82000000	82.000000	W084000000	-84.000000	N82000000	82.000000	W083000000	-83.000000	199907	0007058
000759	10100	N83000000	83.000000	W083000000	-83.000000	N83000000	83.000000	W082000000	-82.000000	N82000000	82.000000	W083000000	-83.000000	N82000000	82.000000	W082000000	-82.000000	199907	0007059
000760	10100	N83000000	83.000000	W082000000	-82.000000	N83000000	83.000000	W081000000	-81.000000	N82000000	82.000000	W082000000	-82.000000	N82000000	82.000000	W081000000	-81.000000	199907	0007060
