PJA_IDENT	SEG_NBR	NAME	ICAO_REGION	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	TYPE	RADIUS1	RADIUS2	BEARING1	BEARING2	DISTANCE1	DISTANCE2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
AR00001	00010	LOBOS	SA	R	B									S34492700	-34.824167	W058320700	-58.535278	5			231.0	243.0	28.0	47.0	EZE	4	AR	1	200412
AU00050	00010	OBERWART	LO	C										N47180000	47.300000	E016111000	16.186111	4	1.00										200401
AU00100	00010	WELS	LO	C										N48110500	48.184722	E014022500	14.040278	4	1.00										200401
AU32767	00010	WIENER NEUSTADT/VOSLAU	LO	H		N47553300	47.925833	E016105300	16.181389	N47540300	47.900833	E016161000	16.269444					4											200401
AU32767	00020	WIENER NEUSTADT/VOSLAU	LO	H		N47540300	47.900833	E016161000	16.269444	N47514500	47.862500	E016165500	16.281944					4											200401
AU32767	00030	WIENER NEUSTADT/VOSLAU	LO	H		N47514500	47.862500	E016165500	16.281944	N47515900	47.866389	E016180400	16.301111					4											200401
AU32767	00040	WIENER NEUSTADT/VOSLAU	LO	H		N47515900	47.866389	E016180400	16.301111	N47474700	47.796389	E016180000	16.300000					4											200401
AU32767	00050	WIENER NEUSTADT/VOSLAU	LO	H		N47474700	47.796389	E016180000	16.300000	N47453500	47.759722	E016130600	16.218333					4											200401
AU32767	00060	WIENER NEUSTADT/VOSLAU	LO	H		N47453500	47.759722	E016130600	16.218333	N47465400	47.781667	E016043700	16.076944					4											200401
AU32767	00070	WIENER NEUSTADT/VOSLAU	LO	H		N47465400	47.781667	E016043700	16.076944	N47553300	47.925833	E016105300	16.181389					4											200401
BE00001	00010	ARENDONK	EB	C										N51202200	51.339444	E005022500	5.040278	4	2.00										200012
BE00002	00010	FROIDCHAPELLE/JOUNION	EB	C										N50101700	50.171389	E004211000	4.352778	4	2.00										200012
BE00003	00010	HOEVENEN	EB	C										N51181909	51.305303	E004232609	4.390581	4	2.00										200012
BE00004	00010	LEOPOLDSBURG/BEVERLO	EB	C										N51071200	51.120000	E005182500	5.306944	4	3.00										200012
BE00005	00010	MEEUWEN-GRUITRODE	EB	C										N51021200	51.036667	E005312100	5.522500	4	2.00										200607
BE00006	00010	MOORSELE	EB	C										N50511000	50.852778	E003085000	3.147222	4	2.00										200012
BE00007	00010	NAMUR/SUARLEE	EB	C										N50285700	50.482500	E004455500	4.765278	4	2.00										200012
BE00008	00010	NOERTRANGE	EB	C										N49584700	49.979722	E005545600	5.915556	4	2.00										200012
BE00009	00010	OOSSTMALLE	EB	C										N51185900	51.316389	E004454100	4.761389	4	2.00										200012
BE00011	00010	SPA	EB	C										N50285700	50.482500	E005543700	5.910278	4	2.00										200205
BE00012	00010	SCHAFFEN/DIEST	EB	C										N50595700	50.999167	E005035500	5.065278	4	1.50										200012
BE00014	00010	ZOERSEL	EB	C										N51155300	51.264722	E004451200	4.753333	4	3.00										200012
BE00015	00010	SPA	EB	H		N50292500	50.490278	E005520700	5.868611	N50310500	50.518056	E005545600	5.915556					4											200205
BE00015	00020	SPA	EB	H		N50310500	50.518056	E005545600	5.915556	N50273900	50.460833	E005565600	5.948889					4											200205
BE00015	00030	SPA	EB	H		N50273900	50.460833	E005565600	5.948889	N50292500	50.490278	E005520700	5.868611					4											200205
BE00016	00010	OUD/TURNHOUT	EB	C										N51191800	51.321667	E005002700	5.007500	4	2.00										200504
CA00102	00010	BARRHEAD	CZ	A										N54060000	54.100000	W114260000	-114.433333	4	0.10										200014
CA00104	00010	BOW ISLAND	CZ	A										N49530000	49.883333	W111200000	-111.333333	4	0.10										200014
CA00106	00010	DIDSBURY(CANADIAN SKYDIVE CENTER)	CZ	A										N51375400	51.631667	W114063301	-114.109169	4	0.10										199712
CA00110	00010	FORT MCMURRAY	CZ	A										N56391000	56.652778	W111131798	-111.221661	4	0.10										199712
CA00112	00010	HESPERO	CZ	A										N52180000	52.300000	W114274900	-114.463611	4	0.10										199712
CA00114	00010	TABER	CZ	A										N49493600	49.826667	W112110600	-112.185000	4	0.10										199712
CA00116	00010	WESTLOCK	CZ	A										N54083200	54.142222	W113442702	-113.740839	4	0.10										199712
CA00217	00010	BEAVERLY	CZ	A										N53512000	53.855556	W122542700	-122.907500	4	0.10										200012
CA00218	00010	CAMPBELL RIVER	CZ	A										N49570300	49.950833	W125161500	-125.270833	4	0.10										200306
CA00219	00010	CHILLIWACK	CY	A										N49091000	49.152778	W121562000	-121.938889	4	0.10										200306
CA00220	00010	COMOX	CZ	A										N49423900	49.710833	W124531200	-124.886667	4	0.10										199804
CA00222	00010	PITT MEADOWS	CZ	A										N49125800	49.216111	W122423600	-122.710000	4	0.10										199712
CA00224	00010	POWELL RIVER	CZ	A										N49500300	49.834167	W124300000	-124.500000	4	0.10										199712
CA00226	00010	QUALICUM BEACH	CZ	A										N49201400	49.337222	W124233800	-124.393889	4	0.10				5.0						199804
CA00228	00010	QUALICUM BEACH 2	CZ	A										N49210000	49.350000	W124280000	-124.466667	4	0.10										199804
CA00232	00010	SMITHERS	CZ	C		N54492900	54.824722	W127105801	-127.182781					N54445091	54.747475	W127141026	-127.236183	3	0.10		180.4		5.0						200508
CA00234	00010	VERNON	CZ	A										N50150000	50.250000	W119200002	-119.333339	4	0.10										199712
CA00236	00010	WOODCOCK	CZ	A										N55040000	55.066667	W128140002	-128.233339	4	0.10										199712
CA00310	00010	BRANDON MUNI	CZ	A										N49543500	49.909722	W099570300	-99.950833	4	0.10				1.5						200014
CA00320	00010	GIMLI INDUS PARK	CZ	A										N50374100	50.628056	W097023600	-97.043333	4	0.10										200012
CA00325	00010	STEINBACH	CZ	A										N49325800	49.549444	W096404600	-96.679444	4	0.10										200306
CA00330	00010	ST FRANCOIS XAVIER	CY	A										N49530000	49.883333	W097300000	-97.500000	4	0.10										200012
CA00340	00010	WINNIPEG INTL	CY	A										N49530000	49.883333	W097300000	-97.500000	4	0.10										200012
