PJA_IDENT	NAME	ICAO_REGION	STATE_PROV	OPR_TIME	HOURS	ALT	CYCLE_DATE
AR00001	LOBOS	SA		5		FL120	200101
AU00050	OBERWART	LO		5		07000AMSL	200402
AU00100	WELS	LO		5		04000AMSL	200402
AU32767	WIENER NEUSTADT/VOSLAU	LO		5		14000AMSL	200402
BE00001	ARENDONK	EB		67	0700SS	FL125	200012
BE00002	FROIDCHAPELLE/JOUNION	EB		670		FL100	200012
BE00003	HOEVENEN	EB		167		FL100	200012
BE00004	LEOPOLDSBURG/BEVERLO	EB		167		FL100	200012
BE00005	MEEUWEN-GRUITRODE	EB		167		FL130	200607
BE00006	MOORSELE	EB		670		FL125	200012
BE00007	NAMUR/SUARLEE	EB		1		FL105	200012
BE00008	NOERTRANGE	EB		1		FL075	200012
BE00009	OOSSTMALLE	EB		167		FL100	200012
BE00011	SPA	EB		5	0900-SS	04000AMSL	200205
BE00012	SCHAFFEN/DIEST	EB		167		FL100	200012
BE00014	ZOERSEL	EB		167		FL100	200012
BE00015	SPA	EB		5	0900-SS	FL080	200205
BE00016	OUD/TURNHOUT	EB		167		FL125	200504
CA00102	BARRHEAD	CZ		1	1100-1200	12000AMSL	200412
CA00104	BOW ISLAND	CZ		1		09500AMSL	200306
CA00106	DIDSBURY(CANADIAN SKYDIVE CENTER)	CZ		1		12500AMSL	200306
CA00110	FORT MCMURRAY	CZ		1		UNK	200306
CA00112	HESPERO	CZ		1		12500AMSL	200306
CA00114	TABER	CZ		1		UNK	200306
CA00116	WESTLOCK	CZ		1		UNK	200306
CA00217	BEAVERLY	CZ		3		12500AMSL	200306
CA00218	CAMPBELL RIVER	CZ		1		12500AMSL	200306
CA00219	CHILLIWACK	CY		1		09000AMSL	200306
CA00220	COMOX	CZ		3		12500AMSL	200306
CA00222	PITT MEADOWS	CZ		1		12500AMSL	200306
CA00224	POWELL RIVER	CZ		16		UNK	200306
CA00226	QUALICUM BEACH	CZ		3		10000AMSL	200306
CA00228	QUALICUM BEACH 2	CZ		1		10000AMSL	200306
CA00232	SMITHERS	CZ		0		UNK	200306
CA00234	VERNON	CZ		3		UNK	200306
CA00236	WOODCOCK	CZ		3		UNK	200306
CA00310	BRANDON MUNI	CZ		15		14000AMSL	200306
CA00320	GIMLI INDUS PARK	CZ		15		12000AMSL	200306
CA00325	STEINBACH	CZ		1		11000AMSL	200306
CA00330	ST FRANCOIS XAVIER	CY		5		03000AMSL	200306
CA00340	WINNIPEG INTL	CY		5		03000AMSL	200306
CA00430	GRAND FALLS	CZ		1		09500AMSL	200306
CA00440	MCEWEN	CZ		120		12500AMSL	200306
CA00450	ST STEPHEN	CZ		15	MAY-OCT	10000AMSL	200306
CA00730	DEBERT	CZ		15		12500AMSL	200306
CA00740	MIDDLE STEWIACKE	CZ		1		12000AMSL	200306
CA00750	PORT HAWKESBURY	CZ		1		10500AMSL	200306
CA00760	WATERVILLE, KINGS CO MUNI	CZ		1		12500AMSL	200306
CA00810	ARNPRIOR, SOUTH RENFREW MUNI	CZ		3	DAY	12500AMSL	200306
CA00820	CHATHAM	CZ		130	BY NOTAM	12500AMSL	200306
CA00830	DUNNVILLE	CZ		14		12500AMSL	200306
CA00840	EMBRUN	CZ		3	DAY	12500AMSL	200306
CA00850	MOUNTAIN VIEW	CZ		1		UNK	200306
CA00860	PEMBROKE	CZ		130		08000AMSL	200306
CA00874	PETAWAWA	CZ		130		08000AMSL	200306
CA00978	SUMMERSIDE	CZ		1		12500AMSL	200306
CA10080	AMOS MUNI	CZ		15		10000AMSL	200306
CA10182	CHICOUTIMI ST HONORE	CZ		1		12500AMSL	200306
CA10284	FARNHAM	CZ		15		16500AMSL	200306
CA10386	JOLIETTE	CZ		5	1300-0100	12500AMSL	200306
CA10488	LOURDES-DE-JOLIETTE	CZ		1		14500AMSL	200306
CA10590	OTTAWA, GATINEAU	CZ		5	1100-0500	15000AMSL	200306
CA10692	RIMOUSKI	CZ		5	1100-0100	09000AMSL	200306
CA10794	ST FREDERIC	CZ		1		15000AMSL	200306
CA10896	ST JEAN CHRYSOSTOME	CZ		5	1100-0500	16000AMSL	200306
CA10998	VICTORIAVILLE	CZ		5	1130-0400	16000AMSL	200306
CA11100	ESTEVAN	CZ		5	2200-SS	11500AMSL	200306
CA11110	MOOSE JAW MUNI	CZ		3		12000AMSL	200310
CA11120	PRINCE ALBERT GLASS FLD	CZ		3		15000AMSL	200306
CA11130	WAKAW	CZ		1		12000AMSL	200306
CA11140	WEYBURN	CZ		1		09500AMSL	200306
CA12132	CARCROSS	CY		1		12500AMSL	200306
CQ00001	DAN DAN DROP ZONE MP	PG		3		14000AMSL	200412
CQ00003	OLEAI VILLAGE	PG		1		10000AMSL	200014
CY00002	KINGSFIELD	LC		1		10000AMSL	200012
DA00001	ALLEROD	EK		3		UNK	200012
DA00002	AALBORG	EK		3		UNK	200012
DA00003	AARHUS	EK		3		UNK	200403
DA00004	BELDRINGE/ODENSE	EK		3		UNK	200012
DA00005	BIERSTED	EK		3		UNK	200012
DA00006	N OF EJSTRUPHOLM	EK		3		UNK	200012
DA00007	ESJBERG	EK		3		UNK	200012
DA00008	FREDERIKSSUND NORD	EK		3		UNK	200401
DA00010	HADSUND	EK		3		UNK	200012
DA00011	HASLEV/AVERSI	EK		3		UNK	200012
DA00012	HUNDESTED	EK		3		UNK	200012
DA00014	KRUSA/PADBORG	EK		3		UNK	200012
DA00015	LAESOE	EK		3		UNK	200012
DA00016	LINDTORP	EK		3		UNK	200012
DA00018	MARIBO	EK		3		UNK	200012
DA00020	RINGSTED/TOLSTRUP	EK		3		UNK	200012
DA00021	ROSKILDE	EK		3		UNK	200012
DA00022	RONNE	EK		3		UNK	200012
DA00023	SAMSOE	EK		3		UNK	200012
DA00024	SKIVE	EK		3		UNK	200012
DA00025	STAUNING	EK		3		UNK	200012
DA00026	SONDERBORG	EK		3		UNK	200012
