PR_IDENT	SEG_NBR	PT_TY1	PT_NAME_ID1	PT_NA_TY1	PT_CTRY1	PT_ATS_ICAO1	PT_KEY_CD1	PT_TY2	PT_NAME_ID2	PT_NA_TY2	PT_CTRY2	PT_ATS_ICAO2	PT_KEY_CD2	CYCLE_DATE
CZ00001	10	3	YQB	2	CA		1	5	J578	W		KZ		200501
CZ00001	20	5	J578	W		KZ		4	OMBRE		CA			199905
CZ00001	30	4	OMBRE		CA			5	V352	W		KZ		200501
CZ00001	40	5	V352	W		KZ		4	MAIRE		CA			199905
CZ00002	10	3	YBC	4	CA		1	5	V316	W		KZ		200501
CZ00002	20	5	V316	W		KZ		5	J563	W		KZ		200501
CZ00002	30	5	J563	W		KZ		3	YRI	1	CA	KZ	1	199905
CZ00002	40	3	YRI	1	CA		1	5	J560	W		KZ		200501
CZ00002	50	5	J560	W		KZ		3	YQB	2	CA	KZ	1	199905
CZ00002	60	3	YQB	2	CA		1	5	J578	W		KZ		200402
CZ00002	70	5	J578	W		KZ		4	OMBRE		CA			200402
CZ00002	80	4	OMBRE		CA			5	V352	W		KZ		200402
CZ00002	90	5	V352	W		KZ		4	MAIRE		CA			200402
CZ00003	10	5	V316	W		KZ		5	J563	W		KZ		200503
CZ00003	20	5	J563	W		KZ		3	YRI	1	CA	KZ	1	200503
CZ00003	30	3	YRI	1	CA		1	5	J578	W		KZ		200503
CZ00003	40	5	J578	W		KZ		5	V316	W		KZ		200503
CZ00004	10	5	J505	W		KZ		4	CONER		CA			199713
CZ00004	20	4	CONER		CA			3	SX	5	CA	KZ	1	199713
CZ00006	10	5	J537	W		KZ		4	GELLE		CA			199713
CZ00010	10	5	J508	W		KZ		4	BOOTH		CA			199713
CZ00010	20	4	BOOTH		CA			4	STAVE		CA			199713
CZ00010	30	4	STAVE		CA			1	BOOTH2					200105
CZ00012	10	5	J517	W		KZ		4	FARNS		CA			199713
CZ00012	20	4	FARNS		CA			5	J504	W		KZ		200003
CZ00012	30	5	J504	W		KZ		4	OPALE		CA			199713
CZ00014	10	5	J500	W		KZ		3	YDC	2	CA	KZ	1	200004
CZ00014	20	3	YDC	2	CA		1	5	J504	W		KZ		200004
CZ00014	30	5	J504	W		KZ		4	BOOTH		CA			200004
CZ00014	40	4	BOOTH		CA			4	STAVE		CA			200305
CZ00015	10	5	J508	W		KZ		4	TORON		CA			199713
CZ00016	10	5	J503	W		KZ		3	YNY	2	CA	KZ	1	199713
CZ00016	20	3	YNY	2	CA		1	5	J508	W		KZ		200003
CZ00016	30	5	J508	W		KZ		4	BOOTH		CA			199713
CZ00016	40	4	BOOTH		CA			4	STAVE		CA			200305
CZ00017	10	5	J576	W		KZ		3	YXE	2	CA	KZ	1	200006
CZ00017	20	3	YXE	2	CA		1	5	J515	W		KZ		200006
CZ00017	30	5	J515	W		KZ		3	VLR	2	CA	KZ	1	200006
CZ00017	40	3	VLR	2	CA		1	4	AMBIL		CA			200006
CZ00019	10	3	YHZ	4	CA		1	3	MLT	4	US	KZ	1	199713
CZ00019	20	3	MLT	4	US		1	3	VLV	4	CA	KZ	1	199713
CZ00019	30	3	VLV	4	CA		1	5	J509	W		KZ		200003
CZ00019	40	5	J509	W		KZ		4	MAIRE		CA			199713
CZ00020	10	3	YHZ	4	CA		1	3	MLT	4	US	KZ	1	199713
CZ00020	20	3	MLT	4	US		1	3	VLV	4	CA	KZ	1	199713
CZ00020	30	3	VLV	4	CA		1	5	J565	W		KZ		200003
CZ00020	40	5	J565	W		KZ		5	V363	W		KZ		200003
CZ00020	50	5	V363	W		KZ		4	CATOG		CA			199713
CZ00021	10	3	YHZ	4	CA		1	3	MLT	4	US	KZ	1	199713
CZ00021	20	3	MLT	4	US		1	3	VLV	4	CA	KZ	1	199713
CZ00021	30	3	VLV	4	CA		1	5	J509	W		KZ		200003
CZ00021	40	5	J509	W		KZ		4	MAIRE		CA			199713
CZ00022	10	3	YHZ	4	CA		1	3	MLT	4	US	KZ	1	199713
CZ00022	20	3	MLT	4	US		1	3	VLV	4	CA	KZ	1	199713
CZ00022	30	3	VLV	4	CA		1	5	J509	W		KZ		200003
CZ00022	40	5	J509	W		KZ		3	YOW	2	CA	KZ	1	199713
CZ00022	50	3	YOW	2	CA		1	5	J546	W		KZ		200003
CZ00022	60	5	J546	W		KZ		3	YSO	4	CA	KZ	3	199713
CZ00022	70	3	YSO	4	CA		3	5	V37	W		KZ		200003
CZ00023	10	3	YYZ	4	CA		1	3	OO	5	CA	KZ	1	200408
CZ00023	20	3	OO	5	CA		1	3	YCF	2	CA	KZ	1	200408
CZ00023	30	3	YCF	2	CA		1	5	J586	W		KZ		200501
CZ00023	40	5	J586	W		KZ		3	MSS	2	US	KZ	1	200408
CZ00023	50	3	MSS	2	US		1	5	V203	W		KZ		200408
CZ00023	60	5	V203	W		KZ		4	FRANX		CA			200408
CZ00024	10	3	YYZ	4	CA		1	5	J594	W		KZ		200408
CZ00024	20	5	J594	W		KZ		3	MSS	2	US	KZ	1	200408
CZ00024	30	3	MSS	2	US		1	5	V203	W		KZ		200408
CZ00024	40	5	V203	W		KZ		4	FRANX		CA			200408
CZ00025	10	3	YYZ	4	CA		1	3	OO	5	CA	KZ	1	200408
CZ00025	20	3	OO	5	CA		1	3	YCF	2	CA	KZ	1	200408
CZ00025	30	3	YCF	2	CA		1	5	J586	W		KZ		200408
CZ00025	40	5	J586	W		KZ		3	MSS	2	US	KZ	1	200408
CZ00026	10	3	YYZ	4	CA		1	5	J594	W		KZ		200408
CZ00026	20	5	J594	W		KZ		3	MSS	2	US	KZ	1	200408
CZ00027	10	3	YYZ	4	CA		1	3	OO	5	CA	KZ	1	200408
CZ00027	20	3	OO	5	CA		1	3	YCF	2	CA	KZ	1	200408
CZ00027	30	3	YCF	2	CA		1	4	LANRK		CA			200408
CZ00028	10	5	V37	W		KZ		3	ERI	2	US	KZ	1	200408
CZ00028	20	3	ERI	2	US		1	5	V43	W		KZ		200408
CZ00028	30	5	V43	W		KZ		3	YNG	2	US	KZ	1	200408
CZ00028	40	3	YNG	2	US		1	4	CUTTA		US			200408
CZ00029	10	3	YYZ	4	CA		1	3	OO	5	CA	KZ	1	200408
CZ00029	20	3	OO	5	CA		1	3	YCF	2	CA	KZ	1	200408
CZ00029	30	3	YCF	2	CA		1	3	MSS	2	US	KZ	1	200408
CZ00029	40	3	MSS	2	US		1	5	V203	W		KZ		200408
CZ00029	50	5	V203	W		KZ		4	FRANX		CA			200408
CZ00030	10	3	YYZ	4	CA		1	5	J594	W		KZ		200408
CZ00030	20	5	J594	W		KZ		3	MSS	2	US	KZ	1	200408
CZ00030	30	3	MSS	2	US		1	5	V203	W		KZ		200408
CZ00030	40	5	V203	W		KZ		4	FRANX		CA			200408
CZ00031	10	5	J598	W		KZ		4	MERYT		CA			200003
CZ00031	20	4	MERYT		CA			5	J508	W		KZ		200003
CZ00031	30	5	J508	W		KZ		4	BOOTH		CA			200003
CZ00031	40	4	BOOTH		CA			4	STAVE		CA			200305
CZ00033	10	5	V98	W		KZ		3	YYZ	4	CA	KZ	1	199713
CZ00033	20	3	YYZ	4	CA		1	5	J586	W		KZ		200003
CZ00033	30	5	J586	W		KZ		3	MSS	2	US	KZ	1	199713
CZ00033	40	3	MSS	2	US		1	5	V203	W		KZ		200403
CZ00033	50	5	V203	W		KZ		4	FRANX		CA			199713
CZ00034	10	5	V98	W		KZ		3	YYZ	4	CA	KZ	1	199713
CZ00034	20	3	YYZ	4	CA		1	5	J594	W		KZ		200003
CZ00034	30	5	J594	W		KZ		3	MSS	2	US	KZ	1	199713
CZ00034	40	3	MSS	2	US		1	5	V203	W		KZ		200403
CZ00034	50	5	V203	W		KZ		4	FRANX		CA			199713
CZ00035	10	5	V98	W		KZ		3	YYZ	4	CA	KZ	1	199713
CZ00035	20	3	YYZ	4	CA		1	5	J586	W		KZ		200003
CZ00035	30	5	J586	W		KZ		3	MSS	2	US	KZ	1	199713
CZ00036	10	5	V98	W		KZ		3	YYZ	4	CA	KZ	1	199713
CZ00036	20	3	YYZ	4	CA		1	5	J594	W		KZ		200003
CZ00036	30	5	J594	W		KZ		3	MSS	2	US	KZ	1	199713
CZ00037	10	5	V98	W		KZ		3	YYZ	4	CA	KZ	1	199713
CZ00037	20	3	YYZ	4	CA		1	5	J586	W		KZ		200003
CZ00037	30	5	J586	W		KZ		3	YCF	2	CA	KZ	1	199713
CZ00037	40	3	YCF	2	CA		1	4	LANRK		CA			200105
CZ00037	50	4	LANRK		CA			1	LANRK1					200105
CZ00038	10	5	V98	W		KZ		3	YYZ	4	CA	KZ	1	199713
CZ00038	20	3	YYZ	4	CA		1	5	J586	W		KZ		200003
CZ00038	30	5	J586	W		KZ		3	MSS	2	US	KZ	1	199713
CZ00038	40	3	MSS	2	US		1	5	V203	W		KZ		200003
CZ00038	50	5	V203	W		KZ		4	FRANX		CA			199713
CZ00039	10	5	V98	W		KZ		3	YYZ	4	CA	KZ	1	199713
CZ00039	20	3	YYZ	4	CA		1	5	J594	W		KZ		200003
CZ00039	30	5	J594	W		KZ		3	MSS	2	US	KZ	1	199713
CZ00039	40	3	MSS	2	US		1	5	V203	W		KZ		200003
CZ00039	50	5	V203	W		KZ		4	FRANX		CA			199713
CZ00041	10	5	V471	W		KZ		5	J509	W		KZ		200003
CZ00041	20	5	J509	W		KZ		4	MAIRE		CA			199713
CZ00042	10	5	V471	W		KZ		5	J509	W		KZ		200003
CZ00042	20	5	J509	W		KZ		3	VLV	4	CA	KZ	1	199713
CZ00042	30	3	VLV	4	CA		1	5	J565	W		KZ		200003
CZ00042	40	5	J565	W		KZ		5	V363	W		KZ		200003
CZ00042	50	5	V363	W		KZ		4	CATOG		CA			199713
CZ00043	10	5	V471	W		KZ		5	J509	W		KZ		200003
CZ00043	20	5	J509	W		KZ		4	MAIRE		CA			199713
CZ00044	10	5	V471	W		KZ		5	J509	W		KZ		200003
CZ00044	20	5	J509	W		KZ		3	YOW	2	CA	KZ	1	199713
CZ00044	30	3	YOW	2	CA		1	5	J546	W		KZ		200003
CZ00044	40	5	J546	W		KZ		3	YSO	4	CA	KZ	3	199713
CZ00044	50	3	YSO	4	CA		3	5	V37	W		KZ		200003
CZ00045	10	5	V98	W		KZ		3	YRI	1	CA	KZ	1	199713
CZ00045	20	3	YRI	1	CA		1	5	J560	W		KZ		200003
CZ00045	30	5	J560	W		KZ		3	YQB	2	CA	KZ	1	199713
CZ00045	40	3	YQB	2	CA		1	4	OMBRE		CA			199713
CZ00045	50	4	OMBRE		CA			5	V352	W		KZ		200003
CZ00045	60	5	V352	W		KZ		4	MAIRE		CA			199713
CZ00046	10	5	V98	W		KZ		3	YRI	1	CA	KZ	1	200503
CZ00046	20	3	YRI	1	CA		1	5	J578	W		KZ		200503
CZ00046	30	5	J578	W		KZ		5	V316	W		KZ		200503
CZ00046	40	5	V316	W		KZ		3	YQB	2	CA	KZ	1	200503
CZ00047	10	5	V316	W		KZ		5	J546	W		KZ		200003
CZ00047	20	5	J546	W		KZ		5	J555	W		KZ		200003
CZ00047	30	5	J555	W		KZ		5	V360	W		KZ		200003
CZ00048	10	5	V487	W		KZ		3	YJN	2	CA	KZ	1	200003
CZ00048	20	3	YJN	2	CA		1	3	ENE	2	US	KZ	1	200003
CZ00048	30	3	ENE	2	US		1	5	V167	W		KZ		200003
CZ00048	40	5	V167	W		KZ		4	SCUPP		US			200003
CZ00049	10	5	V282	W		KZ		4	BUGSY		US			199713
CZ00049	20	4	BUGSY		US			3	SYR	2	US	KZ	1	199713
CZ00049	30	3	SYR	2	US		1	3	ROC	2	US	KZ	1	199713
CZ00049	40	3	ROC	2	US		1	5	V510	W		KZ		200003
CZ00049	50	5	V510	W		KZ		4	EHMAN		US			199713
CZ00050	10	5	V316	W		KZ		5	J546	W		KZ		200003
CZ00050	20	5	J546	W		KZ		3	YQB	2	CA	KZ	1	199713
CZ00050	30	3	YQB	2	CA		1	5	J555	W		KZ		200003
CZ00050	40	5	J555	W		KZ		3	ML	5	CA	KZ	1	199713
CZ00051	10	3	YUL	4	CA		1	5	V316	W		KZ		200003
CZ00051	20	5	V316	W		KZ		5	J509	W		KZ		200003
CZ00051	30	5	J509	W		KZ		3	YOW	2	CA	KZ	1	199905
CZ00051	40	3	YOW	2	CA		1	5	J553	W		KZ		200003
CZ00051	50	5	J553	W		KZ		3	ECK	2	US	KZ	1	199905
CZ00051	60	3	ECK	2	US		1	5	J94	W		KZ		200003
CZ00051	70	5	J94	W		KZ		3	FNT	2	US	KZ	1	199905
CZ00051	80	3	FNT	2	US		1	3	PMM	4	US	KZ	1	199905
CZ00051	90	3	PMM	4	US		1	1	PMM4					200004
CZ00052	10	5	V282	W		KZ		4	BUGSY		US			199713
CZ00052	20	4	BUGSY		US			3	SYR	2	US	KZ	1	199713
CZ00052	30	3	SYR	2	US		1	5	J29	W		KZ		200003
CZ00052	40	5	J29	W		KZ		3	JHW	4	US	KZ	1	199713
CZ00052	50	3	JHW	4	US		1	3	CXR	4	US	KZ	1	199713
CZ00053	10	5	V282	W		KZ		4	BUGSY		US			200003
CZ00053	20	4	BUGSY		US			3	SYR	2	US	KZ	1	200003
CZ00053	30	3	SYR	2	US		1	5	J547	W		KZ		200003
CZ00053	40	5	J547	W		KZ		3	BUF	4	US	KZ	1	200003
CZ00053	50	3	BUF	4	US		1	3	YQO	4	CA	KZ	1	200003
CZ00053	60	3	YQO	4	CA		1	4	HADAR		CA			200003
CZ00053	70	4	HADAR		CA			1	HADAR2					200004
CZ00054	10	5	V282	W		KZ		4	BUGSY		US			199905
CZ00054	20	4	BUGSY		US			3	SYR	2	US	KZ	1	199905
CZ00054	30	3	SYR	2	US		1	5	J547	W		KZ		200003
CZ00054	40	5	J547	W		KZ		3	BUF	4	US	KZ	1	199905
CZ00054	50	3	BUF	4	US		1	3	YQO	4	CA	KZ	1	199905
CZ00054	60	3	YQO	4	CA		1	4	SPICA		CA			199905
CZ00054	70	4	SPICA		CA			1	SPICA2					200004
CZ00056	10	3	YJN	2	CA		1	5	V300	W		KZ		200003
CZ00056	20	5	V300	W		KZ		5	J500	W		KZ		200003
CZ00056	30	5	J500	W		KZ		3	MLT	4	US	KZ	1	199713
CZ00056	40	3	MLT	4	US		1	3	YZX	5	CA	KZ	1	200402
CZ00056	50	3	YZX	5	CA		1	3	YHZ	4	CA	KZ	1	200402
CZ00058	10	5	V316	W		KZ		5	J509	W		KZ		200003
CZ00058	20	5	J509	W		KZ		3	YOW	2	CA	KZ	1	199713
CZ00058	30	3	YOW	2	CA		1	5	J546	W		KZ		200003
CZ00058	40	5	J546	W		KZ		3	YSO	4	CA	KZ	3	199713
CZ00058	50	3	YSO	4	CA		3	5	V37	W		KZ		200003
CZ00058	60	5	V37	W		KZ		4	ANCOL		CA			199713
CZ00059	10	5	V282	W		KZ		5	J524	W		KZ		200003
CZ00059	20	5	J524	W		KZ		4	BUGSY		US			199713
CZ00059	30	4	BUGSY		US			5	J570	W		KZ		200003
CZ00059	40	5	J570	W		KZ		3	ALB	2	US	KZ	1	199713
CZ00059	50	3	ALB	2	US		1	3	PWL	4	US	KZ	1	199713
CZ00059	60	3	PWL	4	US		1	3	IGN	4	US	KZ	1	199713
CZ00059	70	3	IGN	4	US		1	5	V157	W		KZ		199713
CZ00060	10	3	YJN	2	CA		1	5	V300	W		KZ		200003
CZ00060	20	5	V300	W		KZ		5	J500	W		KZ		200003
CZ00061	10	5	V282	W		KZ		5	J524	W		KZ		200003
CZ00061	20	5	J524	W		KZ		4	BUGSY		US			199713
CZ00061	30	4	BUGSY		US			5	J570	W		KZ		200003
CZ00061	40	5	J570	W		KZ		3	ALB	2	US	KZ	1	199713
CZ00061	50	3	ALB	2	US		1	5	V213	W		KZ		200003
CZ00061	60	5	V213	W		KZ		3	SAX	2	US	KZ	1	199713
CZ00063	10	3	YUL	4	CA		1	5	V282	W		KZ		200003
CZ00063	20	5	V282	W		KZ		5	J524	W		KZ		200003
CZ00063	30	5	J524	W		KZ		4	BUGSY		US			199905
CZ00063	40	4	BUGSY		US			5	J570	W		KZ		200003
CZ00063	50	5	J570	W		KZ		3	ALB	2	US	KZ	1	199905
CZ00063	60	3	ALB	2	US		1	3	DNY	4	US	KZ	1	199905
CZ00063	70	3	DNY	4	US		1	4	SLATT		US			200406
CZ00064	10	5	V316	W		KZ		5	J546	W		KZ		200003
CZ00065	10	3	YUL	4	CA		1	5	V316	W		KZ		200003
CZ00065	20	5	V316	W		KZ		5	J546	W		KZ		200003
CZ00065	30	5	J546	W		KZ		3	YQB	2	CA	KZ	1	199905
CZ00065	40	3	YQB	2	CA		1	5	J555	W		KZ		200003
CZ00065	50	5	J555	W		KZ		3	YBC	4	CA	KZ	1	199905
CZ00065	60	3	YBC	4	CA		1	5	V316	W		KZ		200003
CZ00065	70	5	V316	W		KZ		3	YZV	1	CA	KZ	1	199905
CZ00066	10	5	V316	W		KZ		5	J509	W		KZ		200003
CZ00066	20	5	J509	W		KZ		3	YOW	2	CA	KZ	1	199713
CZ00066	30	3	YOW	2	CA		1	5	J546	W		KZ		200003
CZ00066	40	5	J546	W		KZ		3	YSO	4	CA	KZ	3	199713
CZ00066	50	3	YSO	4	CA		3	5	V37	W		KZ		200003
CZ00067	10	3	YUL	4	CA		1	5	J484	W		KZ		200511
CZ00067	20	5	J484	W		KZ		4	SASID		CA			200511
CZ00067	30	4	SASID		CA			3	YYB	4	CA	KZ	1	200511
CZ00067	40	3	YYB	4	CA		1	5	J513	W		KZ		200511
CZ00067	50	5	J513	W		KZ		3	YQT	2	CA	KZ	1	200511
CZ00067	60	3	YQT	2	CA		1	5	J500	W		KZ		200511
CZ00067	70	5	J500	W		KZ		3	VBI	2	CA	KZ	1	200511
CZ00067	80	3	VBI	2	CA		1	4	GOVIT		CA			200511
CZ00068	10	5	V487	W		KZ		3	YJN	2	CA	KZ	1	199713
