PR_IDENT	ICAO	LEVEL	START_NAME	DEST_NAME	ACFT_TYPE	ACFT_SPEED	UPPER_ALT	LOWER_ALT	EFFE_TIME1	EFFE_TIME2	EFFE_TIME3	CYCLE_DATE
CZ00001	CZ	H	BAGOTVILLE	PIERRE ELLIOTT TRUDEAU INTL			FL500	5900				200313
CZ00002	CZ	H	BAIE COMEAU	PIERRE ELLIOTT TRUDEAU INTL								200313
CZ00003	CZ	H	BAIE COMEAU	QUEBEC JEAN LESAGE INTL								200209
CZ00004	CZ	H	CALGARY INTL	CRANBROOK								200209
CZ00006	CZ	H	CALGARY INTL	EDMONTON INTL								200209
CZ00010	CZ	H	CALGARY INTL	VANCOUVER INTL								200209
CZ00012	CZ	H	CRANBROOK	CALGARY INTL								200209
CZ00014	CZ	H	CRANBROOK	VANCOUVER INTL								200209
CZ00015	CZ	H	EDMONTON INTL	CALGARY INTL								200209
CZ00016	CZ	H	EDMONTON INTL	VANCOUVER INTL								200209
CZ00017	CZ	H	EDMONTON INTL	WINNIPEG INTL								200209
CZ00019	CZ	H	HALIFAX INTL	PIERRE ELLIOTT TRUDEAU INTL								200313
CZ00020	CZ	H	HALIFAX INTL	MONTREAL INTL MIRABEL								200302
CZ00021	CZ	H	HALIFAX INTL	MONTREAL/ST HUBERT								200302
CZ00022	CZ	H	HALIFAX INTL	TORONTO								200210
CZ00023	CZ	H	HAMILTON	PIERRE ELLIOTT TRUDEAU INTL	N							200313
CZ00024	CZ	H	HAMILTON	PIERRE ELLIOTT TRUDEAU INTL	J		FL500	3100				200313
CZ00025	CZ	H	HAMILTON	MONTREAL INTL MIRABEL	N		FL500	3100				200302
CZ00026	CZ	H	HAMILTON	MONTREAL INTL MIRABEL	J		FL500	3100				200302
CZ00027	CZ	H	HAMILTON	OTTAWA MACDONALD CARTIER INTL			FL500	3100				200209
CZ00028	CZ	H	HAMILTON	PITTSBURG INTL								200209
