SUAS_IDENT	SECTOR	TYPE	NAME	ICAO	CON_AGCY	LOC_HDATUM	WGS_DATUM	COMM_NAME	FREQ1	FREQ2	LEVEL	UPPER_ALT	LOWER_ALT	EFF_TIMES	WX	CYCLE_DATE
(AYR908)		R	HIDES GASFIELDS	AYPY	OIL SEARCH LTD	AUA	WGE	OIL SEARCH LTD	134.5   M	9025    M	L	009500AMSL	SURFACE	CONT	VMC-IMC	200410
(DAD29)		D	AIR EXERCISES	DADA		WGE	WGE				L	002900AMSL	GND	CONT	VMC-IMC	200606
(DAD30)		D	FIRING EXERCISES	DADA		WGE	WGE				L	004000AMSL	GND	DAYS	VMC-IMC	200606
(DAD31)		D	GAS ERUPTION	DAAA		WGE	WGE				L	016500AMSL	GND	CONT	VMC-IMC	200606
(DIP14)		P	PROHIBITED BORDER	DIII	DAKAR ACC	WGE	WGE	ABIDJAN TWR	118.1   M		L	016000AGL	SURFACE	CONT	VMC-IMC	200108
(EB)TRA N 1		T	BRUSSELS AREA	EBBU		WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200610
(EB)TRA N 2		T	NAMUR AREA	EBBU		WGE	WGE				B	UNLTD	FL65	BY NOTAM	VMC-IMC	200610
(EB)TRA N 3		T	MEEUWEN AREA	EBBU		WGE	WGE				B	UNLTD	FL95	BY NOTAM	VMC-IMC	200610
(EB)TRA N A		T	NORTH ALPHA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL195	04500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TRA N B		T	NORTH BRAVO	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200610
(EB)TRA S 1		T	MEEUWEN AREA	EBBU		WGE	WGE				B	UNLTD	FL95	BY NOTAM	VMC-IMC	200610
(EB)TRA S 2		T	BEAURAING AREA	EBBU		WGE	WGE				B	UNLTD	FL65	BY NOTAM	VMC-IMC	200610
(EB)TRA S 3		T	GIVET AREA	EBBU		WGE	WGE				B	UNLTD	FL65	BY NOTAM	VMC-IMC	200610
(EB)TRA S 4		T	CHARLEROI AREA	EBBU		WGE	WGE				B	UNLTD	FL55	BY NOTAM	VMC-IMC	200610
(EB)TRA S 5		T	NEUFCHATEAU AREA	EBBU		WGE	WGE				B	UNLTD	FL65	BY NOTAM	VMC-IMC	200610
(EB)TRA S 6		T	DURBUY AREA	EBBU		WGE	WGE				B	FL165	FL55	BY NOTAM	VMC-IMC	200610
(EB)TRA S A		T	SOUTH ALPHA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL195	04500AMSL	BY NOTAM	VMC-IMC	200610
(EB)TRA S B		T	SOUTH BRAVO	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200508
(EB)TRA W A		T	WEST ALPHA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL195	04500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TRA W B		T	WEST BRAVO	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200508
(EB)TRA W C		T	WEST CHARLIE	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL115	04500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TRA W D		T	WEST DELTA	EBBU	SEMMERZAKE ATCC	WGE	WGE				H	UNLTD	FL195	BY NOTAM	VMC-IMC	200508
(EB)TRA11		T	URSEL	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	004500AGL	GND	BY NOTAM	VMC-IMC	200504
(EB)TRA14		T	KOKSIJDE	EBEB	SEMMERZAKE ATCC	WGE	WGE				L	FL245	02500AMSL	BY NOTAM	VMC-IMC	200203
(EB)TRA17		T	AWACS	EBSZ	BRUSSELS FIC	WGE	WGE				L	003500AMSL	01500AMSL	ACT DURING AWACS IFR APP ON RWY 09	VMC-IMC	200206
(EB)TRA22		T	BERTRIX-JEHONVILLE	EBEB		WGE	WGE				L	004500AMSL	GND	BY NOTAM	VMC-IMC	200201
(EB)TRA23		T	TIENEN	EBSZ	SEMMERZAKE ATCC	WGE	WGE				L	FL90	04500AMSL	CONT SR-SS	VMC-IMC	200201
(EB)TSA13A		T	CHANNEL A	EBEB	SEMMERZAKE ATCC	WGE	WGE				L	FL105	02500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TSA13B		T	CHANNEL B	EBEB	SEMMERZAKE ATCC	WGE	WGE				L	FL105	04500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TSA15		T	LO-RENINGE UAV AREA	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL95	04500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TSA24		T	ARDENNES 02	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI, 0600- 2200Z++, EXC HOL.	VMC-IMC	200508
(EB)TSA25		T	ARDENNES 03	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI 0600-2200Z++ EXC HOL.	VMC-IMC	200508
(EB)TSA25A		T	ARDENNES 03A	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI 0600-2200Z++ EXC HOL.	VMC-IMC	200610
(EB)TSA25B		T	ARDENNES 03B	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI 0600-2200Z++ EXC HOL.	VMC-IMC	200610
(EB)TSA26A		T	ARDENNES 01	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	UNLTD	FL95	MON-FRI, 0600- 2200Z++, EXC HOL.	VMC-IMC	200508
(EB)TSA26B		T	ARDENNES 04	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL95	04500AMSL	MON-FRI, 0600- 2200Z++, EXC HOL.	VMC-IMC	200508
(EB)TSA27		T	LEGLISE	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	FL245	04500AMSL	BY NOTAM	VMC-IMC	200610
(EB)TSA27A		T	LEGLISE	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL95	04500AMSL	BY NOTAM	VMC-IMC	200610
(EB)TSA27B		T	RONCHAMP	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL95	04500AMSL	BY NOTAM	VMC-IMC	200610
(EB)TSA27C		T	HOTON	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL95	04500AMSL	BY NOTAM	VMC-IMC	200610
(EB)TSA27D		T	FLORENNES CORRIDOR	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL70	FL50	BY NOTAM	VMC-IMC	200610
(EB)TSA28A		T	ELSENBORN 02	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL105	GND	BY NOTAM	VMC-IMC	200508
(EB)TSA28B		T	ELSENBORN 03	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL105	GND	BY NOTAM	VMC-IMC	200508
(EB)TSA29A		T	ARDENNES 06	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL145	04500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TSA29B		T	ARDENNES 07	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL95	04500AMSL	BY NOTAM	VMC-IMC	200508
(EB)TSA29C		T	LUXEMBOURG	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL95	02500AMSL	BY NOTAM	VMC-IMC	200508
(ED TRA 1)		T	MILITARY VARIABLE PROFILE AREA	EDBB	BERLIN MONITOR	WGE	WGE	BERLIN MONITOR	311.675 M		B	FL660	FL100	INTMT	VMC-IMC	200601
(EDCBA)1		T	CBA SEA 1	ED	DFS-IN WRITING ONLY	WGE	WGE	AS ASSIGNED BY ATC			B	FL660	FL55	MON-THU 0700-2300Z++, FRI 0700-1500Z++		200606
(EH)TRA01		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA01A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510
(EH)TRA02		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA02A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510
(EH)TRA03		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH NIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA03A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH NIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510
(EH)TRA04		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	123.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA04A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	123.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510
(EH)TRA05		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA05A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510
(EH)TRA06		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA06A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	H	FL500	FL300	INTMT	VMC-IMC	200510
