ARPT_IDENT	HIGH_IDENT	LO_IDENT	ICAO	HE_DT_LAT	HE_DT_DLAT	HE_DT_LONG	HE_DT_DLONG	HE_OVERRUN_DIS	HE_SURFACE	HE_OVERRUN_LAT	HE_OVERRUN_DLAT	HE_OVERRUN_LONG	HE_OVERRUN_DLONG	LO_DT_LAT	LO_DT_DLAT	LO_DT_LONG	LO_DT_DLONG	LO_OVERRUN_DIS	LO_SURFACE	LO_OVERRUN_LAT	LO_OVERRUN_DLAT	LO_OVERRUN_LONG	LO_OVERRUN_DLONG	CYCLE_DATE
AA30079	29	11	TNCA					00185	ASP	N12301623	12.504508	W070014071	-70.027975					00185	ASP	N12295377	12.498269	W070000888	-70.002467	200209
AC44813	25	07	TAPA					00197	ASP	N17074783	17.129954	W061481493	-61.804147	N17075228	17.131188	W061480744	-61.802068		U					200402
AE00011	33	15	OM						U										U					200610
AE01079	31	13	OMAR	N24464067	24.777964	E052334753	52.563201		U					N24465873	24.782981	E052332458	52.556828		U					200610
AE04602	35	17	OMAH					00355	ASP	N24050978	24.086050	E052274050	52.461251					00355	ASP	N24034288	24.061911	E052275774	52.466038	200403
AE05094	27	09	OMDM					00984	ASP	N25013540	25.026501	E055203709	55.343637					00984	ASP	N25013797	25.027214	E055231950	55.388749	200501
AE05715	30	12	OMSJ	N25191300	25.320278	E055315401	55.531669	00488	ASP	N25202061	25.339060	E055295641	55.499001	N25201438	25.337328	E055300725	55.502013	00488	ASP	N25190521	25.318113	E055320756	55.535435	200610
AE19613	31	13	OMAA					00180	ASP	N24264089	24.444692	E054380520	54.634778					00196	ASP	N24251696	24.421378	E054400345	54.667625	200608
AE31044	31L	13R	OMAM					00984	ASP	N24143289	24.242470	E054320371	54.534363					00984	ASP	N24130970	24.219361	E054340427	54.567854	200608
AE31044	31R	13L	OMAM					01000	ASP	N24153535	24.259820	E054315136	54.530934					01000	ASP	N24141205	24.236680	E054335224	54.564510	200608
AE52272	30L	12R	OMDB	N25145118	25.247550	E055222601	55.373890	00197	ASP	N25154469	25.262413	E055204943	55.347063	N25154168	25.261578	E055205495	55.348597	00197	ASP	N25143494	25.243040	E055225530	55.382028	200610
AE52272	30R	12L	OMDB					00395	ASP	N25160142	25.267060	E055204561	55.346002	N25155262	25.264616	E055210148	55.350411	00395	ASP	N25144969	25.247137	E055225501	55.381948	200610
AE56787	29	11	OMFJ					00328	ASP	N25070811	25.118919	E056182201	56.306114	N25065820	25.116165	E056184840	56.313445	00328	ASP	N25061913	25.105314	E056203235	56.342319	200404
AE68809	34	16	OMRK					00165	ASP	N25374864	25.630177	E055560159	55.933774					00165	ASP	N25354749	25.596526	E055563799	55.943887	200312
AE73364	33	15	OMAS					00492	U	N25090518	25.151438	E052521219	52.870053						U					200610
AE76816	31	13	OMAD	N24252568	24.423799	E054275204	54.464456	00607	ASP	N24261771	24.438253	E054263914	54.444206	N24260379	24.434387	E054265859	54.449607	00853	ASP	N24250477	24.417993	E054282105	54.472515	200411
AE80711	19	01	OMAL					01312	ASP	N24142474	24.240206	E055362185	55.606071					01080	ASP	N24165715	24.282541	E055364356	55.612100	200407
AF39176	24	06	OAMS	N36423570	36.709917	E067130465	67.217958	00150	CON	N36420310	36.700861	E067113478	67.192994	N36420590	36.701639	E067114244	67.195122		U					200413
AF60849	23	05	OAKN	N31303912	31.510867	E065512317	65.856436		U										U					200605
AF94313	29	11	OAKB	N34334707	34.563075	E069132337	69.223158	00160	CON	N34341430	34.570639	E069113768	69.193800	N34341359	34.570442	E069114042	69.194561	00189	CON	N34333967	34.561019	E069135207	69.231131	200604
AG00060	23	05	DABT					00350	ASP	N35443762	35.743784	E006173858	6.294051					00375	ASP	N35453767	35.760464	E006192350	6.323195	200608
AG00062	27	09	DA						U									00550	GRE	N26342131	26.572587	E008294906	8.496962	200104
AG03193	26	08	DAAE					00204	ASP	N36423566	36.709906	E005032153	5.055981					00113	ASP	N36424919	36.713663	E005050037	5.083436	200608
AG10462	19	01	DABB					00060	ASP	N36490531	36.818142	E007483122	7.808673	N36490913	36.819203	E007483180	7.808833	00065	ASP	N36504294	36.845261	E007484596	7.812766	200610
AG10462	23	05	DABB					00135	ASP	N36491337	36.820382	E007482299	7.806385					00050	ASP	N36500020	36.833388	E007493697	7.826937	200608
AG14643	31	13	DAAJ					00255	ASP	N24173645	24.293459	E009270475	9.451318						U					200304
AG16901	24	06	DAOR	N31390461	31.651280	W002160504	-2.268067		U										U					200513
AG17978	23	05	DAAK					00650	ASP	N36315707	36.532519	E002513968	2.861022					00660	ASP	N36333330	36.559251	E002532991	2.891641	200606
AG23554	27	09	DA					00660	SAN	N30524051	30.877919	W003050778	-3.085494					01370	SAN	N30524969	30.880469	W003025172	-3.047700	200205
AG30555	34L	16R	DAUL						U									00610	ASP	N33444815	33.746708	E002561004	2.936122	200604
AG30555	34R	16L	DAUL					00328	ASP	N33465290	33.781361	E002551536	2.920933					00328	ASP	N33445325	33.748125	E002561628	2.937856	200604
AG30577	20	02	DAUU					00160	ASP	N31541917	31.905324	E005241624	5.404512						U					200205
AG30577	36	18	DAUU						U					N31554502	31.929171	E005245934	5.416485		U					200205
AG32594	26	08	DAFH					00340	ASP	N32553977	32.927713	E003174097	3.294714					00125	ASP	N32555892	32.933034	E003193966	3.327683	200404
AG32594	27	09	DAFH					00175	ASP	N32555548	32.932079	E003180319	3.300886	N32555563	32.932120	E003180852	3.302368		U					200404
AG42693	26	08	DAOB					00198	ASP	N35202041	35.339004	E001264634	1.446205					00198	ASP	N35203577	35.343268	E001284832	1.480089	200609
AG56340	31	13	DAUB					00678	ASP	N34481021	34.802836	E005432787	5.724408					00678	ASP	N34470203	34.783897	E005450795	5.752208	200111
AG63302	33	15	DAUZ						U									00148	ASP	N28030856	28.052377	E009383217	9.642271	200305
AG64680	27	09	DAAG					01017	ASP	N36413199	36.692220	E003100252	3.167366						U					200503
AG68480	32	14	DABC					00340	ASP	N36170642	36.285115	E006365011	6.613920					00200	ASP	N36160658	36.268494	E006380170	6.633805	200413
AG68480	34	16	DABC					00400	ASP	N36172069	36.289082	E006363625	6.610071					00400	ASP	N36154231	36.261752	E006372275	6.622985	200413
AG72115	19	01	DAUK					01450	SAN	N33032181	33.056059	E006051149	6.086524					01510	SAN	N33052678	33.090771	E006053362	6.092671	200310
AG74167	29	11	DABS					00345	ASP	N35261977	35.438825	E008062069	8.105747					00345	ASP	N35253955	35.427653	E008081837	8.138436	200403
AG76660	36	18	DAUH					00328	ASP	N31411464	31.687399	E006083016	6.141711					00328	ASP	N31393024	31.658401	E006082114	6.139206	200304
AG76755	20	02	DAUO					00203	ASP	N33294193	33.494981	E006463252	6.775700						U					200403
AG76755	31	13	DAUO					00200	ASP	N33314028	33.527855	E006454120	6.761443					00194	ASP	N33303476	33.509656	E006471375	6.787153	200403
AG77314	25	07	DAOO	N35374437	35.628991	W000362253	-0.606258	00328	ASP	N35370540	35.618167	W000381584	-0.637734						U					200304
AG83343	25	07	DAAB						U					N36300640	36.501777	E002481582	2.804395	00110	ASP	N36302933	36.508147	E002492013	2.822259	200607
AG85161	30	12	DAUG					00300	ASP	N32230372	32.384368	E003473715	3.793652						U					200304
AG93130	23	05	DAUI					00150	ASP	N27143211	27.242254	E002295971	2.499919					00150	ASP	N27153524	27.259788	E002312682	2.524117	200609
AG96833	27L	09R	DA					00500	ASP	N27350059	27.583497	W007304853	-7.513481					00455	ASP	N27351182	27.586617	W007291246	-7.486794	200112
AG96833	27R	09L	DA	N27351956	27.588767	W007290314	-7.484206		U					N27350596	27.584989	W007305910	-7.516417		U					200112
AG99976	36	18	DAUE					00350	ASP	N30360146	30.600407	E002514096	2.861379						U					200304
AJ00001	30	12	UBBG						U									01630	ASP	N40434061	40.727948	E046200192	46.333867	200601
AJ00006	28	10	UB					00125	ASP	N40532985	40.891624	E045563375	45.942709					00095	ASP	N40530114	40.883649	E045581639	45.971220	200606
AJ00009	35	17	UB					00030	CON	N40361054	40.602927	E049332696	49.557489					00030	CON	N40344883	40.580232	E049332660	49.557389	200606
AJ00010	23	05	UB					00100	ASP	N39534635	39.896208	E046463325	46.775903						U					200607
AJ00011	26	08	UB					01150	GRS	N40162326	40.273127	E048084114	48.144761						U					200608
AJ00013	32L	14R	UBBN	N39103814	39.177261	E045281011	45.469475	00229	ASP	N39115557	39.198769	E045263841	45.444003					00229	ASP	N39103375	39.176042	E045281531	45.470919	200413
AJ00013	32R	14L	UBBN	N39104537	39.179269	E045280819	45.468942	00229	ASP	N39115804	39.199456	E045264204	45.445011					00229	ASP	N39103644	39.176789	E045281877	45.471881	200604
AJ00014	31	13	UB					00200	ASP	N41452825	41.757847	E046205978	46.349938					00140	ASP	N41445662	41.749062	E046213777	46.360490	200607
AJ41498	34	16	UBBB					01312	ASP	N40290011	40.483364	E050015994	50.033318					00656	ASP	N40271794	40.454985	E050025103	50.047508	200606
AJ41498	36	18	UBBB	N40272839	40.457885	E050034800	50.063333	01312	ASP	N40292496	40.490268	E050034800	50.063333					00541	ASP	N40271865	40.455182	E050034800	50.063333	200606
AL00002	32	14	LAKV						U					N40465155	40.780987	E019532800	19.891111		U					200403
AM00003	21	03	UDYE	N40074402	40.128894	E044281397	44.470547		U									00100	CON	N40075866	40.132960	E044282597	44.473879	200606
AM00004	31	13	UDLS					00950	ASP	N41032163	41.056007	E044193195	44.325543					00950	ASP	N41022719	41.040887	E044205567	44.348796	200512
AO02223	34	16	FNBC					00120	LAT	S06154378	-6.262161	E014143629	14.243414					00120	LAT	S06163948	-6.277633	E014150229	14.250636	200505
AO07407	31	13	FNME					00197	ASP	S14385952	-14.649867	E017421816	17.705044					00197	ASP	S14395498	-14.665272	E017440454	17.734594	200505
AO24458	19	01	FNCA					00095	CON	S05363079	-5.608553	E012111874	12.188539					00135	CON	S05350715	-5.585319	E012111739	12.188164	200505
AO48521	23	05	FNLU	S08511783	-8.854951	E013141473	13.237426		U										U					200604
AO48521	25	07	FNLU					00176	CON	S08512088	-8.855800	E013133091	13.225253						U					200604
AO53493	34	16	FNLB					00253	GRE	S12215288	-12.364689	E013315800	13.532778						U					200506
AO61048	32	14	FNBG					00328	ASP	S12361360	-12.603778	E013235054	13.397372					00185	ASP	S12365045	-12.614014	E013243509	13.409747	200604
AO73912	31	13	FNGI					00200	ASP	S17021347	-17.037075	E015401014	15.669483					00200	ASP	S17025948	-17.049856	E015415339	15.698164	200610
AO76278	28	10	FNUB					00165	ASP	S14553043	-14.925119	E013333921	13.560892					00165	ASP	S14552766	-14.924350	E013352095	13.589153	200506
AO91234	26	08	FN					00200	GRE	S09392606	-9.657239	E013144933	13.247036					00200	GRE	S09385590	-9.648861	E013162735	13.274264	200506
AO99382	32	14	FNSA						U					S09410389	-9.684414	E020253459	20.426274		U					200505
AQ90020	23	05	NSTU	S14194052	-14.327922	W170421000	-170.702778	00300	ASP	S14202740	-14.340944	W170433384	-170.726067	S14202099	-14.339163	W170432237	-170.722879	00600	ASP	S14193361	-14.326003	W170415765	-170.699347	200610
