ARPT_IDENT	ICAO	FUEL	OIL	JASU	SUP_FLUIDS	CYCLE_DATE
AA30079	TNCA	6L				200306
AC44813	TAPA	6L				200607
AE01079	OMAR	U				200309
AE04602	OMAH	B				200610
AE05094	OMDM	J				200410
AE05715	OMSJ	6L	A			200213
AE19613	OMAA	6L	A			200609
AE31044	OMAM	U				200306
AE37377	OMAZ	U				200610
AE52272	OMDB	6L				200610
AE52385	OM	U				200610
AE68809	OMRK	6				200312
AE76816	OMAD	6L				200411
AE80711	OMAL	U	A			200212
AE97915	OMAJ	U				200610
AF39176	OAMS	G				200211
AF60849	OAKN	8				200605
AF75939	OASD	GJU				200410
AF87064	OAJL	U				200602
AF92944	OAUZ	2				200511
AF94313	OAKB	6				200512
AF94326	OAMN	U				200305
AG00062	DA	6				200610
AG03193	DAAE	U				200112
AG12605	DAON	6				200610
AG14643	DAAJ	6				200304
AG16901	DAOR	6B				200507
AG23554	DA	6B				200205
AG27206	DAAT	6B				200503
AG28442	DAAP	U				200206
AG29202	DAOE	6B				200610
AG29602	DA	B				200610
AG30555	DAUL	6B				200604
AG30577	DAUU	6B				200205
AG42693	DAOB	4				200610
AG42788	DAUA	6				200011
AG53963	DAUT	6L				200105
AG53997	DAOF	6B				200510
AG56340	DAUB	6B				200111
AG63302	DAUZ	6B				200202
AG69802	DAOS	B				200404
AG69864	DAAN	6B				200307
AG70333	DAOV	6				200201
AG74167	DABS	6U				200202
AG75759	DAAQ	6B				200111
AG76660	DAUH	6				200104
AG76755	DAUO	6B				200009
AG83343	DAAB	6B				200110
AG85161	DAUG	6B				200007
AG87342	DAAV	B				200111
AG93130	DAUI	6B				200102
AG99976	DAUE	16				200102
AG99981	DAAY	6B				200110
AJ00001	UBBG	U			R	200601
AJ41498	UBBB	2J			R	200606
AL00002	LAKV	U				200312
AM65746	UDYZ	6	J		R	200602
AM65747	UDSG				R	200601
AO02223	FNBC	JL				200505
AO12562	FNUG	3L				200505
AO22547	FNPA	CL				200506
AO24458	FNCA	DJL				200505
AO47362	FNMO	J				200605
AO48521	FNLU	6L			MNR	200604
AO53493	FNLB	3L				200506
AO56820	FNMA	DJL				200505
AO61048	FNBG	JL				200604
AO74616	FNKU	JL				200610
AO76278	FNUB	JL				200506
AO76705	FN	BJ				200209
AO99382	FNSA	DJL				200505
AQ90020	NSTU	28B		01MA1A01 MD3		200606
AR00015	SAWH	6L				200610
AR00217	SA	D				200610
AR01214	SAZF	6L				200105
AR02371	SA	L				200011
AR03515	SAZL	L				200610
AR06142	SAHR	6				200610
AR06176	SAAP	2L				200209
AR08227	SASJ	2L				199907
AR08294	SA	L				200105
AR09073	SATR	6L				200610
AR13909	SAAJ	6L				200610
AR14963	SACT	6L				200610
AR15469	SAAC	6L				200109
AR15586	SAME	6LU		02MA1A01MC2A		200603
AR16072	SAVY	6				200610
AR17474	SAOR	6L				200610
AR17678	SAWE	L				200107
AR17866	SACO	6				200105
AR18278	SAVV	46L				200010
AR18834	SANU	6L				200209
AR20512	SA	D				200104
AR21785	SAVT	6L				200610
AR23316	SA	L				200610
AR24555	SACA	2L				200610
AR24649	SAWG	6L				200610
AR25841	SAZM	6L				199904
AR26262	SARF	6L				200210
AR27439	SAZB	46L				200608
AR28505	SAZP	6L				200105
AR28581	SAZW	6L				200610
AR30950	SAST	L				200610
AR31110	SAZT	6L				200010
AR33085	SAOC	46L				200209
AR35687	SAZY	U				200605
AR35895	SA	L				200601
AR44994	SA	D				200005
AR46542	SADL	6L				200610
AR46954	SA	6L				200610
AR47770	SARL	U				200009
AR48120	SANL	L				199903
AR49061	SADP	U				200609
AR49376	SAZG	6L				200310
AR50642	SAZN	6L				200209
AR51559	SAZR	L				200609
AR51711	SARC	2L				200014
AR53303	SADO	JL				200605
AR54310	SA	L				200310
AR60215	SADF	6L				200106
AR60988	SADJ	6				200601
AR62473	SA	D				200004
AR63145	SA	L				200610
AR63628	SAOM	6				200610
AR69106	SAZS	6L				199904
AR73651	SAAN	L				200610
AR73997	SAOU	6L				200010
AR75372	SARI	6L				200511
AR76772	SA	L				200610
AR77408	SAAG	U				200610
AR78928	SANT	6L				200610
AR80200	SAEZ	46L				200204
AR80927	SAZH	D				200006
AR83516	SAMR	6				200606
AR84748	SARE	6L				200212
AR85191	SANC	6L				200609
AR87723	SARP	6L				200109
AR91139	SAAR	6L				200503
AR93230	SAAV	2				200107
AR94425	SAVE	6				200610
AR94545	SAVC	6L				200507
AR96413	SAMM	6				200610
AR98318	SANE	6L				200011
AR99058	SATO	L				200104
AR99276	SA	L				200604
AR99703	SA	L				200604
AR99886	SAOL	L				200605
AS00058	YSNB	U				200610
AS00740	YPDN	6LU	D	01  A101  E101  E401  E501  E601  E9		200512
AS01794	YTRE	6L	DF			200309
AS01863	YGLB	L	DF			200404
AS02967	YBAM	U				200108
AS04258	YMAV	26				200610
AS04349	YBTH	6L				200512
AS05794	YCOE	6L				200303
AS06003	YFRT	6L				200013
AS07236	YBAF	BD				200502
AS08942	YCIN	26L				200305
AS09280	YPGV	2L	D			200610
AS09502	YPMQ	6L	DF			200204
AS09515	YMTG	6L				200604
AS09681	YGTN	6G				200407
AS09792	YWBL	6L				200604
AS09831	YHUG	6L				200406
AS09866	YBWP	6DL	P			200609
AS09940	YBCV	6L				200113
AS10286	YBCS	6L	DFG			200505
AS11710	YABA	6L	D	01  E1		200408
AS12234	YHID	2L	DP			200409
AS12386	YBMA	6L	D			200205
AS12739	YPPD	6L	D			200203
AS13301	YNYN	L	D			200309
AS13470	YCBG	L				200007
AS14209	YSTW	6L				200403
AS15072	YBBN	6L				200505
AS15168	YGTE	6L				200609
AS16926	YBOK	L				200012
AS17096	YDAY	6L	D			200007
AS18167	YCAR	6L	D			200012
AS18424	YCNM	L				200305
AS19700	YTNK	6L				200604
AS20319	YCMU	L				200305
AS20878	YSHT	L		01  E1		200005
AS20919	YCOM	6L	D			200609
AS21460	YSWG	6L	GP	01  E5	JR	200509
AS21736	YBCG	6L	P			200308
AS22891	YLRE	6L	D			200105
AS23021	YPOD	6L				200502
AS23151	YCNK	L				200209
AS23431	YCAS	6				200111
AS23849	YTOC	L				200403
AS23941	YCBP	6				200409
AS24555	YPIR	6L	D			200110
AS24761	YSCO	L	D			200005
AS25359	YDPO	6L				200512
AS25631	YLHR	6L				200205
AS26605	YROM	6L	D			200604
AS27004	YCBB	L				200607
AS28197	YMMB	6L	DP			200604
AS28309	YBMK	6L				200412
AS28469	YSWL	L				200005
AS29442	YARM	6L				200406
AS29962	YSRI	2L	GJ	01  A101 E1001 E1101 E1201 E1301  E501  E6	CDMNR	200610
AS31041	YJLC	U				199905
AS31554	YTWB	L	D			200403
AS31707	YNTN	6L	P			200409
AS31732	YGDI	6L	D			200607
AS31983	YAPH	U				200610
AS32127	YLTN		D			200405
AS33215	YNRC	L				200309
AS33304	YORG	L				200409
AS35471	YSWH	6L				200509
AS35689	YBNA	6L				200504
AS35800	YMES	2	GP	01  A101  E101 E1101 E1201  E401  E501  E601  E7	DGMR	200308
AS35829	YBDG	6L				199913
AS36455	YMBA		D			200302
AS37481	YBRW	6B				200005
AS37664	YWHA	6L				200610
AS38268	YSSY	6AL	CDFGJLP		BD	200505
AS39123	YGLA	L	D			200204
AS39166	YNWN	6L	D			199913
AS39570	YMAY	6L	D	01  E1		200106
AS41736	YIFL	U				200105
AS42217	YCMT	L	D			200007
AS42456	YBRK	6L				200409
AS42929	YHSM	6L				200112
AS43020	YWLM	2L				200206
AS44277	YPJT		D			200113
AS44307	YOLD	6L	D			200506
