ARPT_IDENT	ICAO	ALT_NAME	CITY_CROSS_REF	ISL_GROUP	NOTAM	OPR_HRS	CLEAR_STATUS	UTM_GRID	TIME	DAYLIGHT_SAVE	FLIP_PUB	CYCLE_DATE
AA30079	TNCA		Oranjestad	Aruba I			AOE	19PCP8968782209	UTC-4		H-2G-3A, L-6G-8E	200012
AC44813	TAPA		St. Johns	Antigua I		O	AOE	20QPD2842795082	UTC-4		H-3A, L-6H, T-1C	200012
AE00011	OM							40RCP9573949002				200610
AE01079	OMAR					O		39RXH5770541546	UTC+4	NN	H-14G, L-18F-20H	200011
AE04602	OMAH	AL HAMRA MAIN						39RXG4879463193				200009
AE05094	OMDM							40RCN3516068912				200009
AE05715	OMSJ							40RCP5075602158	UTC+4		H-14G, L-18G	200009
AE19613	OMAA					H	AOE	40RBN6185704184	UTC+4	NN	H-14G, L-18G-20H	200012
AE31044	OMAM	MUQATRA				U		40RBM5100683901	UTC+4	NN	H-14G, L-20H	200304
AE37377	OMAZ	AL ZARQA ISLAND	Al Zarqa Island			I		39RYH0993851218	UTC+4	NN	H-14G, L-18F	200112
AE52272	OMDB					H	AOE	40RCN3528293941	UTC+4	NN	H-14G, L-18G	200306
AE52385	OM							39RXG6039886579				199907
AE56787	OMFJ					H		40RDN3184277545	UTC+4	NN	H-14G, L-18G	200012
AE68809	OMRK					H		40RCP9345033307	UTC+4	NN	H-13D-14G, L-18G	200011
AE73364	OMAS					I		39RXH8887382451	UTC+4	NN	H-14G, L-18F	200011
AE76816	OMAD							40RBN4226604016				200012
AE80711	OMAL	BURAYMI WEST				H		40RCM5881583901	UTC+4		H-14G, L-18G-20H	200112
AE95262	OM							40RBN9535413170				199907
AE97915	OMAJ					S		39RXG6393875924	UTC+4	NN	H-14G, L-20H	200011
AF28606	OAHR					O		41SMT2891085712	UTC+4:30		H-13D, L-17D 9A	200110
AF39176	OAMS					O		42SUF4008763854	UTC+4:30		9A	200009
AF50693	OAIX							42SWD2419567102	UTC+4:30		9B	200009
AF60849	OAKN							41RQQ7047689169	UTC+4:30		9A	200204
AF75939	OASD							41SMS3126994915	UTC+4:30		H-13D, L-17D 9A	200110
AF87064	OAJL					S		42SXD3774907509	UTC+4:30		9B,C	200513
AF92944	OAUZ	KUNDUZ				O		42SVF9203257727	UTC+4:30		9A	199907
AF94313	OAKB					S	AOE	42SWD1947724920	UTC+4:30		9B	200009
AF94325	OASG					O		41SQA6007771185	UTC+4:30		9A	199907
AF94326	OAMN							41SPV5885477705	UTC+4:30		H-13D, L-17D 9A	200511
AG00060	DABT		Seriana			O		32SKE5664459795	UTC+1	NO	H-9C, L-14E	200608
AG00062	DA	ILLIRANE						32RMQ4857939309				199907
AG03193	DAAE	BEJAIA	Bejaia			O		31SFA8487764921	UTC+1	NO	H-9C, L-14E	200011
AG10462	DABB	RABAH BITAT	Rabah Bitat					32SLF9379675813	UTC+1		H-15B, L-14E	200014
AG12605	DAON	MESSALI EL HADJ	Tlemcen			O		30SXD4141775989	UTC+1	NO	H-9B, L-13C	200011
AG14643	DAAJ		Djanet South			O		32RNM4591486715	UTC+1	NO	H-11D-12E, L-19C	200011
AG16901	DAOR	BOUDGHENE BEN ALI LOTFI						30RWA6923001402				199907
AG17978	DAAK							31SDA8891244499				199907
AG23554	DA							30RVV9352416194				199907
AG27206	DAAT							31QGF5159124736	UTC+1		H-11D, L-19C	199907
AG28442	DAAP					O		32RMQ6247055870	UTC+1		H-11D-12E, L-19C	200403
AG29202	DAOE							30SXE9846956820				199907
AG29602	DA							31SBS6847342755				199907
AG30555	DAUL							31SDT9336536034				199907
AG30577	DAUU							31RGR2813433801				199907
AG32594	DAFH							31SES2912643618				199907
AG33600	DAOL							30SYE2371036002				199907
AG42199	DAOI					O		31SCA5004508826	UTC+1	NO	H-9C-15A-16I, L-13D	200208
AG42693	DAOB		Tiaret			O		31SCV6033911958	UTC+1	NO	H-9C, L-13D	200011
AG42788	DAUA		Adrar			O		30RYR7711682390	UTC+1	NO	H-11D, L-19B	200304
AG47849	DA							30RTS2467197893				199907
AG51688	DAAZ							31SBV8537559067				199907
AG53963	DAUT					O		31RBN3524137332	UTC+1	NO	H-9B-11C, L-13D	200513
AG53997	DAOF							29RNL8212064289				199907
AG56340	DAUB	MOHAMED KHIDER						31SGU5052853538				199907
AG63302	DAUZ		Zarzaitine					32RNS6318303080	UTC+1		H-9D-11D-12E, L-19C	200405
AG64680	DAAG	ALGER	Alger				AOE	31SEA1924360618	UTC+1		H-9C, L-13D	200004
AG68480	DABC		Constantine			O		32SKF8626217192	UTC+1	NO	H-9C-15B, L-14E	200513
AG69802	DAOS							30SYD1918094745				199907
AG69864	DAAN							31RBK2994757204				199907
AG70333	DAOV					O		31SBU4029599809	UTC+1	NO	H-9B-15A, L-13D	200011
AG72115	DAUK					O		32SKB2819662573	UTC+1	NO	H-9C, L-14E	200011
AG74167	DABS					O		32SME2018621264	UTC+1	NO	H-9D-15B, L-14E	200011
AG75759	DAAQ							31SDV8900431319				199907
AG76660	DAUH	KRIM BELKACEM	Hassi Messaoud			O		32RKA2889507742	UTC+1	NO	H-9C, L-14E	200513
AG76755	DAUO		El Oued			O		32SKC9350310195	UTC+1	NO	H-9D, L-14E	200011
AG77314	DAOO		Oran			O		30SYE1543144836	UTC+1	NO	H-9B-15A-16I, L-13D	200513
AG83343	DAAB							31SDA8335839825				199907
AG85161	DAUG	MOUFDI ZAKARIA	Ghardaia			H		31SER7469583289	UTC+1	NO	H-9C, L-13D	200011
AG86488	DAAD					O		31SFV0964110585	UTC+1	NO	H-9C, L-13D-14E	200011
AG87342	DAAV	FERHAT ABBAS				O		31SGA5639775999	UTC+1	NO	H-9C, L-14E	200011
AG93130	DAUI					O		31RDL5169214333	UTC+1	NO	H-11C, L-19C	200011
AG94193	DA							31SBU3972565345				199907
AG96833	DA							29RPL4804252232				199907
AG99976	DAUE					O		31RDP8653682101	UTC+1	NO	H-9C, L-13D	200011
AG99981	DAAY							30SYC5607814100				199907
AJ00001	UBBG					H		38TPL1125010472	UTC+4(+5DT)	MC	5A	200513
AJ00004	UB							39SUC1037890900				199912
AJ00006	UB							38TNL8062326723				200004
AJ00009	UB							39TUE7793194420				200005
AJ00010	UB							38SPK5276418346				200006
AJ00011	UB							39TTE5883661984				200006
AJ00013	UBBN					H		38SNJ3959237829	UTC+4(+5DT)	MC	5A	200513
AJ00014	UB							38TPM1267523284				200103
AJ00016	UB							39TVE3213573189				200202
AJ41498	UBBB		Baku			H	AOE	39TVE1918180084	UTC+4(+5DT)	MC	5A	200303
AL00001	LATI	MOTHER TERESA				O		34TCL9307385589	UTC+1(+2DT)	MC	H-15D, L-12G	200012
AL00002	LAKV							34TDL0732914015	UTC+1(+2DT)		H-15D, L-12G	200303
AL00003	LAGJ	GRAMSH						34TCM8375439092	UTC+1(+2DT)		H-15D, L-12G	200209
AL00009	LAFK							34TDL0672174390				199907
AL00010	LAKO							34TDK7814399455				199907
AL00011	LA							34TDK2779737794				199907
AM00002	UD							38TML4493144485				200108
AM00003	UDYE							38TMK5441341448				200111
AM00004	UDLS					O		38TML4429644347	UTC+4(+5DT)	MM	5A	200313
AM00005	UD							38TMK6299160489				200111
AM65746	UDYZ		Yerevan			H	AOE	38TMK4854344278	UTC+4(+5DT)	MM	5A	200313
AM65747	UDSG					O		38TML0370711672	UTC+4(+5DT)	MM	5A	200607
AO02223	FNBC					S		33MVP1670806900	UTC+1		3A	199907
AO07134	FNSO					S		33MTP0911020485	UTC+1		3A	199907
AO07407	FNME					S		33LYD9295977786	UTC+1		3A, B	200009
AO11843	FNUE					S		34LCM7989398855	UTC+1		3B	199907
AO12562	FNUG					S		33MWM0306959583	UTC+1		3A	199907
AO22547	FNPA					S		33LUJ6500714493	UTC+1		3A	199907
AO24458	FNCA					S		33MSP8849280599	UTC+1		3A	200601
AO34501	FNLZ							34LAQ7564991004				199907
AO37232	FNNG							33MWM3172642831	UTC+1		3A	199907
AO44387	FNXA							33KVB9630647501				199907
AO47362	FNMO							33LSD9352110771	UTC+1		3A	199907
AO48521	FNLU						AOE	33LUL0547720343	UTC+1		3A	199907
AO48917	FNDU							34MDS7996981929	UTC+1		3B	199907
AO53493	FNLB					O		33LUG4090431960	UTC+1		3A	199907
AO56820	FNMA					S		33LXK4405046822	UTC+1		3A	200011
AO61048	FNBG					S		33LUG2660905573	UTC+1		3A	199907
AO66547	FNHU	ALBANO MACHADO				S		33LWF8254083878	UTC+1		3A	199907
AO73912	FNGI					S		33KWB7277315509	UTC+1		3A	199907
AO74616	FNKU		Bie			S		33LYG1171027929	UTC+1		3A	200007
AO76278	FNUB					S		33LUD4673749508	UTC+1		3A	199907
AO76705	FN							33LWD0150871808				199907
AO91234	FN							33LUK0914832461				199907
AO99382	FNSA					S		34LDQ3767728913	UTC+1		3B	200601
AO99419	FNZG							34MES3949746978	UTC+1		3B	199908
AO99460	FNSU							33LUH7416565208	UTC+1		3A	200208
AQ90020	NSTU			Tutuila I			AOE	02LNK3121815647	UTC-11		11B, D	200610
AQ90023	NSFQ	TAU ISLAND		Tau I		O		02LPK6989527675	UTC-11		11B, D	200605
AR00006	SA		Presidencia Roca					21JTL4686189061	UTC-3		L-12G	200605
AR00010	SA							19JGL3938403263	UTC-3		H-5D-6E, L-12F	200208
AR00012	SARS	PRESIDENCIA ROQUE SAENZ PENA	Presidencia Roque Saenz Pena					20JQR4930338076	UTC-3		H-4F-5D-6E, L-12G	200605
AR00015	SAWH	USHUAIA INTL MALVINAS ISLAS	Ushuaia			O		19FEV4522522421	UTC-3		H-6H, L-18G	200605
AR00020	SAOS		San Luis			O		20HKK9431714823	UTC-3	AR	H-4F,H-5D-6F, L-17B	200605
AR00078	SATU					O		21JVH0537006237	UTC-3		H-4F-5D-6E, L-12G	200605
AR00084	SA							20HMF4314609355	UTC-3		L-18E	199907
AR00107	SA		Balcarce			S		21HUU5285341762	UTC-3		L-18E	200605
AR00217	SA							21HVT2387668635	UTC-3		H-4F,H-6F, L-18E	200313
AR00267	SAWC							18FYK0994826046	UTC-3		H-6G, L-18G	200209
AR00376	SAWP							19GCJ4827944282	UTC-3		H-6G, L-18F	200604
AR00525	SA		Buta Ranquil					19HDU4591083323	UTC-3		L-18E	200605
AR00526	SA		Saladillo					20HQF5740630637	UTC-3		L-17D-18E	200605
AR00529	SA							20JKS0614514796	UTC-3		H-4F-5D-6E, L-12F	200606
AR01214	SAZF					S		20HQE4803813708	UTC-3		H-6F, L-18E	199907
