ARPT_IDENT	TYPE	RMK_SEQ	ICAO	REMARKS	CYCLE_DATE
AA30079	CAUTION	1	TNCA	Bird haz. 121' high crane opr 1312' N of rwy.	199907
AA30079	FUEL	1	TNCA	A1 (Valero Marketing and Supply, 297-582-1302); (NC-100LL)	200602
AA30079	MISC	1	TNCA	Flt plans, AIS svc avbl 1100-0330Z.	199907
AA30079	NS ABTMT	1	TNCA	Jet ops, dep/arr ctc APP/TWR for pro.	200003
AA30079	RSTD	1	TNCA	PPR rqr for all. Country clnc rqr prior to PPR. See FCG. Ctc DSN 483-3805 for PPR btn 1300-2000Z++. Send PPR req immed after rcv country clnc and NLT 3 working days prior to arr. Non-USCS acft must specify type of support req. Cargo flt not	200508
AA30079	RSTD	2	TNCA	recommended on Sun or overnight. Inbd acft ctc TIGER OPS 20 min out on 282.425.Dep acft shall not make a turn before cros thld Rwy 11 or Rwy 29. Arr and Dep acft shall not overflt The Water and Energy Co located at the BEA VOR/DME Rad 135	200508
AA30079	RSTD	3	TNCA	3NM blw 2500' and within a rad of 1640'.	200508
AC44813	CAUTION	1	TAPA	Numerous kites flown abv 400' on both sides of final apch to Rwy 07 btn 5-7 DME.Turb on apch Rwy 07 when wind S or SE.  All VFR flights within the V C Bird TCAand CTLZ must maintain continuous two-way radio communication.	200204
AC44813	FUEL	1	TAPA	A1 ( Avbl 1000-0200Z dly, Chevron USA Inc, Texaco West Indies, Ltd., $50 per hr OT fee, min $200, C268-462-3235); (NC-100LL), WAI avbl.	200507
AC44813	JASU	1	TAPA	1(MD-3A). Air Cart sometimes avbl fr coml source.	199908
AC44813	MISC	1	TAPA	Antiguan Auth req mil acft not arr btn 1600-2000Z due to large volume of coml tfc. If arr must be dur this time, ctc Antiguan Security (985-222) prior to dep todetermine fueling feasibility.	199907
AC44813	NS ABTMT	1	TAPA	(See FLIP AP/1, Sec 4).	200003
AC44813	RSTD	1	TAPA	PPR, exc regularly sched AMC Chan, Antigua AS Comdr, DSN 854-1110, C407-494-1110. Ask Patrick AFB opr for Antigua extn 222. PPR and flw on flt advsy should be accomplished 72 hr in advance. At the INT of Rwy 07-25 and the decom Rwy 10-28, h	199910
AC44813	RSTD	2	TAPA	vy acft should make CCW turns fr Rwy 07 and CW turns fr Rwy 25 to avoid jet blasting prk areas. All tfc cros Rwy 07 fr the W use clsd Rwy 10 or parl twy, hold at Y line for green lgt for clnc. All tfc cros Rwy 07 fr the E use clsd Rwy 10 ho	199910
AC44813	RSTD	3	TAPA	ld at Y line for green lgt for clnc.	199910
AC44813	TFC PAT	1	TAPA	Entry/Exit fix BEVAD ( N17 35.75' W60 50.30', ANU VOR/DME R076/61.9).  Acft apchfr SW remain abv 1600'.	200513
AE01079	LGT	1	OMAR	Rwy lgt rdo activated on freq 122.8; 5 clicks on, 7 clicks off.	199907
AE01079	OPR HOURS	1	OMAR	Opr O/R. Zakum Development Co. Fone C02 605 0000.	200112
AE05715	CAUTION	1	OMSJ	REIL Rwy 30 lctd at displ thld.	200208
AE05715	CSTMS/AG/IMG	1	OMSJ	Avbl.	200304
AE05715	FUEL	1	OMSJ	PN for large quantities of AvGas. (NC-100LL, A1)	200008
AE05715	MISC	1	OMSJ	Rwy 12 PCN 56/F/A/X/U. Rwy 30 PCN 50/R/A/W/U.	199907
AE19613	CAUTION	1	OMAA	Rwy 31 thld disp 0500-0600Z ev Sun.	200408
AE19613	FUEL	1	OMAA	A1 ADNOC Distribution Avn, fone +971 02-575-7028. Ltd AvGas avbl, 24 hr PN rqr. (NC-100LL)	200408
AE31044	CAUTION	1	OMAM	Non-Standard VFR Rwy Hold Line on Twy Bravo 625 feet from Rwy 31R.  RWY 13L/31R apch and dep end MAAS barriers maint in a disconnected state.  No 180  turns forC-130 or larger acft. Use caution for dep/arr to Rwy 13R/31L lctd aprx 4,200 ft	200610
AE31044	CAUTION	2	OMAM	S/SE of Rwy 13L/31R.  Rwy 13R/31L is for use by host nation acft only.  Acft shall not use Rwy 13R/31L unless in an extreme emerg situation or after expressed permissions from host nation and 380 EOG/CC. Twy Alpha is also used as a prim ld	200610
AE31044	CAUTION	3	OMAM	g sfc for host nation helicopters. All hvy acft dep Rwy 31R/13L must taxi 500 ftprior to dep roll tkof. Acft conducting static tkof must taxi 1000 ft prior to dep. Const in progress at SE end of parl twy. All acft use caution on hi speed T	200610
AE31044	CAUTION	4	OMAM	wy C and E due to potential FOD.  Potential for hydroplaning when braking on thefirst 1,000 ft of Rwy 13L/31R during wet weather conditions.	200610
AE31044	MISC	1	OMAM	Ltd trns svc avbl. Plan no or min practical fuel upload. Do not plan to RON, however; if a tran aircrew is apv to RON, billeting on-base is mandatory.  No off-base travel authorized for tran aircrew. No space-A pax permitted. No trash off-l	200610
AE31044	MISC	2	OMAM	oad, lavatory or fleet svc avbl. See https://www.afd.scott.af.mil for afld-specific info. Inst approaches not published in DoD FLIP. IAP's avbl at https://private.amc.af.mil/a3/a36a/web/procedures.htm.  Tran crews are reminded to do a throu	200610
AE31044	MISC	3	OMAM	gh crew study prior to recovering at this stn.  Recovery via visual apch is not authorized when inst apch is avbl.	200610
AE31044	RSTD	1	OMAM	OFFL BUS ONLY/PPR. All acft rqr PPR at least 48hrs in adv, but no earlier than one week in adv. If possible, email requirements to 380eoss.bops@dhafra.af.mil and 380eoss.cp@dhafra.af.mil 24hr PN. AM Ops DSN 318-434-4512 or Comd post DSN 318	200607
AE31044	RSTD	2	OMAM	-434-3503. All tran US MIL acft ctc Comd Post 30 min prior to landing. Host nation enforces strict compliance with FCG.  For divert info, see AP/2.  Acft largerthan C130 carrying haz cargo coord w Base Ops no later than 72 hr prior to arr.	200607
AE31044	RSTD	3	OMAM	due to Host Nation restrictions.	200607
AE31044	RWY	1	OMAM	Fst 1,000 ft of Rwy 13L/31R is Con. Middle 10,012 ft of Rwy 13L/31R is ASP. Twy adjoining Rwy 31L/13R and Rwy 31R/13L are only 33 ft wide.  Fst 2,335 ft of Rwy 13R/31L is CON. Middle 7,342 ft is ASP.	200606
AE37377	CAUTION	1	OMAZ	Bird haz.	200202
AE37377	OPR HOURS	1	OMAZ	Opr HO.	199907
AE52272	CAUTION	1	OMDB	Rwy 12R/30L clsd for const UFN. Consult dly NOTAMS.	200609
AE52272	FUEL	1	OMDB	(NC-100LL A1)	200610
