ARPT_IDENT	PROC	TRM_IDENT	RWY_ID	OCC_NO	ICAO	DESIG	KNOTS	RATE_DESC	ALT	FTNOTE	CYCLE_DATE
AF50693	2	BGM2   BAGRAM 2	21	10	OAIX	1	60	00220	08500		200606
AF50693	2	BGM2   BAGRAM 2	21	20	OAIX	2	60	00520	19000	MURAD Transition to FL190.	200606
AF50693	2	BGM2   BAGRAM 2	21	30	OAIX	2	60	00220	19000	DOSHI Transition to FL190.	200606
AF50693	2	BGM2   BAGRAM 2	21	40	OAIX	2	60	00270	20000	ALMOL Transition to FL200.	200606
AF50693	2	HERKY2	03	10	OAIX	2	60	00310	19000	MURAD Transition to FL190.	200606
AF50693	2	HERKY2	03	20	OAIX	2	60	00210	19000	DOSHI Transition to FL190.	200606
AF50693	2	HERKY2	03	30	OAIX	2	60	00240	20000	ALMOL Transition to FL200.	200606
AF50693	2	MIRAB1 MIRAB 1 (RNAV)	21	10	OAIX	1	60	00230	07000		200509
AF50693	2	MIRAB1 MIRAB 1 (RNAV)	21	20	OAIX	2	60	00320	13100		200509
AF50693	3	G03    RNAV (GPS) RW03	03	10	OAIX	1	60	00340	10000	Controlling obstacle 7612 feet.	200505
AF50693	3	T03-H  HI TACAN RW03	03	10	OAIX	1	60	00270	10900	+Tacan. CAUTION:  Controlling obstacle 9678 feet.	200610
AF50693	3	T03-H  HI TACAN RW03	03	20	OAIX	1	60	00300	10900	++PAR. CAUTION: Controlling obstacle 9678 feet.	200610
AF94313	2	KABUL1	11	10	OAKB	1	60	00400	09500		200505
AF94313	2	KABUL1	29	10	OAKB	1	60	00500	08000		200505
AF94313	3	D29    VOR/DME RW29	29	10	OAKB	1	60	00280	11200	Controlling obstacle 6329 feet.	200602
AF94313	3	T29    TACAN RW29	29	10	OAKB	1	60	00360	11200	+Caution: Controlling obstacle 8783 feet.	200610
AJ41498	2	RW18	18	10	UBBB	1	60	00320	08000	BUNIS 1C,  To FL80.	200303
AJ41498	2	RW18	18	20	UBBB	1	60	00300	08000	DILON 1C,  To FL80.	200303
AJ41498	2	RW18	18	30	UBBB	1	60	00320	08000	BAMAK 1C,  To FL80.	200303
AJ41498	2	RW18	18	40	UBBB	1	60	00340	08000	GOBUS 1C,  To FL80.	200303
AJ41498	2	RW18	18	50	UBBB	1	60	00280	08000	KARAD 1C,  To FL80.	200303
AJ41498	2	RW18	18	60	UBBB	1	60	00340	09000	SAGIL 1C, to FL90	200303
AJ41498	2	RW34-1	34	10	UBBB	1	60	00280	04000	To FL40 BULUD 1B	200303
AJ41498	2	RW34-1	34	20	UBBB	1	60	00460	08000	To FL80 BUNIS 1B	200303
AJ41498	2	RW34-1	34	30	UBBB	1	60	00400	09000	To FL90 SAGIL 1B	200303
AJ41498	2	RW34-1	34	40	UBBB	1	60	00260	08000	To FL80 KARAD 1B	200303
AJ41498	2	RW34-1	34	50	UBBB	1	60	00300	08000	To FL80 GOBUS 1B	200303
AJ41498	2	RW34-1	34	60	UBBB	1	60	00280	08000	To FL80 BAMAK 1B	200303
AJ41498	2	RW34-1	34	70	UBBB	1	60	00240	08000	To FL80 DILON 1B	200303
AL00001	3	D18    VOR/DME RW18	18	10	LATI	1	60	00215	05000	CAUTION:  Missed App Minimum Climb Rate to 5000.	200505
AL00001	3	D36    VOR/DME RW36	36	10	LATI	1	60	00215	05000	CAUTION: Missed App Minimum climb rate to 5000.	200505
AL00001	3	N18-B  CAT B NDB RW18	18	10	LATI	2	60	00220	02000	Missed Approach Minimum ATC Climb Rate	200605
AL00001	3	N18-B  CAT B NDB RW18	18	20	LATI	2	60	00340	03700	Missed Approach Minimum ATC Climb Rate	200605
