ARPT_IDENT	PROC	TRM_IDENT	FDR_RTE_IDENT	SEQ_NBR	ICAO	WPT1_IDENT	WPT1_CTRY	WPT2_IDENT	WPT2_CTRY	ALT	MAG_CRS	DISTANCE	WPT1_WGS_LAT	WPT1_WGS_DLAT	WPT1_WGS_LONG	WPT1_WGS_DLONG	WPT2_WGS_LAT	WPT2_WGS_DLAT	WPT2_WGS_LONG	WPT2_WGS_DLONG	CYCLE_DATE
AL00001	3	N18-B  CAT B NDB RW18	RODON	10	LATI	RODON	MJ	TR	AL	08500	90.0	28.0	N41273000	41.458333	E019060000	19.100000	N41274763	41.463231	E019425092	19.714144	200610
AL00001	3	N18-C  CAT C NDB RW18	RODON	10	LATI	RODON	MJ	TR	AL	08500	90.0	28.0	N41273000	41.458333	E019060000	19.100000	N41274763	41.463231	E019425092	19.714144	200610
AQ90020	3	EVORA  VORDME-A	TUT	10	NSTU	TUT	AQ	APRAN	AQ	03600	48.0	5.0	S14195730	-14.332583	W170422980	-170.708278	S14222791	-14.374419	W170465743	-170.782620	200404
AQ90020	3	EVORB  VORDME-B	LOG	10	NSTU	LOG	AQ	TUT	AQ	04000	50.4	2.7	S14211350	-14.353750	W170445620	-170.748944	S14195730	-14.332583	W170422980	-170.708278	200301
AQ90020	3	EVORB  VORDME-B	TUT	10	NSTU	TUT	AQ	TUT45	AQ	04000	58.0	4.5	S14195730	-14.332583	W170422980	-170.708278	S14182445	-14.306793	W170380831	-170.635641	200301
AQ90020	3	EVORB  VORDME-B	TUTNB	10	NSTU	TUTNB	AQ	TUT	AQ	04000	260.4	0.7	S14195600	-14.332222	W170431000	-170.719444	S14195730	-14.332583	W170422980	-170.708278	200301
AQ90020	3	EVORD  VOR-D	LOG	10	NSTU	LOG	AQ	TUT	AQ	04000	50.4	2.7	S14211350	-14.353750	W170445620	-170.748944	S14195730	-14.332583	W170422980	-170.708278	200301
AQ90020	3	EVORD  VOR-D	TUTNB	10	NSTU	TUTNB	AQ	TUT	AQ	04000	260.4	0.7	S14195600	-14.332222	W170431000	-170.719444	S14195730	-14.332583	W170422980	-170.708278	200301
AQ90020	3	FNDBC  NDB-C	TUT	10	NSTU	TUT	AQ	LOG	AQ	04000	49.9	2.7	S14195730	-14.332583	W170422980	-170.708278	S14211350	-14.353750	W170445620	-170.748944	200301
AQ90020	3	FNDBC  NDB-C	TUTNB	10	NSTU	TUTNB	AQ	LOG	AQ	04000	41.6	2.1	S14195600	-14.332222	W170431000	-170.719444	S14211350	-14.353750	W170445620	-170.748944	200301
AQ90020	3	I05    ILS/DME RW05	TUT	10	NSTU	TUT	AQ	BLUJA	AQ	03700	47.5	7.0	S14195730	-14.332583	W170422980	-170.708278	S14233175	-14.392153	W170484291	-170.811919	200301
AQ90020	3	I05    ILS/DME RW05	TUTNB	10	NSTU	TUTNB	AQ	BLUJA	AQ	03700	44.8	6.5	S14195600	-14.332222	W170431000	-170.719444	S14233175	-14.392153	W170484291	-170.811919	200301
AQ90020	3	TTACA  TACAN-A	TUT	10	NSTU	TUT	AQ	APRAN	AQ	03600	48.0	5.0	S14195730	-14.332583	W170422980	-170.708278	S14222791	-14.374419	W170465743	-170.782620	200404
AQ90020	3	TTACB  TACAN-B	LOG	10	NSTU	LOG	AQ	TUT	AQ	04000	50.4	2.7	S14211350	-14.353750	W170445620	-170.748944	S14195730	-14.332583	W170422980	-170.708278	200301
AQ90020	3	TTACB  TACAN-B	TUT	10	NSTU	TUT	AQ	TUT45	AQ	04000	58.0	4.5	S14195730	-14.332583	W170422980	-170.708278	S14182445	-14.306793	W170380831	-170.635641	200301
