ARPT_IDENT	PROC	TRM_IDENT	APP_TYPE	ICAO	CAT_A_DH	CAT_A_RV	CAT_A_HA	CAT_A_WX_CL	CAT_A_WX_PV	CAT_B_DH	CAT_B_RV	CAT_B_HA	CAT_B_WX_CL	CAT_B_WX_PV	CAT_C_DH	CAT_C_RV	CAT_C_HA	CAT_C_WX_CL	CAT_C_WX_PV	CAT_D_DH	CAT_D_RV	CAT_D_HA	CAT_D_WX_CL	CAT_D_WX_PV	CAT_E_DH	CAT_E_RV	CAT_E_HA	CAT_E_WX_CL	CAT_E_WX_PV	MIN_RMK	CYCLE_DATE
AA30079	3	D11    VORDME RW11	CIRCLING**	TNCA	00860	-1600M	800	0800	1600M	00860	-2000M	800	0800	2000M	01140	-4800M	1080	1100	4800M	01140	-4800M	1080	1100	4800M	NA			    	     	**Circling to Rwy 11 not auth at night.	200507
AA30079	3	D11    VORDME RW11	S-11*+	TNCA	00420	-1600M	411	0400	1600M	00420	-1600M	411	0400	1600M	00420	-1600M	411	0400	1600M	00420	-1600M	411	0400	1600M	NA			    	     	*When ALS inop, increase vis CAT CD to 2000m.  +Procedure not auth at night.	200507
AA30079	3	D29    VORDME RW29	CIRCLING*	TNCA	00860	-1600M	800	0800	1600M	00860	-2000M	800	0800	2000M	01140	-4800M	1080	1100	4800M	01140	-4800M	1080	1100	4800M	NA			    	     	*Circling to Rwy 11 not auth at night.	200507
AA30079	3	D29    VORDME RW29	S-29	TNCA	00660	-1600M	602	0600	1600M	00660	-1600M	602	0600	1600M	00660	-2800M	602	0600	2800M	00660	-3200M	602	0600	3200M	NA			    	     		200301
AA30079	3	I11    ILSDME RW11	CIRCLING	TNCA	00860	-1600M	800	0800	1600M	00860	-2000M	800	0800	2000M	01140	-4800M	1080	1100	4800M	01140	-4800M	1080	1100	4800M	NA			    	     		200301
AA30079	3	I11    ILSDME RW11	S-ILS 11**	TNCA	00209	-800M	200	0200	800M 	00209	-800M	200	0200	800M 	00209	-1200M	200	0200	1200M	00209	-1200M	200	0200	1200M	NA			    	     	**WHEN ALS INOP, INCREASE VIS CAT AB 400M.	200301
AA30079	3	I11    ILSDME RW11	S-LOC 11***	TNCA	00340	-1200M	331	0300	1200M	00340	-1200M	331	0300	1200M	00340	-1200M	331	0300	1200M	00340	-1200M	331	0300	1200M	NA			    	     	***WHEN ALS INOP, INCREASE VIS 400M.	200313
AC44813	3	D07    VORDME RW07	CIRCLING	TAPA	01000	-2000M	938	1000	2000M	01000	-2000M	938	1000	2000M	01000	-4400M	938	1000	4400M	01780	-4800M	1718	1800	4800M	NA			    	     		200311
AC44813	3	D07    VORDME RW07	S-07	TAPA	01000	-2000M	938	1000	2000M	01000	-2000M	938	1000	2000M	01000	-4400M	938	1000	4400M	01000	-4800M	938	1000	4800M	NA			    	     		200302
AC44813	3	D24    VORDME RW25	CIRCLING	TAPA	01020	-2800M	958	1000	2800M	01020	-2800M	958	1000	2800M	01020	-4800M	958	1000	4800M	01780	-4800M	1718	1800	4800M	NA			    	     		200608
AC44813	3	D24    VORDME RW25	S-25	TAPA	00800	-2800M	780	0800	2800M	00800	-2800M	780	0800	2800M	00800	-3600M	780	0800	3600M	00800	-4000M	780	0800	4000M	NA			    	     		200608
AE19613	3	D13    VORDME RW13	CIRCLING**	OMAA	00560	-1	472	0500	1    	00580	-1	492	0500	1    	00680	-1.5	592	0600	1.5  	00780	-2.25	692	0700	2.25 	00880	-2.75	792	0800	2.75 	**Circling not authorized SW of Rwy 13-31.	200610
AE19613	3	D13    VORDME RW13	S-13*	OMAA	00480	-0.5	398	0400	0.5  	00480	-0.5	398	0400	0.5  	00480	-0.75	398	0400	0.75 	00480	-0.75	398	0400	0.75 	00480	-1	398	0400	1    	SEE MAIN REMARKS.	200610
AE19613	3	D31    VORDME RW31	CIRCLING**	OMAA	00560	-1	472	0500	1    	00580	-1	492	0500	1    	00680	-1.5	592	0600	1.5  	00780	-2.25	692	0700	2.25 	00880	-2.75	792	0800	2.75 	**CIRCLING NOT AUTHORIZED SW OF RWY 13-31.	200112
AE19613	3	D31    VORDME RW31	S-31*	OMAA	00420	-0.5	332	0400	0.5  	00420	-0.5	332	0400	0.5  	00440	-0.75	352	0400	0.75 	00460	-0.75	372	0400	0.75 	00460	-0.75	372	0400	0.75 	*WHEN ALS INOP, INCREASE VIS CAT AB 1/2MILE, CAT CDE 1/4 MILE.	199906
