ARPT_IDENT	PROC	TRM_IDENT	SEC_NBR	SEC_ALT	ICAO	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	SEC_BEAR1	SEC_BEAR2	WPT_IDENT	WPT_CTRY	SEC_MILE1	SEC_MILE2	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	CYCLE_DATE
AA30079	3	D11    VORDME RW11	1	1800	TNCA	BEA	4	AA	1	000				00	25	N12302041	12.505669	W070010544	-70.018177	200301
AA30079	3	D29    VORDME RW29	1	1800	TNCA	BEA	4	AA	1	000				00	25	N12302041	12.505669	W070010544	-70.018177	200301
AA30079	3	I11    ILSDME RW11	1	1800	TNCA	BEA	4	AA	1	000				00	25	N12302041	12.505669	W070010544	-70.018177	200301
AC44813	3	D07    VORDME RW07	1	2500	TAPA	ZDX	5	AC	1	000				00	25	N17093051	17.158475	W061473268	-61.792411	200302
AC44813	3	D24    VORDME RW25	1	2500	TAPA	ANU	4	AC	1	000				00	25	N17073316	17.125878	W061480060	-61.800167	200608
AE19613	3	D13    VORDME RW13	1	1700	OMAA	AUH	4	AE	1	090	270			00	25	N24263550	24.443194	E054384730	54.646472	199906
AE19613	3	D13    VORDME RW13	2	2200	OMAA	AUH	4	AE	1	270	090			00	25	N24263550	24.443194	E054384730	54.646472	199908
AE19613	3	D31    VORDME RW31	1	1700	OMAA	AUH	4	AE	1	090	270			00	25	N24263550	24.443194	E054384730	54.646472	199906
AE19613	3	D31    VORDME RW31	2	2200	OMAA	AUH	4	AE	1	270	090			00	25	N24263550	24.443194	E054384730	54.646472	199908
AE19613	3	I13    VORDME/ILS RW13	1	1700	OMAA	AUH	4	AE	1	090	270			00	25	N24263550	24.443194	E054384730	54.646472	200112
AE19613	3	I13    VORDME/ILS RW13	2	2200	OMAA	AUH	4	AE	1	270	090			00	25	N24263550	24.443194	E054384730	54.646472	200112
AE19613	3	I31    VORDME/ILS RW31	1	1700	OMAA	AUH	4	AE	1	090	270			00	25	N24263550	24.443194	E054384730	54.646472	200112
AE19613	3	I31    VORDME/ILS RW31	2	2200	OMAA	AUH	4	AE	1	270	090			00	25	N24263550	24.443194	E054384730	54.646472	200112
AE52272	3	D12L   RNAV/VORDME RW12L	1	2400	OMDB	DUB	4	AE	1	000				00	25	N25151623	25.254508	E055215660	55.365722	200112
AE52272	3	D12R   RNAV/VORDME RW12R	1	2400	OMDB	DUB	4	AE	1	000				00	25	N25151623	25.254508	E055215660	55.365722	200112
AE52272	3	D30L   RNAV/VORDME RW30L	1	2400	OMDB	DUB	4	AE	1	000				00	25	N25151623	25.254508	E055215660	55.365722	200112
AE52272	3	D30R   RNAV/VORDME RW30R	1	2400	OMDB	DUB	4	AE	1	000				00	25	N25151623	25.254508	E055215660	55.365722	200112
AE52272	3	I30L   RNAV/ILS RW30L	1	2400	OMDB	DUB	4	AE	1	000				00	25	N25151623	25.254508	E055215660	55.365722	200112
AE56787	3	D29AB  VORDME RW29(CATAB)	1	6400	OMFJ	FJR	4	AE	1	360	090			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	D29AB  VORDME RW29(CATAB)	2	5800	OMFJ	FJR	4	AE	1	090	180			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	D29AB  VORDME RW29(CATAB)	3	5100	OMFJ	FJR	4	AE	1	180	270			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	D29AB  VORDME RW29(CATAB)	4	5300	OMFJ	FJR	4	AE	1	270	360			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	D29CD  VORDME RW29(CATCD)	1	6400	OMFJ	FJR	4	AE	1	360	090			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	D29CD  VORDME RW29(CATCD)	2	5800	OMFJ	FJR	4	AE	1	090	180			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	D29CD  VORDME RW29(CATCD)	3	5100	OMFJ	FJR	4	AE	1	180	270			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	D29CD  VORDME RW29(CATCD)	4	5300	OMFJ	FJR	4	AE	1	270	360			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	1	5100	OMFJ	FJR	4	AE	1	180	270			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	2	5300	OMFJ	FJR	4	AE	1	270	360			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	3	6400	OMFJ	FJR	4	AE	1	360	090			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	4	5800	OMFJ	FJR	4	AE	1	090	180			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	1	5100	OMFJ	FJR	4	AE	1	180	270			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	2	5300	OMFJ	FJR	4	AE	1	270	360			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	3	6400	OMFJ	FJR	4	AE	1	360	090			00	25	N25060610	25.101694	E056210700	56.351944	200509
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	4	5800	OMFJ	FJR	4	AE	1	090	180			00	25	N25060610	25.101694	E056210700	56.351944	200509
AF50693	2	BGM2   BAGRAM 2	1	16600	OAIX	BGM	3	AF	1	360	180			00	25	N34563480	34.943000	E069154140	69.261500	200606
AF50693	2	BGM2   BAGRAM 2	2	17100	OAIX	BGM	3	AF	1	180	270			00	25	N34563480	34.943000	E069154140	69.261500	200606
AF50693	2	BGM2   BAGRAM 2	3	11300	OAIX	BGM	3	AF	1	270	360			00	25	N34563480	34.943000	E069154140	69.261500	200606
AF50693	2	HERKY2	1	17900	OAIX	BGM	3	AF	1	360	180			00	25	N34563480	34.943000	E069154140	69.261500	200606
AF50693	2	HERKY2	2	17100	OAIX	BGM	3	AF	1	180	270			00	25	N34563480	34.943000	E069154140	69.261500	200606
AF50693	2	HERKY2	3	11300	OAIX	BGM	3	AF	1	270	360			00	25	N34563480	34.943000	E069154140	69.261500	200606
AF50693	2	MIRAB1 MIRAB 1 (RNAV)	1	17900	OAIX					000		RW03		00	25	N34560350	34.934306	E069152520	69.257000	200509
AF50693	3	G03    RNAV (GPS) RW03	1	17900	OAIX					000		RW03		00	25	N34560350	34.934306	E069152520	69.257000	200509
AF50693	3	T03-H  HI TACAN RW03	1	17900	OAIX	BGM	3	AF	1	360	270			00	25	N34563480	34.943000	E069154140	69.261500	200513
AF50693	3	T03-H  HI TACAN RW03	2	14000	OAIX	BGM	3	AF	1	270	360			00	25	N34563480	34.943000	E069154140	69.261500	200513
AF60849	3	G23    RNAV (GPS) RW23	1	8200	OAKN					000		RW23		00	25	N31305039	31.513997	E065514217	65.861714	200608
AF60849	3	T05-H  HI TACAN RW05	1	6400	OAKN	KAF	3	AF	1	020	110			00	25	N31302058	31.505717	E065505496	65.848600	200608
