ARPT_IDENT	PROC	TRM_IDENT	ICAO	ES_ALT	JULIAN_DATE	AMDT_NO	OPR	HOST_CTRY_AUTH	CYCLE_DATE
AA30079	3	D11    VORDME RW11	TNCA		2005188		USN	DCA	200507
AA30079	3	D29    VORDME RW29	TNCA		2005188		USN	DCA	200507
AA30079	3	I11    ILSDME RW11	TNCA		2003359		USN	DCA	200313
AC44813	3	D07    VORDME RW07	TAPA		2006215		USAF	ADCA	200608
AC44813	3	D24    VORDME RW25	TAPA		2006215	6	USAF	ADCA	200608
AE19613	3	D13    VORDME RW13	OMAA		2006271		USN	AE	200610
AE19613	3	D31    VORDME RW31	OMAA		2005104		USN	AE	200504
AE19613	3	I13    VORDME/ILS RW13	OMAA		2005104		USN	AE	200504
AE19613	3	I31    VORDME/ILS RW31	OMAA		2006271		USN	AE	200610
AE52272	3	D12L   RNAV/VORDME RW12L	OMDB		2006271		USN	AE	200610
AE52272	3	D12R   RNAV/VORDME RW12R	OMDB		2006271		USN	AE	200610
AE52272	3	D30L   RNAV/VORDME RW30L	OMDB		2006271		USN	AE	200610
AE52272	3	D30R   RNAV/VORDME RW30R	OMDB		2006271		USN	AE	200610
AE52272	3	I30L   RNAV/ILS RW30L	OMDB		2006271		USN	AE	200610
AE56787	3	D29AB  VORDME RW29(CATAB)	OMFJ		2006271		USN	AE	200610
AE56787	3	D29CD  VORDME RW29(CATCD)	OMFJ		2006271		USN	AE	200610
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	OMFJ		2006271		USN	AE	200610
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	OMFJ		2006271		USN	AE	200610
AF50693	2	BGM2   BAGRAM 2	OAIX		2006159		USAF		200606
AF50693	2	HERKY2	OAIX		2006159		USAF		200606
AF50693	2	MIRAB1 MIRAB 1 (RNAV)	OAIX	22600	2005300		USAF		200511
AF50693	3	G03    RNAV (GPS) RW03	OAIX		2006271	1	USAF		200610
AF50693	3	T03-H  HI TACAN RW03	OAIX	22600	2006271	4	USAF		200610
AF60849	2	DIRT   (GATOR 1)	OAKN		2005300	3	USAF		200511
AF60849	2	HIWY2  (GATOR 1)	OAKN		2005300	3	USAF		200511
AF60849	2	PRKWY  (GATOR 1)	OAKN		2005300	3	USAF		200511
AF60849	3	G23    RNAV (GPS) RW23	OAKN	15800	2006215		USAF		200608
AF60849	3	T05-H  HI TACAN RW05	OAKN	15600	2006215		USAF		200608
AF94313	2	KABUL1	OAKB	21700	2006271	2	USAF		200610
AF94313	3	D29    VOR/DME RW29	OAKB	21700	2006271		USAF		200610
AF94313	3	T29    TACAN RW29	OAKB	21700	2006271		USAF		200610
AJ41498	1	RW16	UBBB		2005300		USAF	AJ	200511
AJ41498	1	RW34	UBBB		2005300		USAF	AJ	200511
AJ41498	2	RW18	UBBB		2005300	3	USAF	AJ	200511
AJ41498	2	RW34-1	UBBB		2005300	5	USAF	AJ	200511
AL00001	3	D18    VOR/DME RW18	LATI	11900	2005132		USA	AL	200605
AL00001	3	D36    VOR/DME RW36	LATI	11900	2005132		USA	AL	200505
AL00001	3	N18-B  CAT B NDB RW18	LATI	11900	2006131		USA	AL	200605
AL00001	3	N18-C  CAT C NDB RW18	LATI	11900	2006131		USA	AL	200605
AM65746	2	RW09	UDYZ		2005188	2	USAF		200507
AM65746	2	RW27	UDYZ		2005188	2	USAF		200507
AQ90020	3	EVORA  VORDME-A	NSTU		2006271	3	FAA		200610
AQ90020	3	EVORB  VORDME-B	NSTU		2006271	5A	FAA		200610
AQ90020	3	EVORD  VOR-D	NSTU		2006271	5A	FAA		200610
AQ90020	3	FNDBC  NDB-C	NSTU		2006271	6	FAA		200610
AQ90020	3	I05    ILS/DME RW05	NSTU		2006271	13A	FAA		200610
AQ90020	3	TTACA  TACAN-A	NSTU		2006271	3	FAA		200610
AQ90020	3	TTACB  TACAN-B	NSTU		2006271	5A	FAA		200610
AR00015	2	USU5A  USU 5A RW07	SAWH		2002052		USAF	DTA	200301
AR00015	2	USU5B  USU 5B RW25	SAWH		2002052		USAF	DTA	200212
AR00015	3	D25    VOR/GP DME RW25	SAWH		2004050		USAF	DTA	200402
AR15586	3	I36    2 VORDME/ILSDME RW36	SAME		2005132	3	USAF	DTA	200505
AR17866	3	D18    NR 6 VORDME RW18	SACO		2005132	3	USAF	DTA	200505
AR17866	3	I18    #1 VORDME ILSDME RW18	SACO		2005132	3	USAF	DTA	200505
AR24649	3	D07    8 VOR/DME RW7(ARCDME)	SAWG		2006047	1	USAF	DTA	200602
AR24649	3	D25    NO 5 VOR/DME LI RW 25	SAWG		2006047	3	USAF	DTA	200602
AR25841	3	I13    VORDME ILSDME RW13 1	SAZM		2005132		USAF	DTA	200505
AR27439	3	D16L   VORDME RW16L	SAZB		2006215		USN	DTA	200608
AR27439	3	I16L   VORDME ILS RW16L	SAZB		2006215		USN	DTA	200608
AR27439	3	N16L   NDB LO LI RW16L	SAZB		2006215		USN	DTA	200608
AR51177	2	KIBO2A KIBOS2A	SASA		2005132	4	USAF	DGAC	200505
AR51177	2	PONP2A PONPI2A	SASA		2005132	3	USAF	DGAC	200505
AR51177	3	D02    NO 3 VOR/DME RW02	SASA		2005244	2	USAF	DGAC	200509
AR51177	3	D06    N4 VORDME LO LI RW06	SASA		2005244	2	USAF	DGAC	200509
AR58399	2	DORVO6 DORVO 6 RW13/31	SABE		2005132	3	USAF	DTA	200505
AR58399	2	EZEZA6 EZEIZA 6 RW13/31	SABE		2005132	2	USAF	DTA	200505
AR58399	2	KUKEN6 KUKEN 6 RW13/31	SABE		2005132	3	USAF	DTA	200505
AR58399	2	LAPAT6 LA PLATA 6	SABE		2005132	3	USAF	DTA	200505
AR58399	2	SURBO6 SURBO 6 RW13/31	SABE		2005132	3	USAF	DTA	200505
AR58399	3	I13    VORDME ILSDME RW13 1	SABE		2006215	5	USAF	DTA	200608
AR60215	3	D23    NR1 VOR/DME RW23	SADF		2005132		USAF	DTA	200505
AR69106	3	I29    NR1VORDMEILS/DME RW29	SAZS		2004106	2	USAF	DTA	200404
AR75372	2	ALD3A  ALDOS3A	SARI		2005132	1	USAF	DTA	200505
AR75372	2	ANB3A  ANBUK3A	SARI		2005132	1	USAF	DTA	200505
AR75372	2	COS3A  COSTA3A	SARI		2005132	1	USAF	DTA	200505
AR75372	2	DAG3A  DAGOL3A	SARI		2005132	1	USAF	DTA	200505
AR75372	2	GEL3A  GELIK3A	SARI		2005132	1	USAF	DTA	200505
AR75372	2	MAT3A  MATEL3A	SARI		2005132	1	USAF	DTA	200505
AR75372	2	TOG3A  TOGLA3A	SARI		2005132	1	USAF	DTA	200505
AR75372	2	UDE3A  UDENO3A	SARI		2005132	1	USAF	DTA	200505
AR80200	2	ATOV2A ATOVO2A RW11/29-17/35	SAEZ		2005132	2	USAF	DTA	200505
AR80200	2	BIVA2A BIVAM2A RW11/29-17/35	SAEZ		2005132	2	USAF	DTA	200505
AR80200	2	EGEPA6 EGEPA6  RW11/29-17/35	SAEZ		2005132	3	USAF	DTA	200505
AR80200	2	GBE6   BELGRANO 6	SAEZ		2005132	3	USAF	DTA	200505
AR80200	2	LAND2A LANDA2A RW11/29-17/35	SAEZ		2005132	2	USAF	DTA	200505
AR80200	2	PTA6A  LA PLATA 6A	SAEZ		2005132	3	USAF	DTA	200505
AR80200	2	PTA6B  LA PLATA 6B	SAEZ		2005132	3	USAF	DTA	200505
AR80200	3	D11    VORDME LO LI RW11 7	SAEZ		2005188	1	USAF	DTA	200507
AR80200	3	D35    VORDME LO LI RW35 12	SAEZ		2005188	4	USAF	DTA	200507
AR80200	3	I11-1  1VOR/DME ILS/DME RW11	SAEZ		2005188	6	USAF	DTA	200603
AR80200	3	I11-2  2VOR/DME ILS/DME RW11	SAEZ		2005188	3	USAF	DTA	200603
AR91139	3	D20    NR4 VORDME (LI) RW20	SAAR		2005188	1	USAF	DTA	200507
AR91139	3	I20    NR1 VORDMEILSDME RW20	SAAR		2005188	1	USAF	DTA	200507
AS00740	3	I29    RW29 ILS	YPDN	02400	2005188	6	USAF	CAA	200511
AS00740	3	L29    RW29 LLZ	YPDN	02400	2005188	6	USAF	CAA	200511
