BDRY_IDENT	SEG_NBR	NAME	TYPE	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FP00003	10	TZ MINUS 5 E NORTH	01	FP	G		N84000000	84.000000	E082300000	82.500000	N73395694	73.665817	E082270598	82.451661													200107
FP00003	20	TZ MINUS 5 E NORTH	01	FP	G		N73395694	73.665817	E082270598	82.451661	N73344295	73.578597	E080524895	80.880264													200107
FP00003	30	TZ MINUS 5 E NORTH	01	FP	G		N73344295	73.578597	E080524895	80.880264	N73332094	73.555817	E080032391	80.056642													200107
FP00003	40	TZ MINUS 5 E NORTH	01	FP	G		N73332094	73.555817	E080032391	80.056642	N73102496	73.173600	E080135194	80.231094													200107
FP00003	50	TZ MINUS 5 E NORTH	01	FP	G		N73102496	73.173600	E080135194	80.231094	N73050795	73.085542	E079064193	79.111647													200107
FP00003	60	TZ MINUS 5 E NORTH	01	FP	G		N73050795	73.085542	E079064193	79.111647	N72211694	72.354706	E076531796	76.888322													200107
FP00003	70	TZ MINUS 5 E NORTH	01	FP	G		N72211694	72.354706	E076531796	76.888322	N71554292	71.928589	E076055096	76.097489													200107
FP00003	80	TZ MINUS 5 E NORTH	01	FP	G		N71554292	71.928589	E076055096	76.097489	N71333693	71.560258	E076184390	76.312194													200107
FP00003	90	TZ MINUS 5 E NORTH	01	FP	G		N71333693	71.560258	E076184390	76.312194	N70593094	70.991928	E078290496	78.484711													200107
FP00003	100	TZ MINUS 5 E NORTH	01	FP	G		N70593094	70.991928	E078290496	78.484711	N70301987	70.505519	E080300794	80.502206													200107
FP00003	110	TZ MINUS 5 E NORTH	01	FP	G		N70301987	70.505519	E080300794	80.502206	N64020015	64.033375	E084592762	84.991006													200107
FP00003	120	TZ MINUS 5 E NORTH	01	FP	G		N64020015	64.033375	E084592762	84.991006	N60583188	60.975522	E078593223	78.992286													200107
FP00003	130	TZ MINUS 5 E NORTH	01	FP	G		N60583188	60.975522	E078593223	78.992286	N57000340	57.000944	E064004577	64.012714													200107
FP00003	140	TZ MINUS 5 E NORTH	01	FP	G		N57000340	57.000944	E064004577	64.012714	N55012861	55.024614	E068041541	68.070947													200107
FP00003	150	TZ MINUS 5 E NORTH	01	FP	G		N55012861	55.024614	E068041541	68.070947	N47000136	47.000378	E064001566	64.004350													200107
FP00003	160	TZ MINUS 5 E NORTH	01	FP	G		N47000136	47.000378	E064001566	64.004350	N44323851	44.544031	E067341219	67.570053													200107
FP00003	170	TZ MINUS 5 E NORTH	01	FP	G		N44323851	44.544031	E067341219	67.570053	N42001099	42.003053	E066014498	66.029161													200107
FP00003	180	TZ MINUS 5 E NORTH	01	FP	G		N42001099	42.003053	E066014498	66.029161	N41102998	41.174994	E066431195	66.719986													200107
FP00003	190	TZ MINUS 5 E NORTH	01	FP	G		N41102998	41.174994	E066431195	66.719986	N40362699	40.607497	E068375395	68.631653													200107
FP00003	200	TZ MINUS 5 E NORTH	01	FP	G		N40362699	40.607497	E068375395	68.631653	N41400098	41.666939	E069375593	69.632203													200107
FP00003	210	TZ MINUS 5 E NORTH	01	FP	G		N41400098	41.666939	E069375593	69.632203	N42170288	42.284133	E071064391	71.112197													200107
FP00003	220	TZ MINUS 5 E NORTH	01	FP	G		N42170288	42.284133	E071064391	71.112197	N41305685	41.515792	E070131096	70.219711													200107
FP00003	230	TZ MINUS 5 E NORTH	01	FP	G		N41305685	41.515792	E070131096	70.219711	N41332580	41.557167	E071390998	71.652772													200107
FP00003	240	TZ MINUS 5 E NORTH	01	FP	G		N41332580	41.557167	E071390998	71.652772	N40490178	40.817161	E073101293	73.170258													200107
